Pulling team: Portland Stags
Period: 2
Clock before point: 4:06:00
Clock after point: 0:15:00
Offense	Defense
	42P
14PU	
'00	
99	
'00	
14	
'00	
1	
'00	
14	
99	
14	
'00	
14	
'00	
14	
21	
99	
	10PU
	20
	42
	15
	10
	14
00PU	
21	
'00	
21	
14	
77	9F
14	
99	
14	
99	
77	
99	10F
	1PU
	TO
	11PU
	21
	2
	6
	11
	21LG
