point	period	clk_before	clk_after	pull_team	n_poss	scor_team	h_or_b	pdxST	vanNH	pt_dur	pt_dur_txt
1	1	10:00:00	8:23:00	vanNH	2	vanNH	break	0	1	97	01:37
2	1	8:23:00	5:14:00	vanNH	5	pdxST	hold	1	1	189	03:09
3	1	5:14:00	4:24:00	pdxST	2	pdxST	break	2	1	50	00:50
4	1	4:24:00	3:44	pdxST	2	pdxST	break	3	1	40	00:40
5	1	3:44	2:19	pdxST	2	pdxST	break	4	1	85	01:25
6	1	2:19	1:14	pdxST	1	vanNH	hold	4	2	65	01:05
7	1	1:14	0:39	vanNH	2	vanNH	break	4	3	35	00:35
8	1	0:39	0:14	vanNH	1	pdxST	hold	5	3	25	00:25
9	1	0:14	0:00	pdxST	NA	NA	NA	5	3	14	00:14
10	2	10:00	9:23	pdxST	1	vanNH	hold	5	4	37	00:37
11	2	9:23	8:42	vanNH	1	pdxST	hold	6	4	41	00:41
12	2	8:42	7:21	pdxST	2	pdxST	break	7	4	81	01:21
13	2	7:21	7:02	pdxST	1	vanNH	hold	7	5	19	00:19
14	2	7:02	6:23	vanNH	2	vanNH	break	7	6	39	00:39
15	2	6:23	5:27	vanNH	1	pdxST	hold	8	6	56	00:56
16	2	5:27	5:09	pdxST	1	vanNH	hold	8	7	18	00:18
17	2	5:09	3:57	vanNH	1	pdxST	hold	9	7	72	01:12
18	2	3:57	3:46	pdxST	2	pdxST	break	10	7	11	00:11
19	2	3:46	3:27	pdxST	1	vanNH	hold	10	8	19	00:19
20	2	3:27	2:34	vanNH	2	vanNH	break	10	9	53	00:53
21	2	2:34	2:04	vanNH	1	pdxST	hold	11	9	30	00:30
22	2	2:04	0:53	pdxST	2	pdxST	break	12	9	71	01:11
23	2	0:53	0:06	pdxST	1	vanNH	hold	12	10	47	00:47
24	2	0:06	0:00	vanNH	NA	NA	NA	12	10	6	00:06
25	3	10:00	8:48	vanNH	2	vanNH	break	12	11	72	01:12
26	3	8:48	8:29	vanNH	1	pdxST	hold	13	11	19	00:19
27	3	8:29	7:50	pdxST	1	vanNH	hold	13	12	39	00:39
28	3	7:50	7:39	vanNH	1	pdxST	hold	14	12	11	00:11
29	3	7:39	6:58	pdxST	2	pdxST	break	15	12	41	00:41
30	3	6:58	6:25	pdxST	1	vanNH	hold	15	13	33	00:33
31	3	6:25	5:13	vanNH	1	pdxST	hold	16	13	72	01:12
32	3	5:13	4:58	pdxST	1	vanNH	hold	16	14	15	00:15
33	3	4:58	4:34	vanNH	2	vanNH	break	16	15	24	00:24
34	3	4:34	4:18	vanNH	1	pdxST	hold	17	15	16	00:16
35	3	4:18	2:42	pdxST	4	pdxST	break	18	15	96	01:36
36	3	2:42	2:26	pdxST	1	vanNH	hold	18	16	16	00:16
37	3	2:26	1:25	vanNH	2	vanNH	break	18	17	61	01:01
38	3	1:25	0:34	vanNH	1	pdxST	hold	19	17	51	00:51
39	3	0:34	0:16	pdxST	3	vanNH	hold	19	18	18	00:18
40	3	0:16	0:03	vanNH	1	pdxST	hold	20	18	13	00:13
41	3	0:03	0:00	pdxST	NA	NA	NA	20	18	3	00:03
42	4	10:00	8:16	pdxST	2	pdxST	break	21	18	104	01:44
43	4	8:16	7:50	pdxST	1	vanNH	hold	21	19	26	00:26
44	4	7:50	5:28	vanNH	3	pdxST	hold	22	19	142	02:22
45	4	5:28	1:38	pdxST	4	pdxST	break	23	19	230	03:50
46	4	1:38	0:41	pdxST	3	vanNH	hold	23	20	57	00:57
47	4	0:41	0:13	vanNH	1	pdxST	hold	24	20	28	00:28
48	4	0:13	0:00	pdxST	NA	NA	NA	24	20	13	00:13
