period	point	pull_team	event	poss_abs	poss_rel	poss_team	pl_team	pl_pnum	pl_code	n_events	huck	score	scor_team	who	a_code	b_code
3	41	phlSP	29	58	4	phlSP	phlSP	11	G	7	FALSE	TRUE	phlSP	d_line	G	G
3	42	phlSP	9	59	1	bosWC	bosWC	17	eop	9	FALSE	FALSE	NA	o_line	eop	eop
4	43	bosWC	12	60	1	phlSP	bosWC	27	D	12	FALSE	FALSE	NA	o_line	D	def +
4	43	bosWC	23	61	2	bosWC	bosWC	43	TA	11	FALSE	FALSE	NA	d_line	TA	off -
4	43	bosWC	28	62	3	phlSP	phlSP	9	G	5	FALSE	TRUE	phlSP	o_line	G	G
4	44	phlSP	9	63	1	bosWC	bosWC	9	G	9	FALSE	TRUE	bosWC	o_line	G	G
4	45	bosWC	6	64	1	phlSP	phlSP	11	G	6	TRUE	TRUE	phlSP	o_line	G	G
4	46	phlSP	4	65	1	bosWC	bosWC	00	TD	4	FALSE	FALSE	NA	o_line	TD	off -
4	46	phlSP	9	66	2	phlSP	phlSP	10	TD	5	FALSE	FALSE	NA	d_line	TD	off -
4	46	phlSP	10	67	3	bosWC	bosWC	13	TA	1	FALSE	FALSE	NA	o_line	TA	off -
4	46	phlSP	11	68	4	phlSP	phlSP	21	TA	1	FALSE	FALSE	NA	d_line	TA	off -
4	46	phlSP	23	69	5	bosWC	bosWC	9	G	12	FALSE	TRUE	bosWC	o_line	G	G
4	47	bosWC	9	70	1	phlSP	phlSP	27	G	9	FALSE	TRUE	phlSP	o_line	G	G
4	48	phlSP	10	71	1	bosWC	bosWC	1	G	10	FALSE	TRUE	bosWC	o_line	G	G
4	49	bosWC	21	72	1	phlSP	phlSP	13	G	21	FALSE	TRUE	phlSP	o_line	G	G
4	50	phlSP	8	73	1	bosWC	bosWC	9	G	8	FALSE	TRUE	bosWC	o_line	G	G
4	51	bosWC	11	74	1	phlSP	phlSP	14	G	11	FALSE	TRUE	phlSP	o_line	G	G
4	52	phlSP	3	75	1	bosWC	bosWC	17	LG	3	TRUE	TRUE	bosWC	o_line	G	G
4	53	bosWC	27	76	1	phlSP	phlSP	13	G	27	FALSE	TRUE	phlSP	o_line	G	G
4	54	phlSP	6	77	1	bosWC	bosWC	64	G	6	FALSE	TRUE	bosWC	o_line	G	G
4	55	bosWC	4	78	1	phlSP	phlSP	13	TD	4	FALSE	FALSE	NA	o_line	TD	off -
4	55	bosWC	11	79	2	bosWC	phlSP	27	eop	7	FALSE	FALSE	NA	d_line	eop	eop
