point	Pulling.team	Period	Clock.before.point	Clock.after.point
1	San Francisco Dogfish	1	10:00:00	NA
2	Seattle Rainmakers	1	NA	NA
3	Seattle Rainmakers	1	NA	NA
4	San Francisco Dogfish	1	NA	NA
5	Seattle Rainmakers	1	NA	NA
6	San Francisco Dogfish	1	NA	NA
7	San Francisco Dogfish	1	NA	NA
8	Seattle Rainmakers	1	NA	NA
9	San Francisco Dogfish	1	NA	NA
10	Seattle Rainmakers	1	NA	NA
11	Seattle Rainmakers	1	NA	NA
12	San Francisco Dogfish	2	10:00:00	NA
13	San Francisco Dogfish	2	NA	NA
14	Seattle Rainmakers	2	NA	NA
15	San Francisco Dogfish	2	NA	NA
16	San Francisco Dogfish	2	NA	NA
17	San Francisco Dogfish	2	NA	NA
18	Seattle Rainmakers	2	NA	NA
19	San Francisco Dogfish	2	NA	NA
20	Seattle Rainmakers	2	NA	NA
21	San Francisco Dogfish	2	NA	NA
22	Seattle Rainmakers	2	NA	NA
23	San Francisco Dogfish	3	10:00:00	NA
24	San Francisco Dogfish	3	NA	NA
25	Seattle Rainmakers	3	NA	NA
26	Seattle Rainmakers	3	NA	NA
27	Seattle Rainmakers	3	NA	NA
28	Seattle Rainmakers	3	NA	NA
29	San Francisco Dogfish	3	NA	NA
30	San Francisco Dogfish	3	NA	NA
31	Seattle Rainmakers	3	NA	NA
32	San Francisco Dogfish	3	NA	NA
33	San Francisco Dogfish	3	NA	NA
34	San Francisco Dogfish	3	NA	NA
35	San Francisco Dogfish	4	NA	NA
36	Seattle Rainmakers	4	NA	NA
37	San Francisco Dogfish	4	NA	NA
38	San Francisco Dogfish	4	NA	NA
