poss_abs	poss_rel	point	beg_event	end_event	desc	n_inn	beg_code	beg_plyr	innards	end_code	end_plyr
1	1	1	2	3	ao	0	O-PU	seaRM-17		O-CTH	seaRM-3
1	1	1	3	4	ao	0	O-CTH	seaRM-3		O-CTH	seaRM-20
1	1	1	4	5	ao	0	O-CTH	seaRM-20		O-CTH	seaRM-48
1	1	1	5	6	ao	0	O-CTH	seaRM-48		O-CTH	seaRM-6
1	1	1	6	7	ao	0	O-CTH	seaRM-6		O-CTH	seaRM-17
1	1	1	7	8	ao	0	O-CTH	seaRM-17		O-CTH	seaRM-3
1	1	1	8	9	ao	0	O-CTH	seaRM-3		O-CTH	seaRM-6
1	1	1	9	10	ao	0	O-CTH	seaRM-6		O-G	seaRM-99
2	1	2	2	3	ao	0	O-PU	vanNH-91		O-CTH	vanNH-89
2	1	2	3	4	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-91
2	1	2	4	5	ao	0	O-CTH	vanNH-91		O-CTH	vanNH-6
2	1	2	5	6	ao	0	O-CTH	vanNH-6		O-CTH	vanNH-89
2	1	2	6	7	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-6
2	1	2	7	8	ao	0	O-CTH	vanNH-6		D-D	vanNH-35
3	2	2	9	10	ao	0	O-PU	seaRM-29		O-CTH	seaRM-23
3	2	2	10	10	an	-1	O-CTH	seaRM-23		NA	seaRM-23
4	3	2	11	12	ao	0	O-PU	vanNH-89		O-CTH	vanNH-21
4	3	2	12	13	ao	0	O-CTH	vanNH-21		O-CTH	vanNH-98
4	3	2	13	13	an	-1	O-CTH	vanNH-98		NA	vanNH-98
5	4	2	14	15	ao	0	O-PU	seaRM-21		O-CTH	seaRM-35
5	4	2	15	16	ao	0	O-CTH	seaRM-35		O-CTH	seaRM-9
5	4	2	16	17	ao	0	O-CTH	seaRM-9		O-CTH	seaRM-29
5	4	2	17	18	ao	0	O-CTH	seaRM-29		O-CTH	seaRM-9
5	4	2	18	19	ao	0	O-CTH	seaRM-9		O-CTH	seaRM-29
5	4	2	19	20	ao	0	O-CTH	seaRM-29		O-CTH	seaRM-21
5	4	2	20	21	ao	0	O-CTH	seaRM-21		O-G	seaRM-35
6	1	3	2	3	ao	0	O-PU	vanNH-18		D-D	vanNH-3
7	2	3	4	5	ao	0	O-PU	seaRM-20		O-CTH	seaRM-6
7	2	3	5	6	ao	0	O-CTH	seaRM-6		O-G	seaRM-51
8	1	4	2	3	ao	0	O-PU	vanNH-19		O-CTH	vanNH-91
8	1	4	3	4	ao	0	O-CTH	vanNH-91		O-CTH	vanNH-98
8	1	4	4	5	ao	0	O-CTH	vanNH-98		O-CTH	vanNH-89
8	1	4	5	6	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-91
8	1	4	6	7	ao	0	O-CTH	vanNH-91		O-CTH	vanNH-98
8	1	4	7	8	ao	0	O-CTH	vanNH-98		O-G	vanNH-22
9	1	5	2	3	ao	0	O-PU	seaRM-25		O-CTH	seaRM-3
9	1	5	3	4	ao	0	O-CTH	seaRM-3		O-CTH	seaRM-17
9	1	5	4	5	ao	0	O-CTH	seaRM-17		O-CTH	seaRM-25
