point	Pulling.team	Period	Clock.before.point	Clock.after.point
1	Philadelphia	1	10:00:00	7:42:00
2	Washington DC	1	7:42:00	5:44:00
3	Philadelphia	1	5:44:00	5:12:00
4	Washington DC	1	5:12:00	4:28:00
5	Philadelphia	1	4:28:00	2:56:00
6	Philadelphia	1	2:56:00	2:46:00
7	Washington DC	1	2:46:00	2:38:00
8	Philadelphia	1	2:38:00	2:16:00
9	Washington DC	1	2:16:00	1:59:00
10	Philadelphia	1	1:59:00	1:17:00
11	Washington DC	1	1:17:00	1:04:00
12	Philadelphia	1	1:04:00	0:47:00
13	Washington DC	1	0:47:00	0:02:00
14	Philadelphia	1	0:02:00	0:00:00
15	Philadelphia	2	10:00:00	9:16:00
16	Washington DC	2	9:16:00	7:43:00
17	Washington DC	2	7:43:00	6:58:00
18	Philadelphia	2	6:58:00	5:20:00
19	Washington DC	2	5:20:00	4:43:00
20	Philadelphia	2	4:43:00	4:12:00
21	Washington DC	2	4:12:00	3:02:00
22	Philadelphia	2	3:02:00	2:24:00
23	Washington DC	2	2:24:00	2:06:00
24	Philadelphia	2	2:06:00	0:58:00
25	Philadelphia	2	0:58:00	0:05:00
26	Washington DC	2	0:05:00	0:00:00
27	Philadelphia	3	10:00:00	8:32:00
28	Washington DC	3	8:32:00	8:18:00
29	Washington DC	3	8:18:00	5:53:00
30	Washington DC	3	5:53:00	5:06:00
31	Philadelphia	3	5:06:00	3:24:00
32	Washington DC	3	3:24:00	1:46:00
33	Washington DC	3	1:46:00	0:56:00
34	Washington DC	3	0:56:00	0:00:00
35	Washington DC	4	10:00:00	8:47:00
36	Washington DC	4	8:47:00	8:46:00
37	Philadelphia	4	8:46:00	8:01:00
38	Washington DC	4	8:01:00	7:43:00
39	Philadelphia	4	7:43:00	7:27:00
40	Washington DC	4	7:27:00	7:00:00
41	Philadelphia	4	7:00:00	6:35:00
42	Washington DC	4	6:35:00	5:03:00
43	Philadelphia	4	5:03:00	4:06:00
44	Washington DC	4	4:06:00	3:10:00
45	Philadelphia	4	3:10:00	2:35:00
46	Philadelphia	4	2:35:00	2:16:00
47	Philadelphia	4	2:16:00	2:09:00
48	Washington DC	4	2:09:00	1:40:00
49	Philadelphia	4	1:40:00	0:36:00
50	Washington DC	4	0:36:00	0:19:00
51	Philadelphia	4	0:19:00	0:06:00
52	Washington DC	4	0:06:00	0:00:00
