point	Pulling.team	Period	Clock.before.point	Clock.after.point
1	Seattle Rainmakers	1	10:00:00	8:32:00
2	Seattle Rainmakers	1	8:32:00	7:58:00
3	Vancouver Nighthawks	1	7:58:00	7:01:00
4	Vancouver Nighthawks	1	7:01:00	6:44:00
5	Vancouver Nighthawks	1	6:44:00	6:06:00
6	Vancouver Nighthawks	1	6:06:00	5:22:00
7	Seattle Rainmakers	1	5:22:00	4:58:00
8	Vancouver Nighthawks	1	4:58:00	3:32:00
9	Seattle Rainmakers	1	3:32:00	2:58:00
10	Vancouver Nighthawks	1	2:58:00	0:12:04
11	Vancouver Nighthawks	1	0:12:04	0:00:00
12	Vancouver Nighthawks	2	10:00:00	8:04:00
13	Vancouver Nighthawks	2	8:04:00	6:03:00
14	Vancouver Nighthawks	2	6:03:00	5:05:00
15	Vancouver Nighthawks	2	5:05:00	4:19:00
16	Seattle Rainmakers	2	4:19:00	3:20:00
17	Vancouver Nighthawks	2	3:20:00	2:06:00
18	Seattle Rainmakers	2	2:06:00	1:37:00
19	Vancouver Nighthawks	2	1:37:00	1:10:00
20	Seattle Rainmakers	2	1:10:00	0:58:08
21	Seattle Rainmakers	2	0:58:08	0:30:08
22	Vancouver Nighthawks	2	0:30:08	0:00:00
23	Seattle Rainmakers	3	10:00:00	9:26:00
24	Vancouver Nighthawks	3	9:26:00	7:13:00
25	Vancouver Nighthawks	3	7:13:00	3:07:00
26	Vancouver Nighthawks	3	3:07:00	2:15:00
27	Vancouver Nighthawks	3	2:15:00	1:11:00
28	Vancouver Nighthawks	3	1:11:00	0:46:08
29	Vancouver Nighthawks	3	0:46:08	0:00:00
30	Vancouver Nighthawks	4	10:00:00	9:36:00
31	Vancouver Nighthawks	4	9:36:00	9:01:00
32	Seattle Rainmakers	4	9:01:00	7:50:00
33	Vancouver Nighthawks	4	7:50:00	6:57:00
34	Vancouver Nighthawks	4	6:57:00	5:55:00
35	Vancouver Nighthawks	4	5:55:00	4:55:00
36	Vancouver Nighthawks	4	4:55:00	3:29:00
37	Vancouver Nighthawks	4	3:29:00	1:58:00
38	Seattle Rainmakers	4	1:58:00	1:17:00
39	Vancouver Nighthawks	4	1:17:00	0:31:00
40	Vancouver Nighthawks	4	0:31:00	0:08:03
41	Seattle Rainmakers	4	0:08:03	0:00:00
