Pulling team: Vancouver Nighthawks
Period: 4
Clock before point: 10:00:00
Clock after point: 3:16:00
Offense	Defense
	8p
25pu	
11l	
	75pu
	8
11pu	8f
13	
25	
	45pu
	39
	24
	39
	24
	45td
40pu	
25	
88	
9l	
11	
40	
	75d
	75pu
	24
8pu	
40	
	45pu
	24
	8
	27
8d	
8pu	
88	
13	
	45pu
	39
8d	
40pu	
8	
25	
88	
13	
	45pu
88pu	
8	
88	
8	
9	
40	
88	
8	
88	
8	
11	
8	
	75d
	75pu
	8
	39
	75td
8pu	
13td	
	75pu
	8
	13vst
to	
16pu	
17	
23l	
34	
1	
34	
18g	
