point	Pulling.team	Period	Clock.before.point	Clock.after.point
1	New York Rumble	1	10:00:00	8:50:00
2	Boston Whitecaps	1	8:50:00	7:54:00
3	New York Rumble	1	7:54:00	6:58:00
4	Boston Whitecaps	1	6:58:00	4:27:00
5	Boston Whitecaps	1	4:27:00	3:34:00
6	Boston Whitecaps	1	3:34:00	2:13:00
7	Boston Whitecaps	1	2:13:00	1:38:00
8	New York Rumble	1	1:38:00	1:28:00
9	Boston Whitecaps	1	1:28:00	0:09:00
10	New York Rumble	1	0:09:00	0:00:00
11	Boston Whitecaps	2	10:00:00	9:33:00
12	New York Rumble	2	9:33:00	9:19:00
13	Boston Whitecaps	2	9:19:00	7:19:00
14	Boston Whitecaps	2	7:19:00	6:23:00
15	Boston Whitecaps	2	6:23:00	NA
16	New York Rumble	2	6:33:00	3:54:00
17	New York Rumble	2	3:54:00	3:10:00
18	New York Rumble	2	3:10:00	0:18:00
19	Boston Whitecaps	2	0:18:00	0:00:00
20	New York Rumble	3	10:00:00	9:22:00
21	Boston Whitecaps	3	9:22:00	7:32:00
22	New York Rumble	3	7:32:00	6:57:00
23	Boston Whitecaps	3	6:57:00	5:46:00
24	Boston Whitecaps	3	5:46:00	5:33:00
25	New York Rumble	3	5:33:00	5:04:00
26	Boston Whitecaps	3	5:04:00	4:47:00
27	New York Rumble	3	4:47:00	4:18:00
28	Boston Whitecaps	3	4:18:00	2:23:00
29	Boston Whitecaps	3	2:23:00	1:40:00
30	Boston Whitecaps	3	1:40:00	0:16:00
31	Boston Whitecaps	3	0:16:00	0:00:00
32	Boston Whitecaps	4	10:00:00	8:57:00
33	New York Rumble	4	8:57:00	8:06:00
34	Boston Whitecaps	4	8:06:00	7:31:00
35	New York Rumble	4	7:31:00	6:07:00
36	Boston Whitecaps	4	6:06:00	4:30:00
37	New York Rumble	4	4:30:00	3:34:00
38	Boston Whitecaps	4	3:34:00	0:39:00
39	Boston Whitecaps	4	0:39:00	0:16:00
40	New York Rumble	4	0:16:00	0:00:00
