point	period	clk_before	clk_after	pull_team	n_poss	scor_team	h_or_b	bosWC	nykRM	pt_dur	pt_dur_txt
1	1	10:00:00	9:31:00	bosWC	1	nykRM	hold	0	1	29	00:29
2	1	9:31:00	6:35:00	nykRM	3	bosWC	hold	1	1	176	02:56
3	1	6:35:00	6:02:00	bosWC	1	nykRM	hold	1	2	33	00:33
4	1	6:02:00	5:43:00	nykRM	2	nykRM	break	1	3	19	00:19
5	1	5:43:00	5:13:00	nykRM	1	bosWC	hold	2	3	30	00:30
6	1	5:13:00	0:24:00	bosWC	11	nykRM	hold	2	4	289	04:49
7	1	0:24:00	0:01:00	nykRM	1	bosWC	hold	3	4	23	00:23
8	1	0:01:00	0:00:00	bosWC	NA	NA	NA	3	4	1	00:01
9	2	10:00:00	9:32:00	nykRM	1	bosWC	hold	4	4	28	00:28
10	2	9:32:00	6:47:00	bosWC	6	bosWC	break	5	4	165	02:45
11	2	6:47:00	4:31:00	bosWC	5	nykRM	hold	5	5	136	02:16
12	2	4:31:00	4:02:00	nykRM	1	bosWC	hold	6	5	29	00:29
13	2	4:02:00	3:47:00	bosWC	1	nykRM	hold	6	6	15	00:15
14	2	3:47:00	3:14:00	nykRM	1	bosWC	hold	7	6	33	00:33
15	2	3:14:00	2:56:00	bosWC	1	nykRM	hold	7	7	18	00:18
16	2	2:56:00	0:45:00	nykRM	5	bosWC	hold	8	7	131	02:11
17	2	0:45:00	0:03:00	bosWC	2	bosWC	break	9	7	42	00:42
18	2	0:03:00	0:00:00	bosWC	NA	NA	NA	9	7	3	00:03
19	3	10:00:00	8:59:00	bosWC	2	bosWC	break	10	7	61	01:01
20	3	8:59:00	8:40:00	bosWC	1	nykRM	hold	10	8	19	00:19
21	3	8:40:00	6:40:00	nykRM	3	bosWC	hold	11	8	120	02:00
22	3	6:40:00	6:20:00	bosWC	1	nykRM	hold	11	9	20	00:20
23	3	6:20:00	5:38:00	nykRM	3	bosWC	hold	12	9	42	00:42
24	3	5:38:00	5:16:00	nykRM	2	nykRM	break	12	10	22	00:22
25	3	5:16:00	4:05:00	nykRM	2	nykRM	break	12	11	71	01:11
26	3	4:05:00	3:19:00	nykRM	1	bosWC	hold	13	11	46	00:46
27	3	3:19:00	2:55:00	bosWC	1	nykRM	hold	13	12	24	00:24
28	3	2:55:00	2:18:00	nykRM	1	bosWC	hold	14	12	37	00:37
29	3	2:18:00	2:05:00	bosWC	1	nykRM	hold	14	13	13	00:13
30	3	2:05:00	1:42:00	nykRM	1	bosWC	hold	15	13	23	00:23
31	3	1:42:00	0:08:00	bosWC	4	bosWC	break	16	13	94	01:34
32	3	0:08:00	0:00:00	bosWC	NA	NA	NA	16	13	8	00:08
33	4	10:00:00	9:07:00	nykRM	1	bosWC	hold	17	13	53	00:53
34	4	9:07:00	8:05:00	bosWC	1	nykRM	hold	17	14	62	01:02
35	4	8:05:00	5:25:00	nykRM	3	bosWC	hold	18	14	160	02:40
36	4	5:25:00	3:45:00	bosWC	5	nykRM	hold	18	15	100	01:40
37	4	3:45:00	3:28:00	nykRM	1	bosWC	hold	19	15	17	00:17
38	4	3:28:00	2:01:00	bosWC	2	bosWC	break	20	15	87	01:27
39	4	2:01:00	0:10:00	bosWC	2	bosWC	break	21	15	111	01:51
40	4	0:10:00	0:00:00	bosWC	1	nykRM	hold	21	16	10	00:10
