Pulling team: Seattle Rainmakers
Period: 4
Clock before point: 5:43:00
Clock after point: 2:42:00
Offense	Defense
	35P
11PU	
24	
11	
73	
24	
7	
73	
24	
7	
24	
73	
24	
7	
73	
7	
73	
7	
42	
7	
6	
73	
24	
42	
24	
	9D
	TO
	35PU
	1
	35
	99
	35
	'00
	35
	77
	'00
	25
22D	
8PU	
6	
	00D
	35PU
	'00
	35
	99
8D	
8PU	
2	
42	
7	
6G	
