Pulling team: Portland Stags
Period: 3
Clock before point: 7:45:00
Clock after point: 4:30:00
Offense	Defense
	8P offsides
	8P
1PU	
99	
1	
35	
6	
35	
	3D
	21pu
	8
	17
	21
	8
	15
	21
	15
	22
	25
	22
	21
	8
	15
77D	
35pu	
	25D
	17pu
	21
1HB	
35PU	
6	
35	
'00	
35	
'00	
1	
99	
6TD	
	TO
	11PU
	24
	10
	6
	42
	10
	7
	6G
