period	point	pull_team	event	poss_abs	poss_rel	poss_team	pl_team	pl_pnum	pl_code	n_events	huck	score	scor_team	who	a_code	b_code
3	22	pdxST	25	57	4	pdxST	pdxST	21	TD	4	TRUE	FALSE	NA	d_line	TD	off -
3	22	pdxST	32	58	5	sfoDF	pdxST	16	eop	7	FALSE	FALSE	NA	o_line	eop	eop
4	23	pdxST	4	59	1	sfoDF	sfoDF	23	TD	4	FALSE	FALSE	NA	o_line	TD	off -
4	23	pdxST	12	60	2	pdxST	pdxST	2	TA	8	FALSE	FALSE	NA	d_line	TA	off -
4	23	pdxST	16	61	3	sfoDF	sfoDF	40	G	4	FALSE	TRUE	sfoDF	o_line	G	G
4	24	sfoDF	3	62	1	pdxST	pdxST	42	TD	3	FALSE	FALSE	NA	o_line	TD	off -
4	24	sfoDF	9	63	2	sfoDF	sfoDF	46	G	6	FALSE	TRUE	sfoDF	d_line	G	G
4	25	sfoDF	4	64	1	pdxST	pdxST	7	LG	4	TRUE	TRUE	pdxST	o_line	G	G
4	26	pdxST	4	65	1	sfoDF	sfoDF	40	LG	4	TRUE	TRUE	sfoDF	o_line	G	G
4	27	sfoDF	11	66	1	pdxST	pdxST	22	G	11	FALSE	TRUE	pdxST	o_line	G	G
4	28	pdxST	19	67	1	sfoDF	sfoDF	34	G	19	FALSE	TRUE	sfoDF	o_line	G	G
4	29	sfoDF	5	68	1	pdxST	pdxST	10	TA	5	FALSE	FALSE	NA	o_line	TA	off -
4	29	sfoDF	12	69	2	sfoDF	pdxST	3	D	7	FALSE	FALSE	NA	d_line	D	def +
4	29	sfoDF	19	70	3	pdxST	pdxST	16	LG	7	TRUE	TRUE	pdxST	o_line	G	G
4	30	pdxST	6	71	1	sfoDF	sfoDF	8	LG	6	TRUE	TRUE	sfoDF	o_line	G	G
4	31	sfoDF	5	72	1	pdxST	pdxST	15	TA	5	FALSE	FALSE	NA	o_line	TA	off -
4	31	sfoDF	8	73	2	sfoDF	sfoDF	16	TA	3	FALSE	FALSE	NA	d_line	TA	off -
4	31	sfoDF	13	74	3	pdxST	pdxST	17	G	5	FALSE	TRUE	pdxST	o_line	G	G
4	32	pdxST	4	75	1	sfoDF	sfoDF	16	TD	4	FALSE	FALSE	NA	o_line	TD	off -
4	32	pdxST	7	76	2	pdxST	pdxST	8	TD	3	FALSE	FALSE	NA	d_line	TD	off -
4	32	pdxST	14	77	3	sfoDF	pdxST	25	HB	7	FALSE	FALSE	NA	o_line	D	def +
4	32	pdxST	31	78	4	pdxST	pdxST	8	G	17	FALSE	TRUE	pdxST	d_line	G	G
4	33	pdxST	21	79	1	sfoDF	pdxST	2	D	21	FALSE	FALSE	NA	o_line	D	def +
4	33	pdxST	26	80	2	pdxST	pdxST	21	TA	5	FALSE	FALSE	NA	d_line	TA	off -
4	33	pdxST	33	81	3	sfoDF	sfoDF	6	TD	7	FALSE	FALSE	NA	o_line	TD	off -
4	33	pdxST	35	82	4	pdxST	sfoDF	23	eop	2	FALSE	FALSE	NA	d_line	eop	eop
