point	pullTeam	recvTeam	event	pullNum	pullCode	recvNum	recvCode	scorTeam
1	vanNH	seaRM	1	8	P			seaRM
1	vanNH	seaRM	2			17		seaRM
1	vanNH	seaRM	3			3		seaRM
1	vanNH	seaRM	4			20		seaRM
1	vanNH	seaRM	5			48		seaRM
1	vanNH	seaRM	6			6		seaRM
1	vanNH	seaRM	7			17		seaRM
1	vanNH	seaRM	8			3		seaRM
1	vanNH	seaRM	9			6	A	seaRM
1	vanNH	seaRM	10			99	G	seaRM
2	seaRM	vanNH	1	35	P			seaRM
2	seaRM	vanNH	2			91		seaRM
2	seaRM	vanNH	3			89		seaRM
2	seaRM	vanNH	4			91		seaRM
2	seaRM	vanNH	5			6		seaRM
2	seaRM	vanNH	6			89		seaRM
2	seaRM	vanNH	7			6	L	seaRM
2	seaRM	vanNH	8	35	D			seaRM
2	seaRM	vanNH	9	29	PU			seaRM
2	seaRM	vanNH	10	23	L			seaRM
2	seaRM	vanNH	11			89	PU	seaRM
2	seaRM	vanNH	12			21		seaRM
2	seaRM	vanNH	13			98		seaRM
2	seaRM	vanNH	14	21	PU			seaRM
2	seaRM	vanNH	15	35				seaRM
2	seaRM	vanNH	16	9				seaRM
2	seaRM	vanNH	17	29				seaRM
2	seaRM	vanNH	18	9				seaRM
2	seaRM	vanNH	19	29				seaRM
2	seaRM	vanNH	20	21	A			seaRM
2	seaRM	vanNH	21	35	LG			seaRM
3	seaRM	vanNH	1	8	P			seaRM
3	seaRM	vanNH	2			18		seaRM
3	seaRM	vanNH	3	3	D			seaRM
3	seaRM	vanNH	4	20	PU			seaRM
3	seaRM	vanNH	5	6	A			seaRM
3	seaRM	vanNH	6	51	G			seaRM
4	seaRM	vanNH	1	35	P			vanNH
4	seaRM	vanNH	2			19		vanNH
4	seaRM	vanNH	3			91		vanNH
4	seaRM	vanNH	4			98		vanNH
4	seaRM	vanNH	5			89		vanNH
4	seaRM	vanNH	6			91		vanNH
4	seaRM	vanNH	7			98	A	vanNH
4	seaRM	vanNH	8			22	LG	vanNH
5	vanNH	seaRM	1	8	P			seaRM
