longName	team	color
Vancouver Nighthawks	vanNH	#CC0000
Portland Stags	pdxST	#4DB870
Seattle Rainmakers	seaRM	#88A5C3
San Francisco Dogfish	sfoDF	#FFAD5C
Boston Whitecaps	bosWC	#0099FF
Philadelphia Spinners	phlSP	#FE2E2E
New York Rumble	nykRM	#FFBF00
Washington DC Current	wdcCT	#CCCCCC
