game	poss_abs	poss_rel	point	beg_event	end_event	desc	n_inn	beg_code	beg_plyr	innards	end_code	end_plyr	wl	pclass
2014-04-12_nykRM-at-bosWC	10	1	4	3	3	an	-1	O-CTH	nykRM-6		NA	nykRM-6	TRUE	taway
2014-04-12_nykRM-at-bosWC	11	2	4	4	5	ao	0	O-PU	bosWC-14		O-CTH	bosWC-18	TRUE	compl
2014-04-12_nykRM-at-bosWC	11	2	4	5	6	ao	0	O-CTH	bosWC-18		O-CTH	bosWC-8	TRUE	compl
2014-04-12_nykRM-at-bosWC	11	2	4	6	6	an	-1	O-CTH	bosWC-8		NA	bosWC-8	TRUE	taway
2014-04-12_nykRM-at-bosWC	12	3	4	7	8	ao	0	O-PU	nykRM-6		O-CTH	nykRM-4	TRUE	compl
2014-04-12_nykRM-at-bosWC	12	3	4	8	9	ao	0	O-CTH	nykRM-4		O-CTH	nykRM-26	TRUE	compl
2014-04-12_nykRM-at-bosWC	12	3	4	9	10	ao	0	O-CTH	nykRM-26		O-CTH	nykRM-6	TRUE	compl
2014-04-12_nykRM-at-bosWC	12	3	4	10	11	an	0	O-CTH	nykRM-6		NA	bosWC-14	TRUE	taway
2014-04-12_nykRM-at-bosWC	13	4	4	12	13	ao	0	O-PU	bosWC-14		O-CTH	bosWC-11	TRUE	compl
2014-04-12_nykRM-at-bosWC	13	4	4	13	14	ao	0	O-CTH	bosWC-11		O-CTH	bosWC-18	TRUE	compl
2014-04-12_nykRM-at-bosWC	13	4	4	14	15	ao	0	O-CTH	bosWC-18		O-G	bosWC-5	TRUE	compl
2014-04-12_nykRM-at-bosWC	14	1	5	2	3	ao	0	O-PU	nykRM-26		O-CTH	nykRM-4	TRUE	compl
2014-04-12_nykRM-at-bosWC	14	1	5	3	4	ao	0	O-CTH	nykRM-4		O-TD	nykRM-6	TRUE	drop
2014-04-12_nykRM-at-bosWC	15	2	5	5	6	ao	0	O-PU	bosWC-10		O-CTH	bosWC-12	TRUE	compl
2014-04-12_nykRM-at-bosWC	15	2	5	6	7	ao	0	O-CTH	bosWC-12		O-CTH	bosWC-27	TRUE	compl
2014-04-12_nykRM-at-bosWC	15	2	5	7	8	ao	0	O-CTH	bosWC-27		O-CTH	bosWC-43	TRUE	compl
2014-04-12_nykRM-at-bosWC	15	2	5	8	9	ao	0	O-CTH	bosWC-43		O-CTH	bosWC-64	TRUE	compl
2014-04-12_nykRM-at-bosWC	15	2	5	9	10	ao	0	O-CTH	bosWC-64		O-CTH	bosWC-12	TRUE	compl
2014-04-12_nykRM-at-bosWC	15	2	5	10	11	ao	0	O-CTH	bosWC-12		O-G	bosWC-10	TRUE	compl
2014-04-12_nykRM-at-bosWC	16	1	6	2	3	ao	0	O-PU	nykRM-47		O-CTH	nykRM-4	TRUE	compl
2014-04-12_nykRM-at-bosWC	16	1	6	3	4	ao	0	O-CTH	nykRM-4		O-CTH	nykRM-38	TRUE	compl
2014-04-12_nykRM-at-bosWC	16	1	6	4	5	ao	0	O-CTH	nykRM-38		D-D	bosWC-18	TRUE	defd
2014-04-12_nykRM-at-bosWC	17	2	6	6	7	ao	0	O-PU	bosWC-14		O-CTH	bosWC-8	TRUE	compl
2014-04-12_nykRM-at-bosWC	17	2	6	7	9	ao	1	O-CTH	bosWC-8	D-F	O-CTH	bosWC-11	TRUE	compl
2014-04-12_nykRM-at-bosWC	17	2	6	9	10	ao	0	O-CTH	bosWC-11		D-D	nykRM-21	TRUE	defd
2014-04-12_nykRM-at-bosWC	18	3	6	11	12	ao	0	O-PU	nykRM-38		D-D	bosWC-37	TRUE	defd
2014-04-12_nykRM-at-bosWC	19	4	6	13	14	ao	0	O-PU	bosWC-8		O-G	bosWC-5	TRUE	compl
2014-04-12_nykRM-at-bosWC	20	1	7	2	3	ao	0	O-PU	nykRM-41		O-CTH	nykRM-2	TRUE	compl
2014-04-12_nykRM-at-bosWC	20	1	7	3	4	ao	0	O-CTH	nykRM-2		O-CTH	nykRM-4	TRUE	compl
2014-04-12_nykRM-at-bosWC	20	1	7	4	5	ao	0	O-CTH	nykRM-4		O-CTH	nykRM-19	TRUE	compl
2014-04-12_nykRM-at-bosWC	20	1	7	5	6	ao	0	O-CTH	nykRM-19		O-CTH	nykRM-6	TRUE	compl
2014-04-12_nykRM-at-bosWC	20	1	7	6	7	ao	0	O-CTH	nykRM-6		O-CTH	nykRM-2	TRUE	compl
2014-04-12_nykRM-at-bosWC	20	1	7	7	8	ao	0	O-CTH	nykRM-2		O-G	nykRM-4	TRUE	compl
2014-04-12_nykRM-at-bosWC	21	1	8	2	3	ao	0	O-PU	bosWC-00		O-CTH	bosWC-13	TRUE	compl
2014-04-12_nykRM-at-bosWC	21	1	8	3	4	ao	0	O-CTH	bosWC-13		O-G	bosWC-21	TRUE	compl
2014-04-12_nykRM-at-bosWC	22	1	9	2	3	ao	0	O-PU	nykRM-41		O-CTH	nykRM-18	TRUE	compl
2014-04-12_nykRM-at-bosWC	22	1	9	3	4	ao	0	O-CTH	nykRM-18		D-D	bosWC-11	TRUE	defd
2014-04-12_nykRM-at-bosWC	23	2	9	5	6	ao	0	O-PU	bosWC-14		O-CTH	bosWC-35	TRUE	compl
2014-04-12_nykRM-at-bosWC	23	2	9	6	7	ao	0	O-CTH	bosWC-35		O-CTH	bosWC-8	TRUE	compl
2014-04-12_nykRM-at-bosWC	23	2	9	7	8	ao	0	O-CTH	bosWC-8		D-D	nykRM-19	TRUE	defd
2014-04-12_nykRM-at-bosWC	24	3	9	9	10	ao	0	O-PU	nykRM-4		O-CTH	nykRM-18	TRUE	compl
2014-04-12_nykRM-at-bosWC	24	3	9	10	11	ao	0	O-CTH	nykRM-18		O-CTH	nykRM-1	TRUE	compl
2014-04-12_nykRM-at-bosWC	24	3	9	11	12	ao	0	O-CTH	nykRM-1		O-CTH	nykRM-2	TRUE	compl
2014-04-12_nykRM-at-bosWC	24	3	9	12	13	ao	0	O-CTH	nykRM-2		O-CTH	nykRM-26	TRUE	compl
2014-04-12_nykRM-at-bosWC	24	3	9	13	14	ao	0	O-CTH	nykRM-26		O-CTH	nykRM-19	TRUE	compl
2014-04-12_nykRM-at-bosWC	24	3	9	14	15	ao	0	O-CTH	nykRM-19		O-G	nykRM-18	TRUE	compl
2014-04-12_nykRM-at-bosWC	25	1	10	2	3	ao	0	O-PU	bosWC-7		O-CTH	bosWC-00	TRUE	compl
2014-04-12_nykRM-at-bosWC	25	1	10	3	4	ao	0	O-CTH	bosWC-00		D-D	nykRM-41	TRUE	defd
2014-04-12_nykRM-at-bosWC	26	1	11	2	3	ao	0	O-PU	nykRM-4		O-CTH	nykRM-2	TRUE	compl
2014-04-12_nykRM-at-bosWC	26	1	11	3	4	ao	0	O-CTH	nykRM-2		O-CTH	nykRM-14	TRUE	compl
2014-04-12_nykRM-at-bosWC	26	1	11	4	5	ao	0	O-CTH	nykRM-14		O-CTH	nykRM-2	TRUE	compl
2014-04-12_nykRM-at-bosWC	26	1	11	5	6	ao	0	O-CTH	nykRM-2		O-CTH	nykRM-44	TRUE	compl
2014-04-12_nykRM-at-bosWC	26	1	11	6	7	ao	0	O-CTH	nykRM-44		O-CTH	nykRM-14	TRUE	compl
2014-04-12_nykRM-at-bosWC	26	1	11	7	8	ao	0	O-CTH	nykRM-14		O-CTH	nykRM-4	TRUE	compl
2014-04-12_nykRM-at-bosWC	26	1	11	8	9	ao	0	O-CTH	nykRM-4		O-CTH	nykRM-6	TRUE	compl
2014-04-12_nykRM-at-bosWC	26	1	11	9	10	ao	0	O-CTH	nykRM-6		O-CTH	nykRM-4	TRUE	compl
2014-04-12_nykRM-at-bosWC	26	1	11	10	11	ao	0	O-CTH	nykRM-4		O-G	nykRM-41	TRUE	compl
2014-04-12_nykRM-at-bosWC	27	1	12	2	3	ao	0	O-PU	bosWC-00		O-CTH	bosWC-7	TRUE	compl
2014-04-12_nykRM-at-bosWC	27	1	12	3	4	ao	0	O-CTH	bosWC-7		O-CTH	bosWC-17	TRUE	compl
2014-04-12_nykRM-at-bosWC	27	1	12	4	5	ao	0	O-CTH	bosWC-17		O-G	bosWC-9	TRUE	compl
2014-04-12_nykRM-at-bosWC	28	1	13	2	3	ao	0	O-PU	nykRM-4		O-CTH	nykRM-19	TRUE	compl
2014-04-12_nykRM-at-bosWC	28	1	13	3	4	ao	0	O-CTH	nykRM-19		O-CTH	nykRM-44	TRUE	compl
2014-04-12_nykRM-at-bosWC	28	1	13	4	5	ao	0	O-CTH	nykRM-44		O-CTH	nykRM-6	TRUE	compl
2014-04-12_nykRM-at-bosWC	28	1	13	5	7	ao	1	O-CTH	nykRM-6	D-F	O-CTH	nykRM-14	TRUE	compl
2014-04-12_nykRM-at-bosWC	28	1	13	7	8	ao	0	O-CTH	nykRM-14		O-CTH	nykRM-1	TRUE	compl
2014-04-12_nykRM-at-bosWC	28	1	13	8	9	ao	0	O-CTH	nykRM-1		O-CTH	nykRM-4	TRUE	compl
2014-04-12_nykRM-at-bosWC	28	1	13	9	10	ao	0	O-CTH	nykRM-4		O-CTH	nykRM-14	TRUE	compl
2014-04-12_nykRM-at-bosWC	28	1	13	10	11	ao	0	O-CTH	nykRM-14		O-CTH	nykRM-19	TRUE	compl
2014-04-12_nykRM-at-bosWC	28	1	13	11	12	ao	0	O-CTH	nykRM-19		O-CTH	nykRM-6	TRUE	compl
2014-04-12_nykRM-at-bosWC	28	1	13	12	12	an	-1	O-CTH	nykRM-6		NA	nykRM-6	TRUE	taway
2014-04-12_nykRM-at-bosWC	29	2	13	14	15	ao	0	O-PU	bosWC-13		O-CTH	bosWC-00	TRUE	compl
2014-04-12_nykRM-at-bosWC	29	2	13	15	16	ao	0	O-CTH	bosWC-00		O-CTH	bosWC-1	TRUE	compl
2014-04-12_nykRM-at-bosWC	29	2	13	16	17	ao	0	O-CTH	bosWC-1		O-CTH	bosWC-21	TRUE	compl
2014-04-12_nykRM-at-bosWC	29	2	13	17	18	ao	0	O-CTH	bosWC-21		O-G	bosWC-35	TRUE	compl
2014-04-12_nykRM-at-bosWC	30	1	14	2	3	ao	0	O-PU	nykRM-26		O-CTH	nykRM-6	TRUE	compl
2014-04-12_nykRM-at-bosWC	30	1	14	3	4	ao	0	O-CTH	nykRM-6		O-CTH	nykRM-18	TRUE	compl
2014-04-12_nykRM-at-bosWC	30	1	14	4	5	ao	0	O-CTH	nykRM-18		D-D	bosWC-64	TRUE	defd
2014-04-12_nykRM-at-bosWC	31	2	14	6	7	ao	0	O-PU	bosWC-10		O-CTH	bosWC-12	TRUE	compl
2014-04-12_nykRM-at-bosWC	31	2	14	7	8	ao	0	O-CTH	bosWC-12		O-CTH	bosWC-64	TRUE	compl
2014-04-12_nykRM-at-bosWC	31	2	14	8	9	ao	0	O-CTH	bosWC-64		O-CTH	bosWC-29	TRUE	compl
2014-04-12_nykRM-at-bosWC	31	2	14	9	10	ao	0	O-CTH	bosWC-29		O-G	bosWC-12	TRUE	compl
2014-04-12_nykRM-at-bosWC	32	1	15	2	3	ao	0	O-PU	nykRM-6		O-CTH	nykRM-14	TRUE	compl
2014-04-12_nykRM-at-bosWC	32	1	15	3	4	ao	0	O-CTH	nykRM-14		O-CTH	nykRM-21	TRUE	compl
2014-04-12_nykRM-at-bosWC	32	1	15	4	5	ao	0	O-CTH	nykRM-21		O-G	nykRM-4	TRUE	compl
2014-04-12_nykRM-at-bosWC	33	1	16	2	3	ao	0	O-PU	bosWC-13		O-CTH	bosWC-7	TRUE	compl
2014-04-12_nykRM-at-bosWC	33	1	16	3	4	ao	0	O-CTH	bosWC-7		O-TD	bosWC-77	TRUE	drop
2014-04-12_nykRM-at-bosWC	34	2	16	5	6	ao	0	O-PU	nykRM-14		O-CTH	nykRM-5	TRUE	compl
2014-04-12_nykRM-at-bosWC	34	2	16	6	7	ao	0	O-CTH	nykRM-5		O-TO	nykRM-82	TRUE	compl
2014-04-12_nykRM-at-bosWC	34	2	16	8	9	ao	0	O-CTH	nykRM-6		O-CTH	nykRM-4	TRUE	compl
2014-04-12_nykRM-at-bosWC	34	2	16	9	10	ao	0	O-CTH	nykRM-4		O-CTH	nykRM-2	TRUE	compl
2014-04-12_nykRM-at-bosWC	34	2	16	10	11	ao	0	O-CTH	nykRM-2		O-CTH	nykRM-19	TRUE	compl
2014-04-12_nykRM-at-bosWC	34	2	16	11	12	ao	0	O-CTH	nykRM-19		O-CTH	nykRM-14	TRUE	compl
2014-04-12_nykRM-at-bosWC	34	2	16	12	12	an	-1	O-CTH	nykRM-14		NA	nykRM-14	TRUE	taway
2014-04-12_nykRM-at-bosWC	35	3	16	13	14	ao	0	O-PU	bosWC-10		O-CTH	bosWC-43	TRUE	compl
2014-04-12_nykRM-at-bosWC	35	3	16	14	14	an	-1	O-CTH	bosWC-43		NA	bosWC-43	TRUE	taway
2014-04-12_nykRM-at-bosWC	36	4	16	15	16	ao	0	O-PU	nykRM-19		O-CTH	nykRM-41	TRUE	compl
2014-04-12_nykRM-at-bosWC	36	4	16	16	17	ao	0	O-CTH	nykRM-41		O-CTH	nykRM-19	TRUE	compl
2014-04-12_nykRM-at-bosWC	36	4	16	17	18	ao	0	O-CTH	nykRM-19		O-CTH	nykRM-6	TRUE	compl
2014-04-12_nykRM-at-bosWC	36	4	16	18	18	an	-1	O-CTH	nykRM-6		NA	nykRM-6	TRUE	taway
2014-04-12_nykRM-at-bosWC	37	5	16	19	20	ao	0	O-PU	bosWC-10		O-CTH	bosWC-12	TRUE	compl
