game	point	period	clk_before	clk_after	pull_team	n_poss	scor_team	h_or_b	bosWC	nykRM	seaRM	sfoDF	pdxST	vanNH	phlSP	wdcCT
2014-04-12_nykRM-at-bosWC	1	1	10:00:00	8:50:00	nykRM	1	bosWC	hold	1	0	NA	NA	NA	NA	NA	NA
2014-04-12_nykRM-at-bosWC	2	1	8:50:00	7:54:00	bosWC	5	nykRM	hold	1	1	NA	NA	NA	NA	NA	NA
2014-04-12_nykRM-at-bosWC	3	1	7:54:00	6:58:00	nykRM	3	bosWC	hold	2	1	NA	NA	NA	NA	NA	NA
2014-04-12_nykRM-at-bosWC	4	1	6:58:00	4:27:00	bosWC	4	bosWC	break	3	1	NA	NA	NA	NA	NA	NA
2014-04-12_nykRM-at-bosWC	5	1	4:27:00	3:34:00	bosWC	2	bosWC	break	4	1	NA	NA	NA	NA	NA	NA
2014-04-12_nykRM-at-bosWC	6	1	3:34:00	2:13:00	bosWC	4	bosWC	break	5	1	NA	NA	NA	NA	NA	NA
2014-04-12_nykRM-at-bosWC	7	1	2:13:00	1:38:00	bosWC	1	nykRM	hold	5	2	NA	NA	NA	NA	NA	NA
2014-04-12_nykRM-at-bosWC	8	1	1:38:00	1:28:00	nykRM	1	bosWC	hold	6	2	NA	NA	NA	NA	NA	NA
2014-04-12_nykRM-at-bosWC	9	1	1:28:00	0:09:00	bosWC	3	nykRM	hold	6	3	NA	NA	NA	NA	NA	NA
2014-04-12_nykRM-at-bosWC	10	1	0:09:00	0:00:00	nykRM	NA	NA	NA	6	3	NA	NA	NA	NA	NA	NA
2014-04-12_nykRM-at-bosWC	11	2	10:00:00	9:33:00	bosWC	1	nykRM	hold	6	4	NA	NA	NA	NA	NA	NA
2014-04-12_nykRM-at-bosWC	12	2	9:33:00	9:19:00	nykRM	1	bosWC	hold	7	4	NA	NA	NA	NA	NA	NA
2014-04-12_nykRM-at-bosWC	13	2	9:19:00	7:19:00	bosWC	2	bosWC	break	8	4	NA	NA	NA	NA	NA	NA
2014-04-12_nykRM-at-bosWC	14	2	7:19:00	6:23:00	bosWC	2	bosWC	break	9	4	NA	NA	NA	NA	NA	NA
2014-04-12_nykRM-at-bosWC	15	2	6:23:00	NA	bosWC	1	nykRM	hold	9	5	NA	NA	NA	NA	NA	NA
2014-04-12_nykRM-at-bosWC	16	2	6:33:00	3:54:00	nykRM	6	nykRM	break	9	6	NA	NA	NA	NA	NA	NA
2014-04-12_nykRM-at-bosWC	17	2	3:54:00	3:10:00	nykRM	2	nykRM	break	9	7	NA	NA	NA	NA	NA	NA
2014-04-12_nykRM-at-bosWC	18	2	3:10:00	0:18:00	nykRM	5	bosWC	hold	10	7	NA	NA	NA	NA	NA	NA
2014-04-12_nykRM-at-bosWC	19	2	0:18:00	0:00:00	bosWC	NA	NA	NA	10	7	NA	NA	NA	NA	NA	NA
2014-04-12_nykRM-at-bosWC	20	3	10:00:00	9:22:00	nykRM	1	bosWC	hold	11	7	NA	NA	NA	NA	NA	NA
2014-04-12_nykRM-at-bosWC	21	3	9:22:00	7:32:00	bosWC	3	nykRM	hold	11	8	NA	NA	NA	NA	NA	NA
2014-04-12_nykRM-at-bosWC	22	3	7:32:00	6:57:00	nykRM	1	bosWC	hold	12	8	NA	NA	NA	NA	NA	NA
2014-04-12_nykRM-at-bosWC	23	3	6:57:00	5:46:00	bosWC	4	bosWC	break	13	8	NA	NA	NA	NA	NA	NA
2014-04-12_nykRM-at-bosWC	24	3	5:46:00	5:33:00	bosWC	1	nykRM	hold	13	9	NA	NA	NA	NA	NA	NA
2014-04-12_nykRM-at-bosWC	25	3	5:33:00	5:04:00	nykRM	1	bosWC	hold	14	9	NA	NA	NA	NA	NA	NA
2014-04-12_nykRM-at-bosWC	26	3	5:04:00	4:47:00	bosWC	1	nykRM	hold	14	10	NA	NA	NA	NA	NA	NA
2014-04-12_nykRM-at-bosWC	27	3	4:47:00	4:18:00	nykRM	1	bosWC	hold	15	10	NA	NA	NA	NA	NA	NA
2014-04-12_nykRM-at-bosWC	28	3	4:18:00	2:23:00	bosWC	4	bosWC	break	16	10	NA	NA	NA	NA	NA	NA
2014-04-12_nykRM-at-bosWC	29	3	2:23:00	1:40:00	bosWC	2	bosWC	break	17	10	NA	NA	NA	NA	NA	NA
2014-04-12_nykRM-at-bosWC	30	3	1:40:00	0:16:00	bosWC	4	bosWC	break	18	10	NA	NA	NA	NA	NA	NA
2014-04-12_nykRM-at-bosWC	31	3	0:16:00	0:00:00	bosWC	NA	NA	NA	18	10	NA	NA	NA	NA	NA	NA
2014-04-12_nykRM-at-bosWC	32	4	10:00:00	8:57:00	bosWC	1	nykRM	hold	18	11	NA	NA	NA	NA	NA	NA
2014-04-12_nykRM-at-bosWC	33	4	8:57:00	8:06:00	nykRM	1	bosWC	hold	19	11	NA	NA	NA	NA	NA	NA
2014-04-12_nykRM-at-bosWC	34	4	8:06:00	7:31:00	bosWC	1	nykRM	hold	19	12	NA	NA	NA	NA	NA	NA
2014-04-12_nykRM-at-bosWC	35	4	7:31:00	6:07:00	nykRM	3	bosWC	hold	20	12	NA	NA	NA	NA	NA	NA
2014-04-12_nykRM-at-bosWC	36	4	6:06:00	4:30:00	bosWC	1	nykRM	hold	20	13	NA	NA	NA	NA	NA	NA
2014-04-12_nykRM-at-bosWC	37	4	4:30:00	3:34:00	nykRM	1	bosWC	hold	21	13	NA	NA	NA	NA	NA	NA
2014-04-12_nykRM-at-bosWC	38	4	3:34:00	0:39:00	bosWC	6	bosWC	break	22	13	NA	NA	NA	NA	NA	NA
2014-04-12_nykRM-at-bosWC	39	4	0:39:00	0:16:00	bosWC	1	nykRM	hold	22	14	NA	NA	NA	NA	NA	NA
2014-04-12_nykRM-at-bosWC	40	4	0:16:00	0:00:00	nykRM	NA	NA	NA	22	14	NA	NA	NA	NA	NA	NA
2014-04-12_seaRM-at-sfoDF	1	1	10:00:00	NA	sfoDF	1	seaRM	hold	NA	NA	1	0	NA	NA	NA	NA
2014-04-12_seaRM-at-sfoDF	2	1	NA	NA	seaRM	2	seaRM	break	NA	NA	2	0	NA	NA	NA	NA
2014-04-12_seaRM-at-sfoDF	3	1	NA	NA	seaRM	1	sfoDF	hold	NA	NA	2	1	NA	NA	NA	NA
2014-04-12_seaRM-at-sfoDF	4	1	NA	NA	sfoDF	3	seaRM	hold	NA	NA	3	1	NA	NA	NA	NA
2014-04-12_seaRM-at-sfoDF	5	1	NA	NA	seaRM	3	sfoDF	hold	NA	NA	3	2	NA	NA	NA	NA
2014-04-12_seaRM-at-sfoDF	6	1	NA	NA	sfoDF	4	sfoDF	break	NA	NA	3	3	NA	NA	NA	NA
2014-04-12_seaRM-at-sfoDF	7	1	NA	NA	sfoDF	1	seaRM	hold	NA	NA	4	3	NA	NA	NA	NA
2014-04-12_seaRM-at-sfoDF	8	1	NA	NA	seaRM	1	sfoDF	hold	NA	NA	4	4	NA	NA	NA	NA
2014-04-12_seaRM-at-sfoDF	9	1	NA	NA	sfoDF	5	seaRM	hold	NA	NA	5	4	NA	NA	NA	NA
2014-04-12_seaRM-at-sfoDF	10	1	NA	NA	seaRM	2	seaRM	break	NA	NA	6	4	NA	NA	NA	NA
2014-04-12_seaRM-at-sfoDF	11	1	NA	NA	seaRM	NA	NA	NA	NA	NA	6	4	NA	NA	NA	NA
2014-04-12_seaRM-at-sfoDF	12	2	10:00:00	NA	sfoDF	2	sfoDF	break	NA	NA	6	5	NA	NA	NA	NA
2014-04-12_seaRM-at-sfoDF	13	2	NA	NA	sfoDF	3	seaRM	hold	NA	NA	7	5	NA	NA	NA	NA
2014-04-12_seaRM-at-sfoDF	14	2	NA	NA	seaRM	1	sfoDF	hold	NA	NA	7	6	NA	NA	NA	NA
2014-04-12_seaRM-at-sfoDF	15	2	NA	NA	sfoDF	4	sfoDF	break	NA	NA	7	7	NA	NA	NA	NA
2014-04-12_seaRM-at-sfoDF	16	2	NA	NA	sfoDF	4	sfoDF	break	NA	NA	7	8	NA	NA	NA	NA
2014-04-12_seaRM-at-sfoDF	17	2	NA	NA	sfoDF	3	seaRM	hold	NA	NA	8	8	NA	NA	NA	NA
2014-04-12_seaRM-at-sfoDF	18	2	NA	NA	seaRM	5	sfoDF	hold	NA	NA	8	9	NA	NA	NA	NA
2014-04-12_seaRM-at-sfoDF	19	2	NA	NA	sfoDF	1	seaRM	hold	NA	NA	9	9	NA	NA	NA	NA
2014-04-12_seaRM-at-sfoDF	20	2	NA	NA	seaRM	3	sfoDF	hold	NA	NA	9	10	NA	NA	NA	NA
2014-04-12_seaRM-at-sfoDF	21	2	NA	NA	sfoDF	3	seaRM	hold	NA	NA	10	10	NA	NA	NA	NA
2014-04-12_seaRM-at-sfoDF	22	2	NA	NA	seaRM	NA	NA	NA	NA	NA	10	10	NA	NA	NA	NA
2014-04-12_seaRM-at-sfoDF	23	3	10:00:00	NA	sfoDF	4	sfoDF	break	NA	NA	10	11	NA	NA	NA	NA
2014-04-12_seaRM-at-sfoDF	24	3	NA	NA	sfoDF	1	seaRM	hold	NA	NA	11	11	NA	NA	NA	NA
2014-04-12_seaRM-at-sfoDF	25	3	NA	NA	seaRM	2	seaRM	break	NA	NA	12	11	NA	NA	NA	NA
2014-04-12_seaRM-at-sfoDF	26	3	NA	NA	seaRM	2	seaRM	break	NA	NA	13	11	NA	NA	NA	NA
2014-04-12_seaRM-at-sfoDF	27	3	NA	NA	seaRM	2	seaRM	break	NA	NA	14	11	NA	NA	NA	NA
2014-04-12_seaRM-at-sfoDF	28	3	NA	NA	seaRM	1	sfoDF	hold	NA	NA	14	12	NA	NA	NA	NA
2014-04-12_seaRM-at-sfoDF	29	3	NA	NA	sfoDF	6	sfoDF	break	NA	NA	14	13	NA	NA	NA	NA
2014-04-12_seaRM-at-sfoDF	30	3	NA	NA	sfoDF	1	seaRM	hold	NA	NA	15	13	NA	NA	NA	NA
2014-04-12_seaRM-at-sfoDF	31	3	NA	NA	seaRM	3	sfoDF	hold	NA	NA	15	14	NA	NA	NA	NA
2014-04-12_seaRM-at-sfoDF	32	3	NA	NA	sfoDF	2	sfoDF	break	NA	NA	15	15	NA	NA	NA	NA
2014-04-12_seaRM-at-sfoDF	33	3	NA	NA	sfoDF	2	sfoDF	break	NA	NA	15	16	NA	NA	NA	NA
2014-04-12_seaRM-at-sfoDF	34	3	NA	NA	sfoDF	NA	NA	NA	NA	NA	15	16	NA	NA	NA	NA
2014-04-12_seaRM-at-sfoDF	35	4	NA	NA	sfoDF	7	seaRM	hold	NA	NA	16	16	NA	NA	NA	NA
2014-04-12_seaRM-at-sfoDF	36	4	NA	NA	seaRM	7	sfoDF	hold	NA	NA	16	17	NA	NA	NA	NA
2014-04-12_seaRM-at-sfoDF	37	4	NA	NA	sfoDF	4	sfoDF	break	NA	NA	16	18	NA	NA	NA	NA
2014-04-12_seaRM-at-sfoDF	38	4	NA	NA	sfoDF	NA	NA	NA	NA	NA	16	18	NA	NA	NA	NA
2014-04-12_vanNH-at-pdxST	1	1	10:00:00	9:23:00	vanNH	2	vanNH	break	NA	NA	NA	NA	0	1	NA	NA
2014-04-12_vanNH-at-pdxST	2	1	9:23:00	9:01:00	vanNH	1	pdxST	hold	NA	NA	NA	NA	1	1	NA	NA
2014-04-12_vanNH-at-pdxST	3	1	9:01:00	8:49:00	pdxST	1	vanNH	hold	NA	NA	NA	NA	1	2	NA	NA
2014-04-12_vanNH-at-pdxST	4	1	8:49:00	8:11:00	vanNH	2	vanNH	break	NA	NA	NA	NA	1	3	NA	NA
2014-04-12_vanNH-at-pdxST	5	1	8:11:00	7:46:00	vanNH	1	pdxST	hold	NA	NA	NA	NA	2	3	NA	NA
2014-04-12_vanNH-at-pdxST	6	1	7:46:00	6:40:00	pdxST	2	pdxST	break	NA	NA	NA	NA	3	3	NA	NA
2014-04-12_vanNH-at-pdxST	7	1	6:40:00	6:16:00	pdxST	1	vanNH	hold	NA	NA	NA	NA	3	4	NA	NA
2014-04-12_vanNH-at-pdxST	8	1	6:16:00	5:38:00	vanNH	1	pdxST	hold	NA	NA	NA	NA	4	4	NA	NA
2014-04-12_vanNH-at-pdxST	9	1	5:38:00	5:08:00	pdxST	1	vanNH	hold	NA	NA	NA	NA	4	5	NA	NA
2014-04-12_vanNH-at-pdxST	10	1	5:08:00	4:49:00	vanNH	1	pdxST	hold	NA	NA	NA	NA	5	5	NA	NA
2014-04-12_vanNH-at-pdxST	11	1	4:49:00	4:12:00	pdxST	1	vanNH	hold	NA	NA	NA	NA	5	6	NA	NA
2014-04-12_vanNH-at-pdxST	12	1	4:12:00	3:50:00	vanNH	1	pdxST	hold	NA	NA	NA	NA	6	6	NA	NA
2014-04-12_vanNH-at-pdxST	13	1	3:50:00	1:33:00	pdxST	5	vanNH	hold	NA	NA	NA	NA	6	7	NA	NA
2014-04-12_vanNH-at-pdxST	14	1	1:33:00	1:09:00	vanNH	3	pdxST	hold	NA	NA	NA	NA	7	7	NA	NA
2014-04-12_vanNH-at-pdxST	15	1	1:09:00	0:53:00	pdxST	2	pdxST	break	NA	NA	NA	NA	8	7	NA	NA
2014-04-12_vanNH-at-pdxST	16	1	0:53:00	0:01:00	pdxST	2	pdxST	break	NA	NA	NA	NA	9	7	NA	NA
2014-04-12_vanNH-at-pdxST	17	1	0:01:00	0:00:00	pdxST	NA	NA	NA	NA	NA	NA	NA	9	7	NA	NA
2014-04-12_vanNH-at-pdxST	18	2	10:00:00	9:44:00	pdxST	1	vanNH	hold	NA	NA	NA	NA	9	8	NA	NA
2014-04-12_vanNH-at-pdxST	19	2	9:44:00	8:41:00	vanNH	2	vanNH	break	NA	NA	NA	NA	9	9	NA	NA
2014-04-12_vanNH-at-pdxST	20	2	8:41:00	7:34:00	vanNH	2	vanNH	break	NA	NA	NA	NA	9	10	NA	NA
2014-04-12_vanNH-at-pdxST	21	2	7:34:00	6:49:00	vanNH	1	pdxST	hold	NA	NA	NA	NA	10	10	NA	NA
2014-04-12_vanNH-at-pdxST	22	2	6:49:00	4:13:00	pdxST	5	vanNH	hold	NA	NA	NA	NA	10	11	NA	NA
2014-04-12_vanNH-at-pdxST	23	2	4:13:00	2:02:00	vanNH	2	vanNH	break	NA	NA	NA	NA	10	12	NA	NA
2014-04-12_vanNH-at-pdxST	24	2	2:02:00	1:14:00	vanNH	1	pdxST	hold	NA	NA	NA	NA	11	12	NA	NA
2014-04-12_vanNH-at-pdxST	25	2	1:14:00	0:45:00	pdxST	1	vanNH	hold	NA	NA	NA	NA	11	13	NA	NA
