Pulling team: Washington DC Current
Period: 3
Clock before point: 6:36:00
Clock after point: 2:02:00
Offense	Defense
	5p
20pu	
7	
9	
7	
20	
7	
14	
27	
14	
20	
9	
20	
7	
20	
27	
14	7f
	4d
1so	4so
11si	90si
11f	90pu
	23
32pu	
14	
20	
27	
20	
11	
32	
20	
	90pu
	21
	31
	23
	5
	7
	5
	23
	90
7pu	
20	
9	
20to	
71pu	
	15pu
	12
	15
	25
	15
	12
	22
	15
	19g
