point	Pulling.team	Period	Clock.before.point	Clock.after.point
1	Vancouver Nighthawks	1	10:00:00	9:23:00
2	Vancouver Nighthawks	1	9:23:00	9:01:00
3	Portland Stags	1	9:01:00	8:49:00
4	Vancouver Nighthawks	1	8:49:00	8:11:00
5	Vancouver Nighthawks	1	8:11:00	7:46:00
6	Portland Stags	1	7:46:00	6:40:00
7	Portland Stags	1	6:40:00	6:16:00
8	Vancouver Nighthawks	1	6:16:00	5:38:00
9	Portland Stags	1	5:38:00	5:08:00
10	Vancouver Nighthawks	1	5:08:00	4:49:00
11	Portland Stags	1	4:49:00	4:12:00
12	Vancouver Nighthawks	1	4:12:00	3:50:00
13	Portland Stags	1	3:50:00	1:33:00
14	Vancouver Nighthawks	1	1:33:00	1:09:00
15	Portland Stags	1	1:09:00	0:53:00
16	Portland Stags	1	0:53:00	0:01:00
17	Portland Stags	1	0:01:00	0:00:00
18	Portland Stags	2	10:00:00	9:44:00
19	Vancouver Nighthawks	2	9:44:00	8:41:00
20	Vancouver Nighthawks	2	8:41:00	7:34:00
21	Vancouver Nighthawks	2	7:34:00	6:49:00
22	Portland Stags	2	6:49:00	4:13:00
23	Vancouver Nighthawks	2	4:13:00	2:02:00
24	Vancouver Nighthawks	2	2:02:00	1:14:00
25	Portland Stags	2	1:14:00	0:45:00
26	Vancouver Nighthawks	2	0:45:00	0:16:00
27	Portland Stags	2	0:16:00	0:00:00
28	Vancouver Nighthawks	3	10:00:00	9:38:00
29	Portland Stags	3	9:38:00	8:09:00
30	Portland Stags	3	8:09:00	6:22:00
31	Portland Stags	3	6:22:00	4:19:00
32	Portland Stags	3	4:19:00	2:45:00
33	Vancouver Nighthawks	3	2:45:00	2:22:00
34	Portland Stags	3	2:22:00	1:17:00
35	Portland Stags	3	1:17:00	0:26:00
36	Vancouver Nighthawks	3	0:26:00	0:00:00
37	Portland Stags	4	10:00:00	9:21:00
38	Vancouver Nighthawks	4	9:21:00	7:52:00
39	Vancouver Nighthawks	4	7:52:00	7:31:00
40	Portland Stags	4	7:31:00	7:11:00
41	Vancouver Nighthawks	4	7:11:00	5:05:00
42	Portland Stags	4	5:05:00	4:53:00
43	Vancouver Nighthawks	4	4:53:00	2:28:00
44	Portland Stags	4	2:28:00	2:03:00
45	Vancouver Nighthawks	4	2:03:00	0:37:00
46	Portland Stags	4	0:37:00	0:19:00
47	Vancouver Nighthawks	4	0:19:00	0:00:00
