first	last	number
michael	hennessy	4
christopher	mazur	6
isaac	saul	19
andrew	bosco	26
milo	snyder	50
marklan	kuzmowycz	1
dan	heljmen	2
dave	vuckovich	14
ignacio	yz	18
dan	glatt	24
jake	herman	33
ben	faust	41
robbie	gillies	44
michael	sender	5
kevin	riley	7
evan	walter	9
matthew	baum	15
matthew	wilson	27
adrian	banerji	38
lucas	murphy	47
jonathan	cox	3
austin	raymond	8
matt	hennessy	10
quinn	hunziker	13
joseph	anderson	21
jack	marsh	22
brenton	hard	45
sean	murray	81
marques	brownlee	82
