point	period	clk_before	clk_after	pull_team	n_poss	scor_team	h_or_b	nykRM	wdcCT	pt_dur	pt_dur_txt
1	1	10:00:00	8:55:00	nykRM	3	wdcCT	hold	0	1	65	01:05
2	1	8:55:00	7:30:00	wdcCT	3	nykRM	hold	1	1	85	01:25
3	1	7:30:00	6:16:00	nykRM	2	nykRM	break	2	1	74	01:14
4	1	6:16:00	5:48:00	nykRM	1	wdcCT	hold	2	2	28	00:28
5	1	5:48:00	5:22:00	wdcCT	1	nykRM	hold	3	2	26	00:26
6	1	5:22:00	5:00:00	nykRM	1	wdcCT	hold	3	3	22	00:22
7	1	5:00:00	3:08:00	wdcCT	3	nykRM	hold	4	3	112	01:52
8	1	3:08:00	2:16:00	nykRM	3	wdcCT	hold	4	4	52	00:52
9	1	2:16:00	1:46:00	wdcCT	1	nykRM	hold	5	4	30	00:30
10	1	1:46:00	0:47:40	nykRM	3	wdcCT	hold	5	5	59	00:59
11	1	0:47:40	0:05:30	wdcCT	2	wdcCT	break	5	6	42	00:42
12	1	0:05:30	0:00:00	wdcCT	NA	NA	NA	5	6	5	00:05
13	2	10:00:00	9:46:00	wdcCT	2	wdcCT	break	5	7	14	00:14
14	2	9:46:00	8:34:00	wdcCT	1	nykRM	hold	6	7	72	01:12
15	2	8:34:00	7:44:00	nykRM	3	wdcCT	hold	6	8	50	00:50
16	2	7:44:00	6:55:00	wdcCT	1	nykRM	hold	7	8	49	00:49
17	2	6:55:00	6:27:00	nykRM	1	wdcCT	hold	7	9	28	00:28
18	2	6:27:00	5:34:00	wdcCT	3	nykRM	hold	8	9	53	00:53
19	2	5:34:00	5:05:00	nykRM	1	wdcCT	hold	8	10	29	00:29
20	2	5:05:00	4:51:00	wdcCT	2	wdcCT	break	8	11	14	00:14
21	2	4:51:00	4:07:00	wdcCT	2	wdcCT	break	8	12	44	00:44
22	2	4:07:00	3:08:00	wdcCT	1	nykRM	hold	9	12	59	00:59
23	2	3:08:00	1:14:00	nykRM	6	nykRM	break	10	12	114	01:54
24	2	1:14:00	0:00:00	nykRM	NA	NA	NA	10	12	74	01:14
25	3	10:00:00	8:03:00	nykRM	3	wdcCT	hold	10	13	117	01:57
26	3	8:03:00	7:22:00	wdcCT	1	nykRM	hold	11	13	41	00:41
27	3	7:22:00	6:17:00	nykRM	2	nykRM	break	12	13	65	01:05
28	3	6:17:00	5:04:00	nykRM	3	wdcCT	hold	12	14	73	01:13
29	3	5:04:00	4:32:00	wdcCT	2	wdcCT	break	12	15	32	00:32
30	3	4:32:00	1:23:00	wdcCT	7	nykRM	hold	13	15	189	03:09
31	3	1:23:00	0:00:00	nykRM	NA	NA	NA	13	15	83	01:23
32	4	10:00:00	9:43:00	wdcCT	1	nykRM	hold	14	15	17	00:17
33	4	9:43:00	9:00:00	nykRM	1	wdcCT	hold	14	16	43	00:43
34	4	9:00:00	8:24:00	wdcCT	1	nykRM	hold	15	16	36	00:36
35	4	8:24:00	6:18:00	nykRM	3	wdcCT	hold	15	17	126	02:06
36	4	6:18:00	5:40:00	wdcCT	2	wdcCT	break	15	18	38	00:38
37	4	5:40:00	4:25:00	wdcCT	2	wdcCT	break	15	19	75	01:15
38	4	4:25:00	2:59:00	wdcCT	2	wdcCT	break	15	20	86	01:26
39	4	2:59:00	0:29:09	wdcCT	4	wdcCT	break	15	21	150	02:30
40	4	0:29:09	0:00:00	wdcCT	NA	NA	NA	15	21	29	00:29
