Pulling team: Philadelphia
Period: 1
Clock before point: 8:26:00
Clock after point: 4:03:00
Offense	Defense
	16obp
19pu	
4	
19	
14	
19	
50	
50so	
26si	
26pu	
19	
14	
	11d
	11pu
	21
4d	
4pu	
22f	
14	
41l	
14	
26vst	
	2pu
	21
	6
	2
	64
19pu	
4	
22	
	21pu
	64
	16
	2
	64
4pu	
10	
14	
10	
4	
14	
4	
22	
14	
	16d
	2pu
	6
	16
	31
	6
	64g
