point	Pulling.team	Period	Clock.before.point	Clock.after.point
1	Vancouver Nighthawks	1	10:00:00	8:23:00
2	Vancouver Nighthawks	1	8:23:00	5:14:00
3	Portland Stags	1	5:14:00	4:24:00
4	Portland Stags	1	4:24:00	3:44
5	Portland Stags	1	3:44	2:19
6	Portland Stags	1	2:19	1:14
7	Vancouver Nighthawks	1	1:14	0:39
8	Vancouver Nighthawks	1	0:39	0:14
9	Portland Stags	1	0:14	0:00
10	Portland Stags	2	10:00	9:23
11	Vancouver Nighthawks	2	9:23	8:42
12	Portland Stags	2	8:42	7:21
13	Portland Stags	2	7:21	7:02
14	Vancouver Nighthawks	2	7:02	6:23
15	Vancouver Nighthawks	2	6:23	5:27
16	Portland Stags	2	5:27	5:09
17	Vancouver Nighthawks	2	5:09	3:57
18	Portland Stags	2	3:57	3:46
19	Portland Stags	2	3:46	3:27
20	Vancouver Nighthawks	2	3:27	2:34
21	Vancouver Nighthawks	2	2:34	2:04
22	Portland Stags	2	2:04	0:53
23	Portland Stags	2	0:53	0:06
24	Vancouver Nighthawks	2	0:06	0:00
25	Vancouver Nighthawks	3	10:00	8:48
26	Vancouver Nighthawks	3	8:48	8:29
27	Portland Stags	3	8:29	7:50
28	Vancouver Nighthawks	3	7:50	7:39
29	Portland Stags	3	7:39	6:58
30	Portland Stags	3	6:58	6:25
31	Vancouver Nighthawks	3	6:25	5:13
32	Portland Stags	3	5:13	4:58
33	Vancouver Nighthawks	3	4:58	4:34
34	Vancouver Nighthawks	3	4:34	4:18
35	Portland Stags	3	4:18	2:42
36	Portland Stags	3	2:42	2:26
37	Vancouver Nighthawks	3	2:26	1:25
38	Vancouver Nighthawks	3	1:25	0:34
39	Portland Stags	3	0:34	0:16
40	Vancouver Nighthawks	3	0:16	0:03
41	Portland Stags	3	0:03	0:00
42	Portland Stags	4	10:00	8:16
43	Portland Stags	4	8:16	7:50
44	Vancouver Nighthawks	4	7:50	5:28
45	Portland Stags	4	5:28	1:38
46	Portland Stags	4	1:38	0:41
47	Vancouver Nighthawks	4	0:41	0:13
48	Portland Stags	4	0:13	0:00
49	NA	4	0:00	NA
