point	pullTeam	recvTeam	event	pullNum	pullCode	recvNum	recvCode	scorTeam
11	seaRM	vanNH	8			89		vanNH
11	seaRM	vanNH	9			5		vanNH
11	seaRM	vanNH	10			89		vanNH
11	seaRM	vanNH	11			21	A	vanNH
11	seaRM	vanNH	12			98	G	vanNH
12	vanNH	seaRM	1	8	P			NA
12	vanNH	seaRM	2			17	PU	NA
12	vanNH	seaRM	3			1		NA
12	vanNH	seaRM	4	8	D			NA
13	vanNH	seaRM	1	81	P			seaRM
13	vanNH	seaRM	2			20		seaRM
13	vanNH	seaRM	3			6		seaRM
13	vanNH	seaRM	4			20		seaRM
13	vanNH	seaRM	5			1		seaRM
13	vanNH	seaRM	6			17		seaRM
13	vanNH	seaRM	7			1		seaRM
13	vanNH	seaRM	8			99		seaRM
13	vanNH	seaRM	9			17		seaRM
13	vanNH	seaRM	10			26		seaRM
13	vanNH	seaRM	11			6		seaRM
13	vanNH	seaRM	12			26		seaRM
13	vanNH	seaRM	13			48		seaRM
13	vanNH	seaRM	14			6		seaRM
13	vanNH	seaRM	15			20	A	seaRM
13	vanNH	seaRM	16			48	G	seaRM
14	seaRM	vanNH	1	18	P			vanNH
14	seaRM	vanNH	2			5		vanNH
14	seaRM	vanNH	3			91		vanNH
14	seaRM	vanNH	4			21		vanNH
14	seaRM	vanNH	5			19	A	vanNH
14	seaRM	vanNH	6			22	LG	vanNH
15	vanNH	seaRM	1	33	OBP			vanNH
15	vanNH	seaRM	2			18	PU	vanNH
15	vanNH	seaRM	3	7	D			vanNH
15	vanNH	seaRM	4	18	PU			vanNH
15	vanNH	seaRM	5	8	A			vanNH
15	vanNH	seaRM	6	14	G			vanNH
16	vanNH	seaRM	1	37	P			vanNH
16	vanNH	seaRM	2			17		vanNH
16	vanNH	seaRM	3			20		vanNH
16	vanNH	seaRM	4			99		vanNH
16	vanNH	seaRM	5			17		vanNH
16	vanNH	seaRM	6			1		vanNH
16	vanNH	seaRM	7			17		vanNH
16	vanNH	seaRM	8			6		vanNH
16	vanNH	seaRM	9	13	D			vanNH
16	vanNH	seaRM	10	13	SO			vanNH
16	vanNH	seaRM	11			1	SO	vanNH
16	vanNH	seaRM	12	21	SI			vanNH
16	vanNH	seaRM	13			9	SI	vanNH
16	vanNH	seaRM	14	45	PU			vanNH
16	vanNH	seaRM	15	21				vanNH
16	vanNH	seaRM	16	27				vanNH
16	vanNH	seaRM	17	8				vanNH
16	vanNH	seaRM	18	45	LA			vanNH
16	vanNH	seaRM	19	37	G			vanNH
17	vanNH	seaRM	1	33	P			seaRM
17	vanNH	seaRM	2			20		seaRM
17	vanNH	seaRM	3			1		seaRM
17	vanNH	seaRM	4			17		seaRM
17	vanNH	seaRM	5			1		seaRM
17	vanNH	seaRM	6			20		seaRM
17	vanNH	seaRM	7	18	F			seaRM
17	vanNH	seaRM	8			1		seaRM
17	vanNH	seaRM	9			17		seaRM
17	vanNH	seaRM	10			20	A	seaRM
17	vanNH	seaRM	11			48	G	seaRM
18	seaRM	vanNH	1	24	P			vanNH
18	seaRM	vanNH	2			19	PU	vanNH
18	seaRM	vanNH	3			89		vanNH
18	seaRM	vanNH	4			98		vanNH
18	seaRM	vanNH	5			22	A	vanNH
18	seaRM	vanNH	6			91	LG	vanNH
19	vanNH	seaRM	1	37	P			seaRM
19	vanNH	seaRM	2			1		seaRM
19	vanNH	seaRM	3			20		seaRM
19	vanNH	seaRM	4			99		seaRM
19	vanNH	seaRM	5			6		seaRM
19	vanNH	seaRM	6	24	D			seaRM
19	vanNH	seaRM	7	45	PU			seaRM
19	vanNH	seaRM	8	27	L			seaRM
19	vanNH	seaRM	9			48	D	seaRM
19	vanNH	seaRM	10			20	PU	seaRM
19	vanNH	seaRM	11			17		seaRM
19	vanNH	seaRM	12			20		seaRM
19	vanNH	seaRM	13			1	L	seaRM
19	vanNH	seaRM	14			6	A	seaRM
19	vanNH	seaRM	15			99	G	seaRM
20	seaRM	vanNH	1	18	P			vanNH
20	seaRM	vanNH	2			19		vanNH
20	seaRM	vanNH	3			5		vanNH
20	seaRM	vanNH	4			21		vanNH
20	seaRM	vanNH	5			5		vanNH
20	seaRM	vanNH	6			19		vanNH
20	seaRM	vanNH	7			89		vanNH
20	seaRM	vanNH	8			22		vanNH
20	seaRM	vanNH	9			21		vanNH
20	seaRM	vanNH	10			72		vanNH
20	seaRM	vanNH	11			21		vanNH
20	seaRM	vanNH	12			19		vanNH
20	seaRM	vanNH	13			89		vanNH
20	seaRM	vanNH	14			21		vanNH
20	seaRM	vanNH	15	23	D			vanNH
20	seaRM	vanNH	16	23				vanNH
20	seaRM	vanNH	17	29				vanNH
20	seaRM	vanNH	18			5	PUA	vanNH
20	seaRM	vanNH	19			72	G	vanNH
21	vanNH	seaRM	1	8	P			seaRM
21	vanNH	seaRM	2			20	PU	seaRM
21	vanNH	seaRM	3			17		seaRM
21	vanNH	seaRM	4			25		seaRM
21	vanNH	seaRM	5			20	A	seaRM
21	vanNH	seaRM	6			8	LG	seaRM
22	seaRM	vanNH	1	?	P			vanNH
22	seaRM	vanNH	2			5	PU	vanNH
22	seaRM	vanNH	3			21		vanNH
22	seaRM	vanNH	4			5		vanNH
22	seaRM	vanNH	5			89		vanNH
22	seaRM	vanNH	6			91		vanNH
22	seaRM	vanNH	7			10		vanNH
22	seaRM	vanNH	8			91	A	vanNH
22	seaRM	vanNH	9			21	G	vanNH
23	vanNH	seaRM	1	33	P			seaRM
23	vanNH	seaRM	2			20		seaRM
23	vanNH	seaRM	3			1		seaRM
23	vanNH	seaRM	4			20		seaRM
23	vanNH	seaRM	5			17		seaRM
23	vanNH	seaRM	6			8		seaRM
23	vanNH	seaRM	7			20		seaRM
23	vanNH	seaRM	8			48		seaRM
23	vanNH	seaRM	9	8	F			seaRM
23	vanNH	seaRM	10			1		seaRM
23	vanNH	seaRM	11			99		seaRM
23	vanNH	seaRM	12			1		seaRM
23	vanNH	seaRM	13			17	A	seaRM
23	vanNH	seaRM	14			48	G	seaRM
24	seaRM	vanNH	1	18	P			vanNH
24	seaRM	vanNH	2			19		vanNH
24	seaRM	vanNH	3			91		vanNH
24	seaRM	vanNH	4			21		vanNH
24	seaRM	vanNH	5			10		vanNH
24	seaRM	vanNH	6	23	D			vanNH
24	seaRM	vanNH	7	23	TO			vanNH
24	seaRM	vanNH	8	20	PU			vanNH
24	seaRM	vanNH	9	1				vanNH
24	seaRM	vanNH	10	17				vanNH
24	seaRM	vanNH	11	25				vanNH
24	seaRM	vanNH	12	48				vanNH
24	seaRM	vanNH	13	99				vanNH
24	seaRM	vanNH	14	6				vanNH
24	seaRM	vanNH	15	17				vanNH
24	seaRM	vanNH	16	25				vanNH
24	seaRM	vanNH	17			81	TO	vanNH
24	seaRM	vanNH	18			5	PU	vanNH
24	seaRM	vanNH	19			19		vanNH
24	seaRM	vanNH	20			98		vanNH
24	seaRM	vanNH	21			10	L	vanNH
24	seaRM	vanNH	22			21		vanNH
24	seaRM	vanNH	23			5		vanNH
24	seaRM	vanNH	24			89		vanNH
24	seaRM	vanNH	25			5		vanNH
24	seaRM	vanNH	26			21		vanNH
24	seaRM	vanNH	27			19		vanNH
24	seaRM	vanNH	28			5	A	vanNH
24	seaRM	vanNH	29			72	G	vanNH
25	vanNH	seaRM	1	33	P			NA
25	vanNH	seaRM	2			6		NA
25	vanNH	seaRM	3			20		NA
25	vanNH	seaRM	4			99		NA
25	vanNH	seaRM	5			17		NA
25	vanNH	seaRM	6	22	F			NA
25	vanNH	seaRM	7			1		NA
25	vanNH	seaRM	8	24	D			NA
25	vanNH	seaRM	9	27	PU			NA
25	vanNH	seaRM	10	45				NA
26	seaRM	vanNH	1	29	P			seaRM
26	seaRM	vanNH	2			89	PU	seaRM
26	seaRM	vanNH	3			19		seaRM
26	seaRM	vanNH	4			5		seaRM
26	seaRM	vanNH	5			98		seaRM
26	seaRM	vanNH	6			21		seaRM
26	seaRM	vanNH	7	18	D			seaRM
26	seaRM	vanNH	8	29	PU			seaRM
26	seaRM	vanNH	9	9				seaRM
26	seaRM	vanNH	10	29				seaRM
26	seaRM	vanNH	11	9				seaRM
26	seaRM	vanNH	12	29				seaRM
26	seaRM	vanNH	13	9				seaRM
26	seaRM	vanNH	14	21	L			seaRM
26	seaRM	vanNH	15	15				seaRM
26	seaRM	vanNH	16	18				seaRM
26	seaRM	vanNH	17	29	A			seaRM
26	seaRM	vanNH	18	15	G			seaRM
27	seaRM	vanNH	1	29	P			vanNH
27	seaRM	vanNH	2			91	PU	vanNH
27	seaRM	vanNH	3			89		vanNH
27	seaRM	vanNH	4			22		vanNH
27	seaRM	vanNH	5			89		vanNH
27	seaRM	vanNH	6			75	A	vanNH
27	seaRM	vanNH	7			13	G	vanNH
28	vanNH	seaRM	1	81	P			seaRM
28	vanNH	seaRM	2			1		seaRM
28	vanNH	seaRM	3			20		seaRM
28	vanNH	seaRM	4			1		seaRM
28	vanNH	seaRM	5			20		seaRM
28	vanNH	seaRM	6			17		seaRM
28	vanNH	seaRM	7			25	L	seaRM
28	vanNH	seaRM	8			1		seaRM
28	vanNH	seaRM	9			17		seaRM
28	vanNH	seaRM	10			20		seaRM
28	vanNH	seaRM	11			8		seaRM
28	vanNH	seaRM	12			20		seaRM
28	vanNH	seaRM	13			17		seaRM
28	vanNH	seaRM	14			20		seaRM
28	vanNH	seaRM	15			17	A	seaRM
28	vanNH	seaRM	16			48	G	seaRM
29	seaRM	vanNH	1	29	P			vanNH
29	seaRM	vanNH	2			19	PU	vanNH
29	seaRM	vanNH	3			91		vanNH
29	seaRM	vanNH	4			22		vanNH
29	seaRM	vanNH	5			72	A	vanNH
29	seaRM	vanNH	6			98	LG	vanNH
30	vanNH	seaRM	1	33	P			seaRM
30	vanNH	seaRM	2			17		seaRM
30	vanNH	seaRM	3			20		seaRM
30	vanNH	seaRM	4			25		seaRM
30	vanNH	seaRM	5			1		seaRM
30	vanNH	seaRM	6			25		seaRM
30	vanNH	seaRM	7			1		seaRM
30	vanNH	seaRM	8			48	A	seaRM
30	vanNH	seaRM	9			6	G	seaRM
31	seaRM	vanNH	1	29	P			vanNH
31	seaRM	vanNH	2			89	PU	vanNH
31	seaRM	vanNH	3			5		vanNH
31	seaRM	vanNH	4			21		vanNH
31	seaRM	vanNH	5			22		vanNH
31	seaRM	vanNH	6			10		vanNH
31	seaRM	vanNH	7	15	D			vanNH
