game	period	point	pull_team	poss_abs	poss_rel	event	poss_team	pl_team	pl_pnum	pl_code	n_events	huck	score	scor_team	who	a_code	b_code
2014-04-12_vanNH-at-pdxST	2	20	vanNH	33	2	18	vanNH	vanNH	21	LG	5	TRUE	TRUE	vanNH	d_line	G	G
2014-04-12_vanNH-at-pdxST	2	21	vanNH	34	1	15	pdxST	pdxST	16	LG	15	TRUE	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	2	22	pdxST	35	1	10	vanNH	pdxST	21	D	10	FALSE	FALSE	NA	o_line	D	def +
2014-04-12_vanNH-at-pdxST	2	22	pdxST	36	2	13	pdxST	vanNH	89	D	3	FALSE	FALSE	NA	d_line	D	def +
2014-04-12_vanNH-at-pdxST	2	22	pdxST	37	3	20	vanNH	pdxST	8	D	7	FALSE	FALSE	NA	o_line	D	def +
2014-04-12_vanNH-at-pdxST	2	22	pdxST	38	4	30	pdxST	vanNH	31	D	10	FALSE	FALSE	NA	d_line	D	def +
2014-04-12_vanNH-at-pdxST	2	22	pdxST	39	5	36	vanNH	vanNH	31	G	6	TRUE	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	2	23	vanNH	40	1	17	pdxST	vanNH	81	D	17	FALSE	FALSE	NA	o_line	D	def +
2014-04-12_vanNH-at-pdxST	2	23	vanNH	41	2	34	vanNH	vanNH	98	G	17	FALSE	TRUE	vanNH	d_line	G	G
2014-04-12_vanNH-at-pdxST	2	24	vanNH	42	1	17	pdxST	pdxST	13	G	17	FALSE	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	2	25	pdxST	43	1	9	vanNH	vanNH	10	G	9	FALSE	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	2	26	vanNH	44	1	10	pdxST	pdxST	13	G	10	FALSE	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	2	27	pdxST	45	1	6	vanNH	pdxST	22	eop	6	FALSE	FALSE	NA	o_line	eop	eop
2014-04-12_vanNH-at-pdxST	3	28	vanNH	46	1	9	pdxST	pdxST	13	LG	9	TRUE	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	3	29	pdxST	47	1	5	vanNH	vanNH	22	TD	5	FALSE	FALSE	NA	o_line	TD	off -
2014-04-12_vanNH-at-pdxST	3	29	pdxST	48	2	7	pdxST	vanNH	22	D	2	FALSE	FALSE	NA	d_line	D	def +
2014-04-12_vanNH-at-pdxST	3	29	pdxST	49	3	9	vanNH	vanNH	21	TD	2	FALSE	FALSE	NA	o_line	TD	off -
2014-04-12_vanNH-at-pdxST	3	29	pdxST	50	4	19	pdxST	pdxST	3	G	10	FALSE	TRUE	pdxST	d_line	G	G
2014-04-12_vanNH-at-pdxST	3	30	pdxST	51	1	4	vanNH	vanNH	5	TA	4	FALSE	FALSE	NA	o_line	TA	off -
2014-04-12_vanNH-at-pdxST	3	30	pdxST	52	2	8	pdxST	vanNH	8	D	4	FALSE	FALSE	NA	d_line	D	def +
2014-04-12_vanNH-at-pdxST	3	30	pdxST	53	3	12	vanNH	vanNH	22	TD	4	FALSE	FALSE	NA	o_line	TD	off -
2014-04-12_vanNH-at-pdxST	3	30	pdxST	54	4	18	pdxST	pdxST	13	G	6	FALSE	TRUE	pdxST	d_line	G	G
2014-04-12_vanNH-at-pdxST	3	31	pdxST	55	1	5	vanNH	vanNH	89	TA	5	FALSE	FALSE	NA	o_line	TA	off -
2014-04-12_vanNH-at-pdxST	3	31	pdxST	56	2	34	pdxST	pdxST	7	G	29	FALSE	TRUE	pdxST	d_line	G	G
2014-04-12_vanNH-at-pdxST	3	32	pdxST	57	1	8	vanNH	pdxST	3	D	8	FALSE	FALSE	NA	o_line	D	def +
2014-04-12_vanNH-at-pdxST	3	32	pdxST	58	2	10	pdxST	pdxST	16	TA	2	FALSE	FALSE	NA	d_line	TA	off -
2014-04-12_vanNH-at-pdxST	3	32	pdxST	59	3	24	vanNH	vanNH	22	G	14	FALSE	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	3	33	vanNH	60	1	8	pdxST	pdxST	13	G	8	TRUE	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	3	34	pdxST	61	1	6	vanNH	vanNH	89	TA	6	FALSE	FALSE	NA	o_line	TA	off -
2014-04-12_vanNH-at-pdxST	3	34	pdxST	62	2	15	pdxST	pdxST	42	G	9	TRUE	TRUE	pdxST	d_line	G	G
2014-04-12_vanNH-at-pdxST	3	35	pdxST	63	1	5	vanNH	vanNH	98	TD	5	FALSE	FALSE	NA	o_line	TD	off -
2014-04-12_vanNH-at-pdxST	3	35	pdxST	64	2	10	pdxST	pdxST	88	VST	5	FALSE	FALSE	NA	d_line	VST	off -
2014-04-12_vanNH-at-pdxST	3	35	pdxST	65	3	12	vanNH	vanNH	75	G	2	FALSE	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	3	36	vanNH	66	1	10	pdxST	pdxST	42	eop	10	FALSE	FALSE	NA	o_line	eop	eop
2014-04-12_vanNH-at-pdxST	4	37	pdxST	67	1	14	vanNH	vanNH	72	G	14	FALSE	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	4	38	vanNH	68	1	7	pdxST	vanNH	8	D	7	FALSE	FALSE	NA	o_line	D	def +
2014-04-12_vanNH-at-pdxST	4	38	vanNH	69	2	22	vanNH	vanNH	45	G	15	TRUE	TRUE	vanNH	d_line	G	G
2014-04-12_vanNH-at-pdxST	4	39	vanNH	70	1	8	pdxST	pdxST	13	LG	8	TRUE	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	4	40	pdxST	71	1	7	vanNH	vanNH	72	G	7	FALSE	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	4	41	vanNH	72	1	38	pdxST	pdxST	10	G	38	FALSE	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	4	42	pdxST	73	1	5	vanNH	vanNH	10	LG	5	TRUE	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	4	43	vanNH	74	1	14	pdxST	vanNH	33	D	14	FALSE	FALSE	NA	o_line	D	def +
2014-04-12_vanNH-at-pdxST	4	43	vanNH	75	2	19	vanNH	vanNH	8	TA	5	FALSE	FALSE	NA	d_line	TA	off -
2014-04-12_vanNH-at-pdxST	4	43	vanNH	76	3	24	pdxST	pdxST	13	TD	5	FALSE	FALSE	NA	o_line	TD	off -
2014-04-12_vanNH-at-pdxST	4	43	vanNH	77	4	33	vanNH	vanNH	98	TD	9	FALSE	FALSE	NA	d_line	TD	off -
2014-04-12_vanNH-at-pdxST	4	43	vanNH	78	5	35	pdxST	pdxST	17	LG	2	TRUE	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	4	44	pdxST	79	1	7	vanNH	vanNH	22	G	7	FALSE	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	4	45	vanNH	80	1	23	pdxST	pdxST	13	G	23	FALSE	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	4	46	pdxST	81	1	6	vanNH	vanNH	98	G	6	TRUE	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	4	47	vanNH	82	1	6	pdxST	pdxST	2	G	6	TRUE	TRUE	pdxST	o_line	G	G
2014-04-20_sfoDF-at-vanNH	1	1	vanNH	1	1	5	sfoDF	vanNH	27	D	5	FALSE	FALSE	NA	o_line	D	def +
2014-04-20_sfoDF-at-vanNH	1	1	vanNH	2	2	8	vanNH	sfoDF	34	HB	3	FALSE	FALSE	NA	d_line	D	def +
2014-04-20_sfoDF-at-vanNH	1	1	vanNH	3	3	11	sfoDF	sfoDF	23	TD	3	FALSE	FALSE	NA	o_line	TD	off -
2014-04-20_sfoDF-at-vanNH	1	1	vanNH	4	4	20	vanNH	vanNH	81	G	9	FALSE	TRUE	vanNH	d_line	G	G
2014-04-20_sfoDF-at-vanNH	1	2	vanNH	5	1	5	sfoDF	sfoDF	3	G	5	FALSE	TRUE	sfoDF	o_line	G	G
2014-04-20_sfoDF-at-vanNH	1	3	sfoDF	6	1	6	vanNH	vanNH	98	TA	6	FALSE	FALSE	NA	o_line	TA	off -
2014-04-20_sfoDF-at-vanNH	1	3	sfoDF	7	2	9	sfoDF	sfoDF	17	TD	3	FALSE	FALSE	NA	d_line	TD	off -
2014-04-20_sfoDF-at-vanNH	1	3	sfoDF	8	3	12	vanNH	vanNH	91	G	3	FALSE	TRUE	vanNH	o_line	G	G
2014-04-20_sfoDF-at-vanNH	1	4	vanNH	9	1	4	sfoDF	vanNH	8	D	4	FALSE	FALSE	NA	o_line	D	def +
2014-04-20_sfoDF-at-vanNH	1	4	vanNH	10	2	5	vanNH	vanNH	8	TA	1	FALSE	FALSE	NA	d_line	TA	off -
2014-04-20_sfoDF-at-vanNH	1	4	vanNH	11	3	7	sfoDF	sfoDF	11	TD	2	FALSE	FALSE	NA	o_line	TD	off -
2014-04-20_sfoDF-at-vanNH	1	4	vanNH	12	4	13	vanNH	vanNH	39	TD	6	FALSE	FALSE	NA	d_line	TD	off -
2014-04-20_sfoDF-at-vanNH	1	4	vanNH	13	5	19	sfoDF	vanNH	27	D	6	FALSE	FALSE	NA	o_line	D	def +
2014-04-20_sfoDF-at-vanNH	1	4	vanNH	14	6	21	vanNH	vanNH	8	VTT	2	FALSE	FALSE	NA	d_line	VTT	off -
2014-04-20_sfoDF-at-vanNH	1	4	vanNH	15	7	23	sfoDF	sfoDF	88	TA	2	FALSE	FALSE	NA	o_line	TA	off -
2014-04-20_sfoDF-at-vanNH	1	4	vanNH	16	8	32	vanNH	vanNH	72	G	9	TRUE	TRUE	vanNH	d_line	G	G
2014-04-20_sfoDF-at-vanNH	1	5	vanNH	17	1	3	sfoDF	sfoDF	34	TA	3	FALSE	FALSE	NA	o_line	TA	off -
2014-04-20_sfoDF-at-vanNH	1	5	vanNH	18	2	9	vanNH	vanNH	14	G	6	TRUE	TRUE	vanNH	d_line	G	G
2014-04-20_sfoDF-at-vanNH	1	6	vanNH	19	1	12	sfoDF	sfoDF	1	G	12	FALSE	TRUE	sfoDF	o_line	G	G
2014-04-20_sfoDF-at-vanNH	1	7	sfoDF	20	1	6	vanNH	vanNH	72	TD	6	FALSE	FALSE	NA	o_line	TD	off -
2014-04-20_sfoDF-at-vanNH	1	7	sfoDF	21	2	11	sfoDF	vanNH	22	D	5	FALSE	FALSE	NA	d_line	D	def +
2014-04-20_sfoDF-at-vanNH	1	7	sfoDF	22	3	13	vanNH	vanNH	21	TA	2	FALSE	FALSE	NA	o_line	TA	off -
2014-04-20_sfoDF-at-vanNH	1	7	sfoDF	23	4	24	sfoDF	sfoDF	24	G	11	FALSE	TRUE	sfoDF	d_line	G	G
2014-04-20_sfoDF-at-vanNH	1	8	sfoDF	24	1	6	vanNH	vanNH	10	TD	6	FALSE	FALSE	NA	o_line	TD	off -
2014-04-20_sfoDF-at-vanNH	1	8	sfoDF	25	2	9	sfoDF	vanNH	10	D	3	FALSE	FALSE	NA	d_line	D	def +
2014-04-20_sfoDF-at-vanNH	1	8	sfoDF	26	3	15	vanNH	vanNH	19	LG	6	TRUE	TRUE	vanNH	o_line	G	G
2014-04-20_sfoDF-at-vanNH	1	9	vanNH	27	1	4	sfoDF	vanNH	13	D	4	FALSE	FALSE	NA	o_line	D	def +
2014-04-20_sfoDF-at-vanNH	1	9	vanNH	28	2	5	vanNH	vanNH	11	eop	1	FALSE	FALSE	NA	d_line	eop	eop
2014-04-20_sfoDF-at-vanNH	2	10	sfoDF	29	1	4	vanNH	vanNH	91	TA	4	FALSE	FALSE	NA	o_line	TA	off -
2014-04-20_sfoDF-at-vanNH	2	10	sfoDF	30	2	6	sfoDF	sfoDF	7	VTT	2	FALSE	FALSE	NA	d_line	VTT	off -
2014-04-20_sfoDF-at-vanNH	2	10	sfoDF	31	3	8	vanNH	vanNH	98	G	2	FALSE	TRUE	vanNH	o_line	G	G
2014-04-20_sfoDF-at-vanNH	2	11	vanNH	32	1	7	sfoDF	vanNH	8	D	7	FALSE	FALSE	NA	o_line	D	def +
2014-04-20_sfoDF-at-vanNH	2	11	vanNH	33	2	21	vanNH	vanNH	27	G	14	FALSE	TRUE	vanNH	d_line	G	G
2014-04-20_sfoDF-at-vanNH	2	12	vanNH	34	1	3	sfoDF	vanNH	4	D	3	FALSE	FALSE	NA	o_line	D	def +
2014-04-20_sfoDF-at-vanNH	2	12	vanNH	35	2	11	vanNH	vanNH	14	TD	8	FALSE	FALSE	NA	d_line	TD	off -
2014-04-20_sfoDF-at-vanNH	2	12	vanNH	36	3	29	sfoDF	sfoDF	17	TD	18	FALSE	FALSE	NA	o_line	TD	off -
2014-04-20_sfoDF-at-vanNH	2	12	vanNH	37	4	39	vanNH	vanNH	98	G	10	FALSE	TRUE	vanNH	d_line	G	G
2014-04-20_sfoDF-at-vanNH	2	13	vanNH	38	1	18	sfoDF	sfoDF	34	VST	18	FALSE	FALSE	NA	o_line	VST	off -
2014-04-20_sfoDF-at-vanNH	2	13	vanNH	39	2	23	vanNH	vanNH	27	G	5	TRUE	TRUE	vanNH	d_line	G	G
2014-04-20_sfoDF-at-vanNH	2	14	vanNH	40	1	8	sfoDF	vanNH	18	D	8	FALSE	FALSE	NA	o_line	D	def +
2014-04-20_sfoDF-at-vanNH	2	14	vanNH	41	2	10	vanNH	vanNH	11	TA	2	FALSE	FALSE	NA	d_line	TA	off -
2014-04-20_sfoDF-at-vanNH	2	14	vanNH	42	3	12	sfoDF	sfoDF	11	off F	2	FALSE	FALSE	NA	o_line	off F	off -
2014-04-20_sfoDF-at-vanNH	2	14	vanNH	43	4	18	vanNH	vanNH	39	G	6	FALSE	TRUE	vanNH	d_line	G	G
2014-04-20_sfoDF-at-vanNH	2	15	vanNH	44	1	6	sfoDF	sfoDF	34	LG	6	TRUE	TRUE	sfoDF	o_line	G	G
2014-04-20_sfoDF-at-vanNH	2	16	sfoDF	45	1	10	vanNH	vanNH	89	G	10	TRUE	TRUE	vanNH	o_line	G	G
2014-04-20_sfoDF-at-vanNH	2	17	vanNH	46	1	8	sfoDF	vanNH	8	eop	8	FALSE	FALSE	NA	o_line	eop	eop
2014-04-20_sfoDF-at-vanNH	3	18	vanNH	47	1	4	sfoDF	sfoDF	57	TA	4	FALSE	FALSE	NA	o_line	TA	off -
2014-04-20_sfoDF-at-vanNH	3	18	vanNH	48	2	8	vanNH	vanNH	81	G	4	TRUE	TRUE	vanNH	d_line	G	G
2014-04-20_sfoDF-at-vanNH	3	19	vanNH	49	1	6	sfoDF	vanNH	13	D	6	TRUE	FALSE	NA	o_line	D	def +
2014-04-20_sfoDF-at-vanNH	3	19	vanNH	50	2	9	vanNH	vanNH	37	VTT	3	FALSE	FALSE	NA	d_line	VTT	off -
2014-04-20_sfoDF-at-vanNH	3	19	vanNH	51	3	11	sfoDF	sfoDF	37	G	2	FALSE	TRUE	sfoDF	o_line	G	G
2014-04-20_sfoDF-at-vanNH	3	20	sfoDF	52	1	10	vanNH	vanNH	98	G	10	FALSE	TRUE	vanNH	o_line	G	G
2014-04-20_sfoDF-at-vanNH	3	21	vanNH	53	1	10	sfoDF	sfoDF	21	TA	10	FALSE	FALSE	NA	o_line	TA	off -
2014-04-20_sfoDF-at-vanNH	3	21	vanNH	54	2	12	vanNH	vanNH	45	VTT	2	FALSE	FALSE	NA	d_line	VTT	off -
2014-04-20_sfoDF-at-vanNH	3	21	vanNH	55	3	14	sfoDF	sfoDF	21	G	2	FALSE	TRUE	sfoDF	o_line	G	G
2014-04-20_sfoDF-at-vanNH	3	22	sfoDF	56	1	4	vanNH	vanNH	5	TD	4	FALSE	FALSE	NA	o_line	TD	off -
2014-04-20_sfoDF-at-vanNH	3	22	sfoDF	57	2	7	sfoDF	sfoDF	46	VTT	3	FALSE	FALSE	NA	d_line	VTT	off -
2014-04-20_sfoDF-at-vanNH	3	22	sfoDF	58	3	12	vanNH	vanNH	22	TD	5	FALSE	FALSE	NA	o_line	TD	off -
2014-04-20_sfoDF-at-vanNH	3	22	sfoDF	59	4	14	sfoDF	sfoDF	16	VST	2	FALSE	FALSE	NA	d_line	VST	off -
2014-04-20_sfoDF-at-vanNH	3	22	sfoDF	60	5	19	vanNH	vanNH	98	G	5	FALSE	TRUE	vanNH	o_line	G	G
2014-04-20_sfoDF-at-vanNH	3	23	vanNH	61	1	6	sfoDF	sfoDF	57	G	6	TRUE	TRUE	sfoDF	o_line	G	G
2014-04-20_sfoDF-at-vanNH	3	24	sfoDF	62	1	9	vanNH	vanNH	72	G	9	FALSE	TRUE	vanNH	o_line	G	G
2014-04-20_sfoDF-at-vanNH	3	25	vanNH	63	1	14	sfoDF	sfoDF	83	G	14	FALSE	TRUE	sfoDF	o_line	G	G
2014-04-20_sfoDF-at-vanNH	3	26	sfoDF	64	1	5	vanNH	vanNH	98	LG	5	TRUE	TRUE	vanNH	o_line	G	G
2014-04-20_sfoDF-at-vanNH	3	27	vanNH	65	1	3	sfoDF	sfoDF	83	TA	3	FALSE	FALSE	NA	o_line	TA	off -
2014-04-20_sfoDF-at-vanNH	3	27	vanNH	66	2	8	vanNH	vanNH	33	G	5	FALSE	TRUE	vanNH	d_line	G	G
2014-04-20_sfoDF-at-vanNH	3	28	vanNH	67	1	6	sfoDF	sfoDF	46	TD	6	FALSE	FALSE	NA	o_line	TD	off -
2014-04-20_sfoDF-at-vanNH	3	28	vanNH	68	2	13	vanNH	vanNH	45	G	7	FALSE	TRUE	vanNH	d_line	G	G
2014-04-20_sfoDF-at-vanNH	3	29	vanNH	69	1	10	sfoDF	sfoDF	34	G	10	FALSE	TRUE	sfoDF	o_line	G	G
2014-04-20_sfoDF-at-vanNH	3	30	sfoDF	70	1	3	vanNH	vanNH	5	TA	3	FALSE	FALSE	NA	o_line	TA	off -
2014-04-20_sfoDF-at-vanNH	3	30	sfoDF	71	2	14	sfoDF	sfoDF	17	TA	11	FALSE	FALSE	NA	d_line	TA	off -
2014-04-20_sfoDF-at-vanNH	3	30	sfoDF	72	3	16	vanNH	sfoDF	18	D	2	FALSE	FALSE	NA	o_line	D	def +
2014-04-20_sfoDF-at-vanNH	3	30	sfoDF	73	4	18	sfoDF	sfoDF	37	G	2	FALSE	TRUE	sfoDF	d_line	G	G
2014-04-20_sfoDF-at-vanNH	3	31	sfoDF	74	1	5	vanNH	vanNH	8	eop	5	FALSE	FALSE	NA	o_line	eop	eop
2014-04-20_sfoDF-at-vanNH	4	32	sfoDF	75	1	13	vanNH	vanNH	98	G	13	FALSE	TRUE	vanNH	o_line	G	G
2014-04-20_sfoDF-at-vanNH	4	33	vanNH	76	1	5	sfoDF	vanNH	39	D	5	FALSE	FALSE	NA	o_line	D	def +
2014-04-20_sfoDF-at-vanNH	4	33	vanNH	77	2	9	vanNH	vanNH	8	TD	4	FALSE	FALSE	NA	d_line	TD	off -
2014-04-20_sfoDF-at-vanNH	4	33	vanNH	78	3	12	sfoDF	sfoDF	83	G	3	FALSE	TRUE	sfoDF	o_line	G	G
2014-04-20_sfoDF-at-vanNH	4	34	sfoDF	79	1	10	vanNH	vanNH	10	LG	10	TRUE	TRUE	vanNH	o_line	G	G
2014-04-20_sfoDF-at-vanNH	4	35	vanNH	80	1	7	sfoDF	vanNH	11	D	7	FALSE	FALSE	NA	o_line	D	def +
2014-04-20_sfoDF-at-vanNH	4	35	vanNH	81	2	10	vanNH	vanNH	11	VST	3	FALSE	FALSE	NA	d_line	VST	off -
2014-04-20_sfoDF-at-vanNH	4	35	vanNH	82	3	15	sfoDF	sfoDF	34	G	5	FALSE	TRUE	sfoDF	o_line	G	G
2014-04-20_sfoDF-at-vanNH	4	36	sfoDF	83	1	6	vanNH	vanNH	72	LG	6	TRUE	TRUE	vanNH	o_line	G	G
2014-04-20_sfoDF-at-vanNH	4	37	vanNH	84	1	10	sfoDF	sfoDF	88	G	10	TRUE	TRUE	sfoDF	o_line	G	G
2014-04-20_sfoDF-at-vanNH	4	38	sfoDF	85	1	9	vanNH	vanNH	10	LG	9	TRUE	TRUE	vanNH	o_line	G	G
2014-04-20_sfoDF-at-vanNH	4	39	vanNH	86	1	3	sfoDF	vanNH	14	D	3	FALSE	FALSE	NA	o_line	D	def +
2014-04-20_sfoDF-at-vanNH	4	39	vanNH	87	2	6	vanNH	vanNH	14	G	3	FALSE	TRUE	vanNH	d_line	G	G
2014-04-20_sfoDF-at-vanNH	4	40	vanNH	88	1	11	sfoDF	sfoDF	88	G	11	TRUE	TRUE	sfoDF	o_line	G	G
2014-04-20_sfoDF-at-vanNH	4	41	sfoDF	89	1	5	vanNH	vanNH	98	LG	5	TRUE	TRUE	vanNH	o_line	G	G
2014-04-20_sfoDF-at-vanNH	4	42	vanNH	90	1	6	sfoDF	sfoDF	88	TD	6	FALSE	FALSE	NA	o_line	TD	off -
2014-04-20_sfoDF-at-vanNH	4	42	vanNH	91	2	23	vanNH	vanNH	18	G	17	FALSE	TRUE	vanNH	d_line	G	G
2014-04-20_sfoDF-at-vanNH	4	43	vanNH	92	1	6	sfoDF	vanNH	39	D	6	FALSE	FALSE	NA	o_line	D	def +
2014-04-20_sfoDF-at-vanNH	4	43	vanNH	93	2	11	vanNH	vanNH	45	TD	5	TRUE	FALSE	NA	d_line	TD	off -
2014-04-20_sfoDF-at-vanNH	4	43	vanNH	94	3	14	sfoDF	sfoDF	46	TD	3	FALSE	FALSE	NA	o_line	TD	off -
2014-04-20_sfoDF-at-vanNH	4	43	vanNH	95	4	16	vanNH	vanNH	27	G	2	FALSE	TRUE	vanNH	d_line	G	G
2014-04-20_sfoDF-at-vanNH	4	44	vanNH	96	1	11	sfoDF	sfoDF	21	G	11	FALSE	TRUE	sfoDF	o_line	G	G
2014-04-20_sfoDF-at-vanNH	4	45	sfoDF	97	1	4	vanNH	vanNH	19	TA	4	FALSE	FALSE	NA	o_line	TA	off -
2014-04-20_sfoDF-at-vanNH	4	45	sfoDF	98	2	12	sfoDF	sfoDF	25	TA	8	FALSE	FALSE	NA	d_line	TA	off -
2014-04-20_sfoDF-at-vanNH	4	45	sfoDF	99	3	15	vanNH	vanNH	19	eop	3	FALSE	FALSE	NA	o_line	eop	eop
2014-04-26_vanNH-at-seaRM	1	1	vanNH	1	1	10	seaRM	seaRM	99	G	10	FALSE	TRUE	seaRM	o_line	G	G
2014-04-26_vanNH-at-seaRM	1	2	seaRM	2	1	8	vanNH	seaRM	35	D	8	TRUE	FALSE	NA	o_line	D	def +
2014-04-26_vanNH-at-seaRM	1	2	seaRM	3	2	10	seaRM	seaRM	23	TA	2	TRUE	FALSE	NA	d_line	TA	off -
2014-04-26_vanNH-at-seaRM	1	2	seaRM	4	3	13	vanNH	vanNH	98	TA	3	FALSE	FALSE	NA	o_line	TA	off -
