game	period	point	pull_team	poss_abs	n_poss	n_events	poss_team	pl_team	pl_pnum	pl_code	huck	score	scor_team	who	a_code	b_code
2014-04-12_vanNH-at-pdxST	2	27	pdxST	45	1	6	vanNH	pdxST	22	eop	FALSE	FALSE	NA	o_line	eop	eop
2014-04-12_vanNH-at-pdxST	3	28	vanNH	46	1	9	pdxST	pdxST	13	LG	TRUE	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	3	29	pdxST	50	4	19	pdxST	pdxST	3	G	FALSE	TRUE	pdxST	d_line	G	G
2014-04-12_vanNH-at-pdxST	3	30	pdxST	54	4	18	pdxST	pdxST	13	G	FALSE	TRUE	pdxST	d_line	G	G
2014-04-12_vanNH-at-pdxST	3	31	pdxST	56	2	34	pdxST	pdxST	7	G	FALSE	TRUE	pdxST	d_line	G	G
2014-04-12_vanNH-at-pdxST	3	32	pdxST	59	3	24	vanNH	vanNH	22	G	FALSE	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	3	33	vanNH	60	1	8	pdxST	pdxST	13	G	TRUE	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	3	34	pdxST	62	2	15	pdxST	pdxST	42	G	TRUE	TRUE	pdxST	d_line	G	G
2014-04-12_vanNH-at-pdxST	3	35	pdxST	65	3	12	vanNH	vanNH	75	G	FALSE	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	3	36	vanNH	66	1	10	pdxST	pdxST	42	eop	FALSE	FALSE	NA	o_line	eop	eop
2014-04-12_vanNH-at-pdxST	4	37	pdxST	67	1	14	vanNH	vanNH	72	G	FALSE	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	4	38	vanNH	69	2	22	vanNH	vanNH	45	G	TRUE	TRUE	vanNH	d_line	G	G
2014-04-12_vanNH-at-pdxST	4	39	vanNH	70	1	8	pdxST	pdxST	13	LG	TRUE	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	4	40	pdxST	71	1	7	vanNH	vanNH	72	G	FALSE	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	4	41	vanNH	72	1	38	pdxST	pdxST	10	G	FALSE	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	4	42	pdxST	73	1	5	vanNH	vanNH	10	LG	TRUE	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	4	43	vanNH	78	5	35	pdxST	pdxST	17	LG	TRUE	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	4	44	pdxST	79	1	7	vanNH	vanNH	22	G	FALSE	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	4	45	vanNH	80	1	23	pdxST	pdxST	13	G	FALSE	TRUE	pdxST	o_line	G	G
2014-04-12_vanNH-at-pdxST	4	46	pdxST	81	1	6	vanNH	vanNH	98	G	TRUE	TRUE	vanNH	o_line	G	G
2014-04-12_vanNH-at-pdxST	4	47	vanNH	82	1	6	pdxST	pdxST	2	G	TRUE	TRUE	pdxST	o_line	G	G
2014-04-20_sfoDF-at-vanNH	1	1	vanNH	4	4	20	vanNH	vanNH	81	G	FALSE	TRUE	vanNH	d_line	G	G
2014-04-20_sfoDF-at-vanNH	1	2	vanNH	5	1	5	sfoDF	sfoDF	3	G	FALSE	TRUE	sfoDF	o_line	G	G
2014-04-20_sfoDF-at-vanNH	1	3	sfoDF	8	3	12	vanNH	vanNH	91	G	FALSE	TRUE	vanNH	o_line	G	G
2014-04-20_sfoDF-at-vanNH	1	4	vanNH	16	8	32	vanNH	vanNH	72	G	TRUE	TRUE	vanNH	d_line	G	G
2014-04-20_sfoDF-at-vanNH	1	5	vanNH	18	2	9	vanNH	vanNH	14	G	TRUE	TRUE	vanNH	d_line	G	G
2014-04-20_sfoDF-at-vanNH	1	6	vanNH	19	1	12	sfoDF	sfoDF	1	G	FALSE	TRUE	sfoDF	o_line	G	G
2014-04-20_sfoDF-at-vanNH	1	7	sfoDF	23	4	24	sfoDF	sfoDF	24	G	FALSE	TRUE	sfoDF	d_line	G	G
2014-04-20_sfoDF-at-vanNH	1	8	sfoDF	26	3	15	vanNH	vanNH	19	LG	TRUE	TRUE	vanNH	o_line	G	G
2014-04-20_sfoDF-at-vanNH	1	9	vanNH	28	2	5	vanNH	vanNH	11	eop	FALSE	FALSE	NA	d_line	eop	eop
2014-04-20_sfoDF-at-vanNH	2	10	sfoDF	31	3	8	vanNH	vanNH	98	G	FALSE	TRUE	vanNH	o_line	G	G
2014-04-20_sfoDF-at-vanNH	2	11	vanNH	33	2	21	vanNH	vanNH	27	G	FALSE	TRUE	vanNH	d_line	G	G
2014-04-20_sfoDF-at-vanNH	2	12	vanNH	37	4	39	vanNH	vanNH	98	G	FALSE	TRUE	vanNH	d_line	G	G
2014-04-20_sfoDF-at-vanNH	2	13	vanNH	39	2	23	vanNH	vanNH	27	G	TRUE	TRUE	vanNH	d_line	G	G
2014-04-20_sfoDF-at-vanNH	2	14	vanNH	43	4	18	vanNH	vanNH	39	G	FALSE	TRUE	vanNH	d_line	G	G
2014-04-20_sfoDF-at-vanNH	2	15	vanNH	44	1	6	sfoDF	sfoDF	34	LG	TRUE	TRUE	sfoDF	o_line	G	G
2014-04-20_sfoDF-at-vanNH	2	16	sfoDF	45	1	10	vanNH	vanNH	89	G	TRUE	TRUE	vanNH	o_line	G	G
2014-04-20_sfoDF-at-vanNH	2	17	vanNH	46	1	8	sfoDF	vanNH	8	eop	FALSE	FALSE	NA	o_line	eop	eop
2014-04-20_sfoDF-at-vanNH	3	18	vanNH	48	2	8	vanNH	vanNH	81	G	TRUE	TRUE	vanNH	d_line	G	G
2014-04-20_sfoDF-at-vanNH	3	19	vanNH	51	3	11	sfoDF	sfoDF	37	G	FALSE	TRUE	sfoDF	o_line	G	G
2014-04-20_sfoDF-at-vanNH	3	20	sfoDF	52	1	10	vanNH	vanNH	98	G	FALSE	TRUE	vanNH	o_line	G	G
2014-04-20_sfoDF-at-vanNH	3	21	vanNH	55	3	14	sfoDF	sfoDF	21	G	FALSE	TRUE	sfoDF	o_line	G	G
2014-04-20_sfoDF-at-vanNH	3	22	sfoDF	60	5	19	vanNH	vanNH	98	G	FALSE	TRUE	vanNH	o_line	G	G
2014-04-20_sfoDF-at-vanNH	3	23	vanNH	61	1	6	sfoDF	sfoDF	57	G	TRUE	TRUE	sfoDF	o_line	G	G
2014-04-20_sfoDF-at-vanNH	3	24	sfoDF	62	1	9	vanNH	vanNH	72	G	FALSE	TRUE	vanNH	o_line	G	G
2014-04-20_sfoDF-at-vanNH	3	25	vanNH	63	1	14	sfoDF	sfoDF	83	G	FALSE	TRUE	sfoDF	o_line	G	G
2014-04-20_sfoDF-at-vanNH	3	26	sfoDF	64	1	5	vanNH	vanNH	98	LG	TRUE	TRUE	vanNH	o_line	G	G
2014-04-20_sfoDF-at-vanNH	3	27	vanNH	66	2	8	vanNH	vanNH	33	G	FALSE	TRUE	vanNH	d_line	G	G
2014-04-20_sfoDF-at-vanNH	3	28	vanNH	68	2	13	vanNH	vanNH	45	G	FALSE	TRUE	vanNH	d_line	G	G
2014-04-20_sfoDF-at-vanNH	3	29	vanNH	69	1	10	sfoDF	sfoDF	34	G	FALSE	TRUE	sfoDF	o_line	G	G
2014-04-20_sfoDF-at-vanNH	3	30	sfoDF	73	4	18	sfoDF	sfoDF	37	G	FALSE	TRUE	sfoDF	d_line	G	G
2014-04-20_sfoDF-at-vanNH	3	31	sfoDF	74	1	5	vanNH	vanNH	8	eop	FALSE	FALSE	NA	o_line	eop	eop
2014-04-20_sfoDF-at-vanNH	4	32	sfoDF	75	1	13	vanNH	vanNH	98	G	FALSE	TRUE	vanNH	o_line	G	G
2014-04-20_sfoDF-at-vanNH	4	33	vanNH	78	3	12	sfoDF	sfoDF	83	G	FALSE	TRUE	sfoDF	o_line	G	G
2014-04-20_sfoDF-at-vanNH	4	34	sfoDF	79	1	10	vanNH	vanNH	10	LG	TRUE	TRUE	vanNH	o_line	G	G
2014-04-20_sfoDF-at-vanNH	4	35	vanNH	82	3	15	sfoDF	sfoDF	34	G	FALSE	TRUE	sfoDF	o_line	G	G
2014-04-20_sfoDF-at-vanNH	4	36	sfoDF	83	1	6	vanNH	vanNH	72	LG	TRUE	TRUE	vanNH	o_line	G	G
2014-04-20_sfoDF-at-vanNH	4	37	vanNH	84	1	10	sfoDF	sfoDF	88	G	TRUE	TRUE	sfoDF	o_line	G	G
2014-04-20_sfoDF-at-vanNH	4	38	sfoDF	85	1	9	vanNH	vanNH	10	LG	TRUE	TRUE	vanNH	o_line	G	G
2014-04-20_sfoDF-at-vanNH	4	39	vanNH	87	2	6	vanNH	vanNH	14	G	FALSE	TRUE	vanNH	d_line	G	G
2014-04-20_sfoDF-at-vanNH	4	40	vanNH	88	1	11	sfoDF	sfoDF	88	G	TRUE	TRUE	sfoDF	o_line	G	G
2014-04-20_sfoDF-at-vanNH	4	41	sfoDF	89	1	5	vanNH	vanNH	98	LG	TRUE	TRUE	vanNH	o_line	G	G
2014-04-20_sfoDF-at-vanNH	4	42	vanNH	91	2	23	vanNH	vanNH	18	G	FALSE	TRUE	vanNH	d_line	G	G
2014-04-20_sfoDF-at-vanNH	4	43	vanNH	95	4	16	vanNH	vanNH	27	G	FALSE	TRUE	vanNH	d_line	G	G
2014-04-20_sfoDF-at-vanNH	4	44	vanNH	96	1	11	sfoDF	sfoDF	21	G	FALSE	TRUE	sfoDF	o_line	G	G
2014-04-20_sfoDF-at-vanNH	4	45	sfoDF	99	3	15	vanNH	vanNH	19	eop	FALSE	FALSE	NA	o_line	eop	eop
2014-04-26_vanNH-at-seaRM	1	1	vanNH	1	1	10	seaRM	seaRM	99	G	FALSE	TRUE	seaRM	o_line	G	G
2014-04-26_vanNH-at-seaRM	1	2	seaRM	5	4	21	seaRM	seaRM	35	LG	TRUE	TRUE	seaRM	d_line	G	G
2014-04-26_vanNH-at-seaRM	1	3	seaRM	7	2	6	seaRM	seaRM	51	G	FALSE	TRUE	seaRM	d_line	G	G
2014-04-26_vanNH-at-seaRM	1	4	seaRM	8	1	8	vanNH	vanNH	22	LG	TRUE	TRUE	vanNH	o_line	G	G
2014-04-26_vanNH-at-seaRM	1	5	vanNH	9	1	8	seaRM	seaRM	99	LG	TRUE	TRUE	seaRM	o_line	G	G
2014-04-26_vanNH-at-seaRM	1	6	seaRM	10	1	13	vanNH	vanNH	98	LG	TRUE	TRUE	vanNH	o_line	G	G
2014-04-26_vanNH-at-seaRM	1	7	vanNH	12	2	13	vanNH	vanNH	13	G	TRUE	TRUE	vanNH	d_line	G	G
2014-04-26_vanNH-at-seaRM	1	8	vanNH	17	5	19	seaRM	seaRM	25	LG	TRUE	TRUE	seaRM	o_line	G	G
2014-04-26_vanNH-at-seaRM	1	9	seaRM	18	1	6	vanNH	vanNH	98	G	TRUE	TRUE	vanNH	o_line	G	G
2014-04-26_vanNH-at-seaRM	1	10	vanNH	20	2	11	vanNH	vanNH	45	G	TRUE	TRUE	vanNH	d_line	G	G
2014-04-26_vanNH-at-seaRM	1	11	vanNH	24	4	16	vanNH	vanNH	33	eop	FALSE	FALSE	NA	d_line	eop	eop
2014-04-26_vanNH-at-seaRM	2	12	vanNH	28	4	21	vanNH	vanNH	81	G	FALSE	TRUE	vanNH	d_line	G	G
2014-04-26_vanNH-at-seaRM	2	13	vanNH	29	1	7	seaRM	seaRM	6	G	TRUE	TRUE	seaRM	o_line	G	G
2014-04-26_vanNH-at-seaRM	2	14	seaRM	31	2	14	seaRM	seaRM	48	G	FALSE	TRUE	seaRM	d_line	G	G
2014-04-26_vanNH-at-seaRM	2	15	seaRM	35	4	22	seaRM	seaRM	2	G	FALSE	TRUE	seaRM	d_line	G	G
2014-04-26_vanNH-at-seaRM	2	16	seaRM	36	1	9	vanNH	vanNH	10	G	FALSE	TRUE	vanNH	o_line	G	G
2014-04-26_vanNH-at-seaRM	2	17	vanNH	37	1	6	seaRM	seaRM	48	LG	TRUE	TRUE	seaRM	o_line	G	G
2014-04-26_vanNH-at-seaRM	2	18	seaRM	42	5	26	vanNH	vanNH	22	G	FALSE	TRUE	vanNH	o_line	G	G
2014-04-26_vanNH-at-seaRM	2	19	vanNH	45	3	19	seaRM	seaRM	48	G	FALSE	TRUE	seaRM	o_line	G	G
