game	period	point	pull_team	poss_abs	poss_rel	event	poss_team	pl_team	pl_pnum	pl_code
2014-04-12_vanNH-at-pdxST	1	6	pdxST	9	2	16	pdxST	pdxST	21	A
2014-04-12_vanNH-at-pdxST	1	6	pdxST	9	2	17	pdxST	pdxST	3	LG
2014-04-12_vanNH-at-pdxST	1	7	pdxST	10	1	1	vanNH	pdxST	8	P
2014-04-12_vanNH-at-pdxST	1	7	pdxST	10	1	2	vanNH	vanNH	91	PU
2014-04-12_vanNH-at-pdxST	1	7	pdxST	10	1	3	vanNH	vanNH	89	
2014-04-12_vanNH-at-pdxST	1	7	pdxST	10	1	4	vanNH	vanNH	91	
2014-04-12_vanNH-at-pdxST	1	7	pdxST	10	1	5	vanNH	vanNH	8	
2014-04-12_vanNH-at-pdxST	1	7	pdxST	10	1	6	vanNH	vanNH	21	
2014-04-12_vanNH-at-pdxST	1	7	pdxST	10	1	7	vanNH	vanNH	89	
2014-04-12_vanNH-at-pdxST	1	7	pdxST	10	1	8	vanNH	vanNH	8	A
2014-04-12_vanNH-at-pdxST	1	7	pdxST	10	1	9	vanNH	vanNH	98	G
2014-04-12_vanNH-at-pdxST	1	8	vanNH	11	1	1	pdxST	vanNH	33	P
2014-04-12_vanNH-at-pdxST	1	8	vanNH	11	1	2	pdxST	pdxST	7	PU
2014-04-12_vanNH-at-pdxST	1	8	vanNH	11	1	3	pdxST	pdxST	24	
2014-04-12_vanNH-at-pdxST	1	8	vanNH	11	1	4	pdxST	pdxST	42	
2014-04-12_vanNH-at-pdxST	1	8	vanNH	11	1	5	pdxST	pdxST	7	
2014-04-12_vanNH-at-pdxST	1	8	vanNH	11	1	6	pdxST	pdxST	24	
2014-04-12_vanNH-at-pdxST	1	8	vanNH	11	1	7	pdxST	pdxST	13	
2014-04-12_vanNH-at-pdxST	1	8	vanNH	11	1	8	pdxST	pdxST	24	
2014-04-12_vanNH-at-pdxST	1	8	vanNH	11	1	9	pdxST	pdxST	16	
2014-04-12_vanNH-at-pdxST	1	8	vanNH	11	1	10	pdxST	pdxST	7	
2014-04-12_vanNH-at-pdxST	1	8	vanNH	11	1	11	pdxST	pdxST	42	
2014-04-12_vanNH-at-pdxST	1	8	vanNH	11	1	12	pdxST	pdxST	16	
2014-04-12_vanNH-at-pdxST	1	8	vanNH	11	1	13	pdxST	pdxST	7	A
2014-04-12_vanNH-at-pdxST	1	8	vanNH	11	1	14	pdxST	pdxST	42	G
