point	period	clk_before	clk_after	pull_team	n_poss	scor_team	h_or_b	phlSP	wdcCT	pt_dur	pt_dur_txt
1	1	10:00:00	8:50:00	wdcCT	2	wdcCT	break	0	1	70	01:10
2	1	8:50:00	7:02:00	wdcCT	2	wdcCT	break	0	2	108	01:48
3	1	7:02:00	5:18:00	wdcCT	5	phlSP	hold	1	2	104	01:44
4	1	5:18:00	3:12:00	phlSP	4	phlSP	break	2	2	126	02:06
5	1	3:12:00	2:45:00	phlSP	1	wdcCT	hold	2	3	27	00:27
6	1	2:45:00	1:08:00	wdcCT	4	wdcCT	break	2	4	97	01:37
7	1	1:08:00	0:42:00	wdcCT	1	phlSP	hold	3	4	26	00:26
8	1	0:42:00	0:00:00	phlSP	NA	NA	NA	3	4	42	00:42
9	2	10:00:00	9:45:00	phlSP	1	wdcCT	hold	3	5	15	00:15
10	2	9:45:00	8:52:00	wdcCT	1	phlSP	hold	4	5	53	00:53
11	2	8:53:00	8:30:00	phlSP	1	wdcCT	hold	4	6	23	00:23
12	2	8:30:00	8:17:00	wdcCT	1	phlSP	hold	5	6	13	00:13
13	2	8:17:00	7:35:00	phlSP	3	wdcCT	hold	5	7	42	00:42
14	2	7:35:00	6:43:00	wdcCT	1	phlSP	hold	6	7	52	00:52
15	2	6:43:00	6:07:00	phlSP	2	phlSP	break	7	7	36	00:36
16	2	6:07:00	5:52:00	phlSP	1	wdcCT	hold	7	8	15	00:15
17	2	5:52:00	4:21:00	wdcCT	5	phlSP	hold	8	8	91	01:31
18	2	4:21:00	3:52:00	phlSP	1	wdcCT	hold	8	9	29	00:29
19	2	3:52:00	0:00:00	wdcCT	NA	NA	NA	8	9	232	03:52
20	3	10:00:00	9:09:00	wdcCT	2	wdcCT	break	8	10	51	00:51
21	3	9:09:00	8:20:00	wdcCT	2	wdcCT	break	8	11	49	00:49
22	3	8:20:00	7:56:00	wdcCT	1	phlSP	hold	9	11	24	00:24
23	3	7:56:00	6:36:00	phlSP	3	wdcCT	hold	9	12	80	01:20
24	3	6:36:00	2:02:00	wdcCT	6	wdcCT	break	9	13	274	04:34
25	3	2:02:00	1:06:00	wdcCT	1	phlSP	hold	10	13	56	00:56
26	3	1:06:00	0:40:00	phlSP	1	wdcCT	hold	10	14	26	00:26
27	3	0:40:00	0:00:00	wdcCT	NA	NA	NA	10	14	40	00:40
28	4	10:00:00	9:24:00	phlSP	1	wdcCT	hold	10	15	36	00:36
29	4	9:24:00	8:49:00	wdcCT	1	phlSP	hold	11	15	35	00:35
30	4	8:49:00	8:18:00	phlSP	1	wdcCT	hold	11	16	31	00:31
31	4	8:18:00	7:37:00	wdcCT	1	phlSP	hold	12	16	41	00:41
32	4	7:37:00	6:57:00	phlSP	2	phlSP	break	13	16	40	00:40
33	4	6:57:00	6:20:00	phlSP	1	wdcCT	hold	13	17	37	00:37
34	4	6:20:00	5:58:00	wdcCT	1	phlSP	hold	14	17	22	00:22
35	4	5:58:00	5:32:00	phlSP	2	phlSP	break	15	17	26	00:26
36	4	5:32:00	4:42:00	phlSP	3	wdcCT	hold	15	18	50	00:50
37	4	4:42:00	4:23:00	wdcCT	1	phlSP	hold	16	18	19	00:19
38	4	4:23:00	3:07:00	phlSP	4	phlSP	break	17	18	76	01:16
39	4	3:07:00	2:28:00	phlSP	1	wdcCT	hold	17	19	39	00:39
40	4	2:28:00	1:35:00	wdcCT	1	phlSP	hold	18	19	53	00:53
41	4	1:35:00	0:13:00	phlSP	3	wdcCT	hold	18	20	82	01:22
42	4	0:13:00	0:00:00	wdcCT	2	wdcCT	break	18	21	13	00:13
