point	event	pullNum	pullCode	recvNum	recvCode
1	1	29	P		
1	2			5	PU
1	3			89	
1	4			5	
1	5			98	
1	6			22	
1	7			89	
1	8			5	
1	9			91	TD
1	10	29	PU		
1	11	15			
1	12	4			
1	13	29			
1	14	77			
1	15	24			
1	16	77			
1	17	4			
1	18	29			
1	19	77			
1	20	24			
1	21	77			
1	22	15			
1	23	18	G		
2	1	?	P		
2	2			91	PU
2	3			89	
2	4			91	
2	5			89	
2	6			98	
2	7			72	
2	8			91	
2	9			5	
2	10			89	
2	11			98	LG
3	1	8	P		
3	2			51	PU
3	3			1	
3	4			6	
3	5			8	L
3	6			17	
3	7	11	D		
3	8	45	PU		
3	9	31			
3	10	8			
3	11	45	G		
4	1	8	OBP		
4	2			1	PU
4	3			?	
4	4			14	
4	5	81	PU		
4	6	33	G		
5	1	33	P		
5	2			29	PU
5	3			18	
5	4			29	
5	5	18	PU		
5	6	13			
5	7	18			
5	8	8			
5	9	14			
5	10	33	G		
6	1	49	P		
6	2			00	PU
6	3			6	
6	4			1	
6	5			14	
6	6			1	
6	7			14	
6	8			1	
6	9			00	
6	10	81	F		
6	11			17	
6	12			1	G
7	1	18	P		
7	2			5	PU
7	3			89	
7	4			5	
7	5			98	
7	6			72	
7	7			10	LG
8	1	8	P		
8	2			00	PU
8	3			1	
8	4			14	
8	5			51	
8	6			17	
8	7			14	
8	8			00	
8	9			17	
8	10			14	
8	11			6	
8	12	45	PU		
8	13			00	F
8	14	8			
8	15	37			
8	16	27			
8	17			17	PU
8	18			00	
8	19			1	
8	20			17	
8	21			00	G
9	1	29	P		
9	2			91	PU
9	3			5	
9	4			98	
9	5			22	
9	6			91	
9	7			89	
9	8			5	
9	9			22	LG
10	1	8	P		
10	2			17	PU
10	3			1	
10	4			00	
10	5			17	
10	6			1	
10	7			00	
10	8			17	
10	9	8	PU		
10	10	31			
10	11	27	VST		
10	12			6	PU
10	13	24	PU		
10	14	24	TO		
10	15	91	PU		
10	16	5			
10	17	21			
10	18	72			
10	19	5			
10	20	22			
10	21	10			
10	22	91			
10	23	21			
10	24	91			
10	25	22			
10	26	89			
10	27	21			
10	28	91			
10	29	89			
10	30	91			
10	31	89			
10	32	21			
10	33	89			
10	34	91			
10	35			29	F
10	36	89			
10	37	10	G		
11	1	8	P		
11	2			00	PU
11	3			1	
11	4			6	
11	5			1	
12	1	8	P		
12	2			1	PU
12	3			00	
12	4			6	
12	5			00	
12	6			1	
12	7			8	
12	8			00	
12	9			1	
12	10			00	
12	11			17	
12	12			6	TD
12	13	45	PU		
12	14	8			
12	15	81	L		
12	16	27	TD		
12	17			17	PU
12	18			00	
12	19			17	
12	20			51	
12	21	37	PU		
12	22	11			
12	23	37	G		
13	1	18	P		
13	2			00	PU
13	3			1	
13	4			8	
13	5			17	
13	6			1	
13	7			6	VTT
13	8	18	PU		
13	9			00	PU
13	10			1	
13	11			6	
13	12			1	
13	13			00	
13	14			14	
13	15	13	D		
13	16	18	PU		
13	17	24			
13	18	18			
13	19	4			
13	20	24			
13	21	13			
13	22	7	L		
13	23	24	G		
14	1	33	P		
14	2			29	PU
14	3			10	
14	4			77	
14	5			?	
14	6			10	
14	7			15	
14	8			23	
14	9			4	
14	10			29	
14	11	33	PU		
14	12	49			
14	13	8			
14	14	49			
14	15	37			
14	16	11			
14	17	45	G		
15	1	18	P		
15	2			00	PU
15	3			1	
15	4			6	
15	5			17	
15	6			14	
15	7			1	
15	8			00	
15	9			1	
15	10			00	
15	11			1	
15	12			14	
15	13			00	
15	14			17	
15	15			14	G
16	1	18	P		
16	2			89	PU
16	3			5	
16	4			21	
16	5			5	
16	6			91	
16	7			89	
16	8			98	
16	9			91	
16	10			5	
16	11			89	
16	12			91	
16	13			21	
16	14			5	
16	15			89	
16	16			22	
16	17			10	
16	18			98	G
17	1	8	OBP		
17	2			00	PU
17	3			1	
17	4	24	F		
17	5			17	
17	6			1	
17	7	24	F		
17	8			17	
17	9			8	
17	10	27	F		
17	11			1	G
18	1	29	P		
18	2			5	PU
18	3			89	
18	4			21	
18	5			89	
18	6			72	
18	7			10	
18	8			89	
18	9			5	
18	10			21	G
19	1	33	P		
19	2			17	PU
19	3			1	
19	4			17	
19	5			1	
19	6			00	
19	7			6	
19	8			1	
19	9			51	
19	10			17	G
20	1	18	P		
20	2			5	PU
20	3	29	D		
20	4	29	PU		
20	5	24	G		
21	1	18	P		
21	2			89	PU
21	3			91	
21	4			89	
21	5			21	
21	6			5	
21	7			21	
21	8			89	LG
22	1	8	P		
22	2			00	PU
22	3			1	
22	4			14	
22	5			17	
22	6			14	TO
22	7			29	PU
22	8			23	
22	9			6	
22	10			51	LG
23	1	29	P		
23	2			5	PU
23	3			89	
23	4			5	
23	5			10	
23	6			21	
23	7			22	
23	8			98	
23	9			22	
23	10			21	
23	11			98	G
24	1	8	P		
24	2			00	PU
24	3			1	
24	4			77	
24	5	11	F		
24	6			00	
24	7			8	
24	8			51	
24	9			00	
24	10			77	
24	11			1	
24	12			6	
24	13	24	PU		
24	14	31			
24	15	8			
24	16	11	L		
24	17			17	PU
24	18	45	PU		
24	19	24			
24	20	11			
24	21	4			
24	22	8			
24	23	27	G		
25	1	33	P		
25	2			29	PU
25	3			31	
25	4			29	
25	5	?	F		
25	6			4	
25	7			29	
25	8			23	
25	9			29	
25	10			23	
25	11			18	
25	12			29	
25	13	?	F		
25	14			18	
25	15			?	F
25	16	13	PU		
25	17	18			
25	18	37	TO		
25	19			?	VP
25	20	89	PU		
25	21	91			
25	22	89			
25	23	21			
25	24	89			
25	25	98			
25	26	91			
25	27	72			
25	28	91			
25	29	21			
25	30			29	F
25	31	72			
25	32			29	PU
25	33			18	
25	34			29	
25	35			23	TD
25	36	91	PU		
25	37	89			
25	38	5			
25	39	21			
25	40	22	G		
26	1	33	P		
26	2			00	PU
26	3			1	
26	4			77	
26	5			17	
26	6			8	
26	7			00	
26	8			6	
26	9	81	PU		
26	10	18			
26	11	13			
26	12	14			
26	13	37	LG		
27	1	8	P		
27	2			29	PU
27	3			14	
27	4			29	
27	5			4	
27	6			29	
27	7			23	
27	8	24	PU		
27	9	4			
27	10	8			
27	11	24			
27	12	31			
27	13	8			
27	14	4	G		
28	1	33	P		
28	2			17	PU
28	3			1	
28	4			17	
28	5	49	PU		
28	6	37			
28	7	7	G		
29	1	33	P		
29	2			00	PU
29	3			1	
29	4			00	
29	5			14	
29	6	14	SO		
29	7	8	SI		
29	8			00	
29	9			14	
29	10			1	
29	11			17	
29	12			8	
29	13			77	
29	14			8	
29	15			1	
29	16			17	
29	17			14	
29	18			51	G
30	1	8	OBP		
30	2			29	PU
30	3			18	
30	4			29	TD
30	5	31	PU		
30	6	45			
30	7	27			
30	8	45			
30	9	4	G		
31	1	8	P		
31	2			00	PU
31	3			1	
31	4			14	
31	5			17	
31	6			14	
31	7			8	
31	8			1	
31	9			77	
31	10			14	
31	11			00	
31	12			51	
31	13			77	
31	14			1	G
32	1	29	P		
32	2			91	PU
32	3			98	
32	4			5	
32	5			10	
32	6			91	
32	7	15	D		
32	8	29	PU		
32	9	23			
32	10			91	D
32	11			91	PU
32	12			89	
32	13			10	
32	14			5	
32	15			72	L
32	16			98	G
33	1	33	P		
33	2			1	PU
33	3			17	
33	4			1	
33	5			00	
33	6			1	
33	7			17	
33	8			14	
33	9			17	
33	10	13	D		
33	11	18	PU		
33	12	33			
33	13	81			
33	14	49			
33	15	18			
33	16	13	G		
34	1	8	P		
34	2			00	PU
34	3			29	
34	4			18	
34	5			29	
34	6	24	PU		
34	7	45			
34	8	24			
34	9	8			
34	10	31			
34	11	8			
34	12	45			
34	13	8			
34	14	27			
34	15	8			
34	16	27			
34	17	31			
34	18	4	G		
35	1	33	P		
35	2			29	PU
35	3			10	
35	4			4	
35	5			23	
35	6			29	
35	7			8	
35	8			4	
35	9			10	
35	10	18	PU		
35	11	33	L		
35	12	13	G		
36	1	8	P		
36	2			14	PU
36	3			1	
36	4			14	
36	5			17	
36	6			1	
36	7	8	D		
36	8	4			
36	9	8			
36	10	24			
36	11	27			
36	12	45			
36	13	24			
36	14	27	TD		
36	15			14	PU
36	16			31	
36	17			14	
36	18			23	
36	19			77	
36	20			14	
36	21	45	PU		
36	22	27			
36	23	45			
36	24	11	G		
37	1	33	P		
37	2			29	PU
37	3			10	
37	4			29	
37	5			18	
37	6			29	
37	7			18	
37	8			31	
37	9	49	PU		
37	10	18	L		
37	11			4	D
37	12			29	PU
37	13			31	
37	14			15	
37	15			31	
37	16			29	
37	17	49	SO		
37	18	5	SI		
37	19			4	
37	20			29	
37	21			24	
37	22			29	
37	23			31	LG
38	1	29	P		
38	2			5	PU
38	3			91	
38	4			5	
38	5			22	
38	6			5	
38	7			91	
38	8			22	
38	9			89	
38	10			91	
38	11			10	
38	12			89	
38	13			10	
38	14			22	
38	15			5	
38	16			89	G
39	1	8	P		
39	2			10	PU
39	3			31	
39	4			10	
39	5			4	
39	6			15	
39	7			17	
39	8			4	
39	9			15	
39	10			31	
39	11	45	PU		
39	12	31			
39	13	8			
39	14	18			
39	15	27	G		
40	1	33	P		
40	2			14	PU
40	3			1	
40	4			77	
40	5			1	
40	6			00	
40	7			77	
40	8			14	
40	9			18	
40	10			1	G
41	1	24	P		
41	2			91	PU
41	3			89	
