poss_abs	poss_rel	point	beg_event	end_event	desc	n_inn	beg_code	beg_plyr	innards	end_code	end_plyr	wl	pclass
86	3	39	17	17	an	-1	O-CTH	nykRM-21		NA	nykRM-21	TRUE	taway
87	4	39	18	19	ao	0	O-PU	wdcCT-27		O-TO	wdcCT-	TRUE	nopass
87	4	39	20	21	ao	0	O-PU	wdcCT-27		O-CTH	wdcCT-5	TRUE	compl
87	4	39	21	23	ao	1	O-CTH	wdcCT-5	D-F	O-CTH	wdcCT-61	TRUE	compl
87	4	39	23	24	ao	0	O-CTH	wdcCT-61		O-CTH	wdcCT-21	TRUE	compl
87	4	39	24	25	ao	0	O-CTH	wdcCT-21		O-CTH	wdcCT-4	TRUE	compl
87	4	39	25	26	ao	0	O-CTH	wdcCT-4		O-CTH	wdcCT-1	TRUE	compl
87	4	39	26	27	ao	0	O-CTH	wdcCT-1		O-CTH	wdcCT-5	TRUE	compl
87	4	39	27	28	ao	0	O-CTH	wdcCT-5		O-CTH	wdcCT-1	TRUE	compl
87	4	39	28	29	ao	0	O-CTH	wdcCT-1		O-G	wdcCT-21	TRUE	compl
88	1	40	2	3	ao	0	O-PU	nykRM-26		O-CTH	nykRM-18	TRUE	compl
88	1	40	3	4	ao	0	O-CTH	nykRM-18		O-CTH	nykRM-4	TRUE	compl
88	1	40	4	5	ao	0	O-CTH	nykRM-4		O-CTH	nykRM-26	TRUE	compl
88	1	40	5	6	ao	0	O-CTH	nykRM-26		O-CTH	nykRM-4	TRUE	compl
88	1	40	6	7	ao	0	O-CTH	nykRM-4		O-CTH	nykRM-26	TRUE	compl
88	1	40	7	8	ao	0	O-CTH	nykRM-26		O-CTH	nykRM-19	TRUE	compl
88	1	40	8	10	ao	1	O-CTH	nykRM-19	D-F	O-CTH	nykRM-33	TRUE	compl
88	1	40	10	10	an	-1	O-CTH	nykRM-33		NA	nykRM-33	TRUE	taway
89	2	40	11	12	ao	0	O-PU	wdcCT-7		O-CTH	wdcCT-20	TRUE	compl
89	2	40	12	12	an	-1	O-CTH	wdcCT-20		NA	wdcCT-20	TRUE	taway
