point	period	clk_before	clk_after	pull_team	n_poss	scor_team	h_or_b	nykRM	phlSP	pt_dur	pt_dur_txt
1	1	10:00:00	9:18:00	nykRM	3	phlSP	hold	0	1	42	00:42
2	1	9:18:00	8:48:00	phlSP	1	nykRM	hold	1	1	30	00:30
3	1	8:48:00	8:18:00	nykRM	1	phlSP	hold	1	2	30	00:30
4	1	8:18:00	7:35:00	phlSP	1	nykRM	hold	2	2	43	00:43
5	1	7:35:00	7:04:00	nykRM	1	phlSP	hold	2	3	31	00:31
6	1	7:04:00	6:33:00	phlSP	1	nykRM	hold	3	3	31	00:31
7	1	6:33:00	4:45:00	nykRM	4	nykRM	break	4	3	108	01:48
8	1	4:45:00	0:56:01	nykRM	7	phlSP	hold	4	4	229	03:49
9	1	0:56:01	0:33:00	phlSP	1	nykRM	hold	5	4	23	00:23
10	1	0:33:00	0:00:00	nykRM	2	nykRM	break	6	4	33	00:33
11	2	10:00:00	9:38:00	nykRM	2	nykRM	break	7	4	22	00:22
12	2	9:38:00	8:29:00	nykRM	2	nykRM	break	8	4	69	01:09
13	2	8:29:00	7:09:00	nykRM	3	phlSP	hold	8	5	80	01:20
14	2	7:09:00	6:01:00	phlSP	1	nykRM	hold	9	5	68	01:08
15	2	6:01:00	4:45:00	nykRM	3	phlSP	hold	9	6	76	01:16
16	2	4:45:00	3:29:00	phlSP	2	phlSP	break	9	7	76	01:16
17	2	3:29:00	2:52:00	phlSP	1	nykRM	hold	10	7	37	00:37
18	2	2:52:00	2:22:00	nykRM	1	phlSP	hold	10	8	30	00:30
19	2	2:22:00	0:50:03	phlSP	3	nykRM	hold	11	8	92	01:32
20	2	0:53:03	0:10:07	nykRM	1	phlSP	hold	11	9	43	00:43
21	2	0:10:07	0:00:00	phlSP	NA	NA	NA	11	9	10	00:10
22	3	10:00:00	9:38:00	phlSP	1	nykRM	hold	12	9	22	00:22
23	3	9:38:00	8:51:00	nykRM	2	nykRM	break	13	9	47	00:47
24	3	8:51:00	6:20:00	nykRM	3	phlSP	hold	13	10	151	02:31
25	3	6:20:00	6:01:00	phlSP	1	nykRM	hold	14	10	19	00:19
26	3	6:01:00	5:08:00	nykRM	3	phlSP	hold	14	11	53	00:53
27	3	5:08:00	4:12:00	phlSP	1	nykRM	hold	15	11	56	00:56
28	3	4:12:00	3:44:00	nykRM	2	nykRM	break	16	11	28	00:28
29	3	3:44:00	3:31:00	nykRM	1	phlSP	hold	16	12	13	00:13
30	3	3:31:00	2:57:00	phlSP	1	nykRM	hold	17	12	34	00:34
31	3	2:57:00	2:09:00	nykRM	1	phlSP	hold	17	13	48	00:48
32	3	2:09:00	1:01:00	phlSP	2	phlSP	break	17	14	68	01:08
33	3	1:01:00	0:09:04	phlSP	2	phlSP	break	17	15	52	00:52
34	3	0:09:04	0:00:00	phlSP	NA	NA	NA	17	15	9	00:09
35	4	10:00:00	7:05:00	nykRM	5	phlSP	hold	17	16	175	02:55
36	4	7:05:00	6:46:00	phlSP	2	phlSP	break	17	17	19	00:19
37	4	6:46:00	5:05:00	phlSP	3	nykRM	hold	18	17	101	01:41
38	4	5:05:00	3:57:00	nykRM	5	phlSP	hold	18	18	68	01:08
39	4	3:57:00	3:31:00	phlSP	1	nykRM	hold	19	18	26	00:26
40	4	3:31:00	2:41:00	nykRM	2	nykRM	break	20	18	50	00:50
41	4	2:41:00	2:13:00	nykRM	1	phlSP	hold	20	19	28	00:28
42	4	2:13:00	1:28:00	phlSP	1	nykRM	hold	21	19	45	00:45
43	4	1:28:00	0:50:07	nykRM	1	phlSP	hold	21	20	38	00:38
44	4	0:50:07	0:03:09	phlSP	2	phlSP	break	21	21	47	00:47
45	4	0:03:09	0:00:00	phlSP	NA	NA	NA	21	21	3	00:03
46	OT	5:00:00	4:41:00	nykRM	1	phlSP	hold	21	22	19	00:19
47	OT	4:41:00	3:00:00	phlSP	3	nykRM	hold	22	22	101	01:41
48	OT	3:00:00	1:15:00	nykRM	6	nykRM	break	23	22	105	01:45
49	OT	1:15:00	0:00:00	nykRM	3	phlSP	hold	23	23	75	01:15
50	2OT	0:00:00	0:00:00	phlSP	3	nykRM	hold	24	23	0	00:00
