point	Pulling.team	Period	Clock.before.point	Clock.after.point
1	New York	1	10:00:00	8:26:00
2	Philadelphia	1	8:26:00	4:03:00
3	Philadelphia	1	4:03:00	3:02:00
4	Philadelphia	1	3:02:00	2:17:00
5	New York	1	2:17:00	0:52:00
6	New York	1	0:52:00	0:15:00
7	New York	1	0:15:00	0:00:00
8	Philadelphia	2	10:00:00	9:38:00
9	New York	2	9:38:00	8:58:00
10	New York	2	8:58:00	7:58:00
11	Philadelphia	2	7:58:00	3:27:00
12	New York	2	3:27:00	1:46:00
13	Philadelphia	2	1:46:00	1:28:00
14	New York	2	1:28:00	0:58:00
15	Philadelphia	2	0:58:00	0:00:00
16	New York	3	10:00:00	8:29:00
17	Philadelphia	3	8:29:00	7:15:00
18	Philadelphia	3	7:15:00	6:35:00
19	New York	3	6:35:00	4:29:00
20	Philadelphia	3	4:29:00	1:14:00
21	New York	3	1:14:00	0:00:00
22	Philadelphia	4	10:00:00	6:50:00
23	Philadelphia	4	6:50:00	4:58:00
24	New York	4	4:58:00	1:53:00
25	New York	4	1:53:00	1:37:00
26	Philadelphia	4	1:37:00	0:00:00
27	New York	ot	5:00:00	4:10:00
28	Philadelphia	ot	4:10:00	2:00:00
29	New York	ot	2:00:00	0:00:00
30	Philadelphia	2ot	0:00:00	0:00:00
