poss_abs	poss_rel	point	beg_event	end_event	desc	n_inn	beg_code	beg_plyr	innards	end_code	end_plyr	wl	pclass
18	1	6	2	3	ao	0	O-PU	vanNH-89		O-CTH	vanNH-19	TRUE	compl
18	1	6	3	4	ao	0	O-CTH	vanNH-19		O-CTH	vanNH-21	TRUE	compl
18	1	6	4	5	ao	0	O-CTH	vanNH-21		O-CTH	vanNH-13	TRUE	compl
18	1	6	5	6	ao	0	O-CTH	vanNH-13		O-G	vanNH-5	TRUE	compl
19	1	7	2	3	ao	0	O-PU	sfoDF-8		O-CTH	sfoDF-13	TRUE	compl
19	1	7	3	4	ao	0	O-CTH	sfoDF-13		O-CTH	sfoDF-8	TRUE	compl
19	1	7	4	5	ao	0	O-CTH	sfoDF-8		O-CTH	sfoDF-88	TRUE	compl
19	1	7	5	6	ao	0	O-CTH	sfoDF-88		O-CTH	sfoDF-8	TRUE	compl
19	1	7	6	7	ao	0	O-CTH	sfoDF-8		O-CTH	sfoDF-88	TRUE	compl
19	1	7	7	8	ao	0	O-CTH	sfoDF-88		O-CTH	sfoDF-8	TRUE	compl
19	1	7	8	9	ao	0	O-CTH	sfoDF-8		O-CTH	sfoDF-88	TRUE	compl
19	1	7	9	10	ao	0	O-CTH	sfoDF-88		O-CTH	sfoDF-8	TRUE	compl
19	1	7	10	11	ao	0	O-CTH	sfoDF-8		O-CTH	sfoDF-13	TRUE	compl
19	1	7	11	12	ao	0	O-CTH	sfoDF-13		O-CTH	sfoDF-8	TRUE	compl
19	1	7	12	13	ao	0	O-CTH	sfoDF-8		O-CTH	sfoDF-13	TRUE	compl
19	1	7	13	14	ao	0	O-CTH	sfoDF-13		O-CTH	sfoDF-40	TRUE	compl
19	1	7	14	15	ao	0	O-CTH	sfoDF-40		O-CTH	sfoDF-88	TRUE	compl
19	1	7	15	16	ao	0	O-CTH	sfoDF-88		O-CTH	sfoDF-13	TRUE	compl
19	1	7	16	17	ao	0	O-CTH	sfoDF-13		O-CTH	sfoDF-23	TRUE	compl
19	1	7	17	18	ao	0	O-CTH	sfoDF-23		O-G	sfoDF-21	TRUE	compl
20	1	8	2	3	ao	0	O-PU	vanNH-5		O-CTH	vanNH-89	TRUE	compl
20	1	8	3	4	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-22	TRUE	compl
20	1	8	4	5	ao	0	O-CTH	vanNH-22		O-CTH	vanNH-72	TRUE	compl
20	1	8	5	6	ao	0	O-CTH	vanNH-72		O-TD	vanNH-5	TRUE	drop
21	2	8	7	8	ao	0	O-PU	sfoDF-16		O-CTH	sfoDF-18	TRUE	compl
21	2	8	8	9	ao	0	O-CTH	sfoDF-18		O-CTH	sfoDF-10	TRUE	compl
21	2	8	9	10	ao	0	O-CTH	sfoDF-10		O-G	sfoDF-25	TRUE	compl
22	1	9	2	3	ao	0	O-PU	vanNH-5		O-TD	vanNH-22	TRUE	drop
23	2	9	4	5	ao	0	O-PU	sfoDF-83		O-OV	sfoDF-83	TRUE	nopass
24	3	9	6	6	an	-1	O-PU	vanNH-89		NA	vanNH-89	TRUE	taway
25	4	9	7	8	ao	0	O-PU	sfoDF-23		O-CTH	sfoDF-83	TRUE	compl
25	4	9	8	9	ao	0	O-CTH	sfoDF-83		O-CTH	sfoDF-23	TRUE	compl
25	4	9	9	9	an	-1	O-CTH	sfoDF-23		NA	sfoDF-23	TRUE	taway
26	5	9	10	11	ao	0	O-PU	vanNH-5		D-D	sfoDF-13	TRUE	defd
27	6	9	12	13	ao	0	O-PU	sfoDF-23		O-CTH	sfoDF-83	TRUE	compl
27	6	9	13	14	ao	0	O-CTH	sfoDF-83		D-D	vanNH-22	TRUE	defd
28	7	9	15	16	ao	0	O-PU	vanNH-89		O-CTH	vanNH-10	TRUE	compl
28	7	9	16	17	ao	0	O-CTH	vanNH-10		O-CTH	vanNH-19	TRUE	compl
28	7	9	17	18	ao	0	O-CTH	vanNH-19		O-CTH	vanNH-98	TRUE	compl
28	7	9	18	19	ao	0	O-CTH	vanNH-98		O-CTH	vanNH-22	TRUE	compl
28	7	9	19	20	ao	0	O-CTH	vanNH-22		O-G	vanNH-98	TRUE	compl
29	1	10	2	2	an	-1	O-PU	sfoDF-16		NA	sfoDF-16	TRUE	taway
30	1	11	2	3	ao	0	O-PU	vanNH-89		O-CTH	vanNH-19	TRUE	compl
30	1	11	3	4	ao	0	O-CTH	vanNH-19		O-CTH	vanNH-98	TRUE	compl
30	1	11	4	5	ao	0	O-CTH	vanNH-98		O-CTH	vanNH-19	TRUE	compl
30	1	11	5	6	ao	0	O-CTH	vanNH-19		O-CTH	vanNH-22	TRUE	compl
30	1	11	6	7	ao	0	O-CTH	vanNH-22		O-CTH	vanNH-19	TRUE	compl
30	1	11	7	8	ao	0	O-CTH	vanNH-19		O-CTH	vanNH-89	TRUE	compl
30	1	11	8	9	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-19	TRUE	compl
30	1	11	9	10	ao	0	O-CTH	vanNH-19		O-CTH	vanNH-89	TRUE	compl
30	1	11	10	11	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-5	TRUE	compl
30	1	11	11	12	ao	0	O-CTH	vanNH-5		O-CTH	vanNH-19	TRUE	compl
30	1	11	12	13	ao	0	O-CTH	vanNH-19		O-CTH	vanNH-22	TRUE	compl
30	1	11	13	14	ao	0	O-CTH	vanNH-22		O-TD	vanNH-21	TRUE	drop
31	2	11	15	16	ao	0	O-PU	sfoDF-5		O-CTH	sfoDF-18	TRUE	compl
31	2	11	16	17	ao	0	O-CTH	sfoDF-18		O-CTH	sfoDF-5	TRUE	compl
31	2	11	17	18	ao	0	O-CTH	sfoDF-5		O-CTH	sfoDF-85	TRUE	compl
31	2	11	18	19	ao	0	O-CTH	sfoDF-85		O-G	sfoDF-57	TRUE	compl
32	1	12	2	3	ao	0	O-PU	vanNH-5		D-D	sfoDF-21	TRUE	defd
33	2	12	4	5	ao	0	O-PU	sfoDF-13		O-TD	sfoDF-8	TRUE	drop
34	3	12	6	7	ao	0	O-PU	vanNH-19		O-CTH	vanNH-98	TRUE	compl
34	3	12	7	8	ao	0	O-CTH	vanNH-98		O-CTH	vanNH-22	TRUE	compl
34	3	12	8	9	ao	0	O-CTH	vanNH-22		O-CTH	vanNH-5	TRUE	compl
34	3	12	9	10	ao	0	O-CTH	vanNH-5		O-CTH	vanNH-10	TRUE	compl
34	3	12	10	11	ao	0	O-CTH	vanNH-10		O-CTH	vanNH-98	TRUE	compl
34	3	12	11	12	ao	0	O-CTH	vanNH-98		O-CTH	vanNH-5	TRUE	compl
34	3	12	12	13	ao	0	O-CTH	vanNH-5		O-TD	vanNH-72	TRUE	drop
35	4	12	14	14	an	-1	O-PU	sfoDF-23		NA	sfoDF-23	TRUE	taway
36	5	12	15	16	ao	0	O-PU	vanNH-5		O-CTH	vanNH-89	TRUE	compl
36	5	12	16	18	ao	1	O-CTH	vanNH-89	D-F	O-CTH	vanNH-5	TRUE	compl
36	5	12	18	18	an	-1	O-CTH	vanNH-5		NA	vanNH-5	TRUE	taway
37	6	12	19	20	ao	0	O-PU	sfoDF-13		O-CTH	sfoDF-8	TRUE	compl
37	6	12	20	21	ao	0	O-CTH	sfoDF-8		O-CTH	sfoDF-13	TRUE	compl
37	6	12	21	22	ao	0	O-CTH	sfoDF-13		O-CTH	sfoDF-40	TRUE	compl
37	6	12	22	23	ao	0	O-CTH	sfoDF-40		D-D	vanNH-72	TRUE	defd
38	7	12	24	25	ao	0	O-PU	vanNH-10		O-OV	vanNH-89	TRUE	compl
39	8	12	26	27	ao	0	O-PU	sfoDF-23		D-D	vanNH-98	TRUE	defd
40	9	12	28	28	an	-1	O-CTH	vanNH-98		NA	vanNH-98	TRUE	taway
41	10	12	29	30	ao	0	O-PU	sfoDF-8		O-CTH	sfoDF-13	TRUE	compl
41	10	12	30	31	ao	0	O-CTH	sfoDF-13		O-CTH	sfoDF-40	TRUE	compl
41	10	12	31	32	ao	0	O-CTH	sfoDF-40		O-CTH	sfoDF-23	TRUE	compl
41	10	12	32	32	an	-1	O-CTH	sfoDF-23		NA	sfoDF-23	TRUE	taway
42	11	12	33	34	ao	0	O-PU	vanNH-5		O-CTH	vanNH-89	TRUE	compl
42	11	12	34	35	ao	0	O-CTH	vanNH-89		O-TD	vanNH-22	TRUE	drop
43	12	12	36	37	ao	0	O-PU	sfoDF-8		O-TO	sfoDF-?	TRUE	compl
43	12	12	38	39	ao	0	O-PU	sfoDF-8		O-CTH	sfoDF-13	TRUE	compl
43	12	12	39	40	ao	0	O-CTH	sfoDF-13		O-CTH	sfoDF-88	TRUE	compl
43	12	12	40	41	ao	0	O-CTH	sfoDF-88		O-G	sfoDF-40	TRUE	compl
44	1	13	2	3	ao	0	O-PU	vanNH-19		O-CTH	vanNH-5	TRUE	compl
44	1	13	3	4	ao	0	O-CTH	vanNH-5		O-CTH	vanNH-89	TRUE	compl
44	1	13	4	5	ao	0	O-CTH	vanNH-89		O-TD	vanNH-10	TRUE	drop
45	2	13	6	7	ao	0	O-PU	sfoDF-16		O-G	sfoDF-10	TRUE	compl
46	1	14	2	2	an	-1	O-PU	vanNH-24		NA	vanNH-24	TRUE	taway
47	2	14	3	3	an	-1	O-PU	sfoDF-57		NA	sfoDF-57	TRUE	taway
48	3	14	4	5	ao	0	O-PU	vanNH-37		O-TD	vanNH-45	TRUE	drop
49	4	14	6	7	ao	0	O-PU	sfoDF-8		O-CTH	sfoDF-21	TRUE	compl
49	4	14	7	8	ao	0	O-CTH	sfoDF-21		O-CTH	sfoDF-19	TRUE	compl
49	4	14	8	9	ao	0	O-CTH	sfoDF-19		O-CTH	sfoDF-8	TRUE	compl
49	4	14	9	10	ao	0	O-CTH	sfoDF-8		O-CTH	sfoDF-21	TRUE	compl
49	4	14	10	11	ao	0	O-CTH	sfoDF-21		O-TO	sfoDF-?	TRUE	compl
49	4	14	12	12	an	-1	O-PU	sfoDF-23		NA	sfoDF-23	TRUE	taway
50	5	14	13	14	ao	0	O-PU	vanNH-24		O-CTH	vanNH-39	TRUE	compl
50	5	14	14	15	ao	0	O-CTH	vanNH-39		O-CTH	vanNH-24	TRUE	compl
50	5	14	15	16	ao	0	O-CTH	vanNH-24		D-D	sfoDF-40	TRUE	defd
51	6	14	17	18	ao	0	O-PU	sfoDF-40		O-CTH	sfoDF-8	TRUE	compl
