point	Pulling.team	Period	Clock.before.point	Clock.after.point
1	Vancouver Nighthawks	1	10:00:00	8:44:00
2	Seattle Rainmakers	1	8:44:00	7:51:00
3	Seattle Rainmakers	1	7:51:00	7:12:00
4	Vancouver Nighthawks	1	7:12:00	6:53:00
5	Seattle Rainmakers	1	6:53:00	5:43:00
6	Vancouver Nighthawks	1	5:43:00	5:37:00
7	Seattle Rainmakers	1	5:37:00	5:04:00
8	Seattle Rainmakers	1	5:04:00	3:31:00
9	Vancouver Nighthawks	1	3:31:00	3:12:00
10	Seattle Rainmakers	1	3:12:00	1:49:00
11	Seattle Rainmakers	1	1:49:00	0:00:00
12	Seattle Rainmakers	2	10:00:00	8:56:00
13	Vancouver Nighthawks	2	8:56:00	8:32:00
14	Seattle Rainmakers	2	8:32:00	7:57:00
15	Vancouver Nighthawks	2	7:57:00	7:35:00
16	Seattle Rainmakers	2	7:35:00	6:27:00
17	Vancouver Nighthawks	2	6:27:00	5:59:00
18	Seattle Rainmakers	2	5:59:00	5:31:00
19	Seattle Rainmakers	2	5:31:00	4:29:00
20	Seattle Rainmakers	2	4:29:00	4:12:00
21	Vancouver Nighthawks	2	4:12:00	3:53:00
22	Seattle Rainmakers	2	3:53:00	3:28:00
23	Vancouver Nighthawks	2	3:28:00	2:38:00
24	Seattle Rainmakers	2	2:38:00	2:14:00
25	Seattle Rainmakers	2	2:14:00	1:27:00
26	Seattle Rainmakers	2	1:27:00	0:00:00
27	Vancouver Nighthawks	3	10:00:00	9:16:00
28	Seattle Rainmakers	3	9:16:00	8:43:00
29	Vancouver Nighthawks	3	8:43:00	7:53:00
30	Vancouver Nighthawks	3	7:53:00	7:29:00
31	Seattle Rainmakers	3	7:29:00	5:29:00
32	Seattle Rainmakers	3	5:29:00	3:04:00
33	Seattle Rainmakers	3	3:04:00	2:39:00
34	Vancouver Nighthawks	3	2:39:00	2:27:00
35	Vancouver Nighthawks	3	2:27:00	1:19:00
36	Seattle Rainmakers	3	1:19:00	0:57:00
37	Vancouver Nighthawks	3	0:57:00	0:23:00
38	Vancouver Nighthawks	3	0:23:00	0:00:00
39	Seattle Rainmakers	4	10:00:00	9:01:00
40	Vancouver Nighthawks	4	9:01:00	8:37:00
41	Seattle Rainmakers	4	8:37:00	8:37:00
42	Seattle Rainmakers	4	8:37:00	5:37:00
43	Seattle Rainmakers	4	5:37:00	4:57:00
44	Vancouver Nighthawks	4	4:57:00	4:39:00
45	Seattle Rainmakers	4	4:39:00	4:08:00
46	Vancouver Nighthawks	4	4:08:00	3:25:00
47	Vancouver Nighthawks	4	3:25:00	1:53:00
48	Seattle Rainmakers	4	1:53:00	0:00:00
