point	event	oTeam	dTeam	oNum	oCode	dNum	dCode	scTeam
13	5	vanNH	seaRM			29	PU	vanNH
13	6	vanNH	seaRM			12	TO	vanNH
13	7	vanNH	seaRM	91	PU			vanNH
13	8	vanNH	seaRM	89				vanNH
13	9	vanNH	seaRM	19				vanNH
13	10	vanNH	seaRM	21				vanNH
13	11	vanNH	seaRM	98				vanNH
13	12	vanNH	seaRM	22				vanNH
13	13	vanNH	seaRM	89				vanNH
13	14	vanNH	seaRM	19				vanNH
13	15	vanNH	seaRM	89				vanNH
13	16	vanNH	seaRM	91	A			vanNH
13	17	vanNH	seaRM	19	G			vanNH
14	1	seaRM	vanNH			8	P	NA
14	2	seaRM	vanNH	14				NA
14	3	seaRM	vanNH	1				NA
14	4	seaRM	vanNH	6				NA
14	5	seaRM	vanNH			8	D	NA
15	1	seaRM	vanNH			8	P	seaRM
15	2	seaRM	vanNH	00				seaRM
15	3	seaRM	vanNH	1				seaRM
15	4	seaRM	vanNH	9				seaRM
15	5	seaRM	vanNH	1				seaRM
15	6	seaRM	vanNH	20				seaRM
15	7	seaRM	vanNH	00				seaRM
15	8	seaRM	vanNH	9				seaRM
15	9	seaRM	vanNH	6				seaRM
15	10	seaRM	vanNH	1	A			seaRM
15	11	seaRM	vanNH	00	G			seaRM
16	1	vanNH	seaRM			29	P	seaRM
16	2	vanNH	seaRM	89				seaRM
16	3	vanNH	seaRM	91				seaRM
16	4	vanNH	seaRM	10				seaRM
16	5	vanNH	seaRM			29	PU	seaRM
16	6	vanNH	seaRM			21		seaRM
16	7	vanNH	seaRM			29		seaRM
16	8	vanNH	seaRM			21		seaRM
16	9	vanNH	seaRM			24		seaRM
16	10	vanNH	seaRM	21	F			seaRM
16	11	vanNH	seaRM			29	A	seaRM
16	12	vanNH	seaRM			23	G	seaRM
17	1	vanNH	seaRM			29	P	seaRM
17	2	vanNH	seaRM	91				seaRM
17	3	vanNH	seaRM	98				seaRM
17	4	vanNH	seaRM	91				seaRM
17	5	vanNH	seaRM	19				seaRM
17	6	vanNH	seaRM	89				seaRM
17	7	vanNH	seaRM			29	PU	seaRM
17	8	vanNH	seaRM			12		seaRM
17	9	vanNH	seaRM			15		seaRM
17	10	vanNH	seaRM			23		seaRM
17	11	vanNH	seaRM			77		seaRM
17	12	vanNH	seaRM			29		seaRM
17	13	vanNH	seaRM			2	L	seaRM
17	14	vanNH	seaRM			18	A	seaRM
17	15	vanNH	seaRM			29	G	seaRM
18	1	vanNH	seaRM			24	P	vanNH
18	2	vanNH	seaRM	89				vanNH
18	3	vanNH	seaRM	91				vanNH
18	4	vanNH	seaRM	19				vanNH
18	5	vanNH	seaRM	72				vanNH
18	6	vanNH	seaRM	22				vanNH
18	7	vanNH	seaRM	89				vanNH
18	8	vanNH	seaRM	72	A			vanNH
18	9	vanNH	seaRM	19	G			vanNH
19	1	seaRM	vanNH			8	P	seaRM
19	2	seaRM	vanNH	14				seaRM
19	3	seaRM	vanNH	1				seaRM
19	4	seaRM	vanNH	14				seaRM
19	5	seaRM	vanNH	1				seaRM
19	6	seaRM	vanNH	00				seaRM
19	7	seaRM	vanNH	6				seaRM
19	8	seaRM	vanNH	51				seaRM
19	9	seaRM	vanNH	17				seaRM
19	10	seaRM	vanNH	14				seaRM
19	11	seaRM	vanNH	6				seaRM
19	12	seaRM	vanNH			75	PU	seaRM
19	13	seaRM	vanNH	00	PU			seaRM
19	14	seaRM	vanNH	1				seaRM
19	15	seaRM	vanNH	51				seaRM
19	16	seaRM	vanNH	00				seaRM
19	17	seaRM	vanNH	1				seaRM
19	18	seaRM	vanNH	00				seaRM
19	19	seaRM	vanNH	17	A			seaRM
19	20	seaRM	vanNH	6	G			seaRM
20	1	vanNH	seaRM			29	P	vanNH
20	2	vanNH	seaRM	89				vanNH
20	3	vanNH	seaRM	19				vanNH
20	4	vanNH	seaRM	21				vanNH
20	5	vanNH	seaRM	91				vanNH
20	6	vanNH	seaRM	21				vanNH
20	7	vanNH	seaRM	19				vanNH
20	8	vanNH	seaRM	98				vanNH
20	9	vanNH	seaRM	91				vanNH
20	10	vanNH	seaRM	89				vanNH
20	11	vanNH	seaRM	91				vanNH
20	12	vanNH	seaRM	21				vanNH
20	13	vanNH	seaRM	89	A			vanNH
20	14	vanNH	seaRM	10	G			vanNH
21	1	seaRM	vanNH			37	P	seaRM
21	2	seaRM	vanNH	00				seaRM
21	3	seaRM	vanNH	20				seaRM
21	4	seaRM	vanNH	48	L			seaRM
21	5	seaRM	vanNH	8	A			seaRM
21	6	seaRM	vanNH	17	G			seaRM
22	1	vanNH	seaRM			29	P	vanNH
22	2	vanNH	seaRM	89				vanNH
22	3	vanNH	seaRM	19				vanNH
22	4	vanNH	seaRM	89				vanNH
22	5	vanNH	seaRM	10				vanNH
22	6	vanNH	seaRM	22				vanNH
22	7	vanNH	seaRM	21				vanNH
22	8	vanNH	seaRM	22				vanNH
22	9	vanNH	seaRM	91				vanNH
22	10	vanNH	seaRM	89				vanNH
22	11	vanNH	seaRM	91				vanNH
22	12	vanNH	seaRM			29	TO	vanNH
22	13	vanNH	seaRM			1	PU	vanNH
22	14	vanNH	seaRM			9		vanNH
22	15	vanNH	seaRM			1		vanNH
22	16	vanNH	seaRM			14		vanNH
22	17	vanNH	seaRM			17		vanNH
22	18	vanNH	seaRM	8	PU			vanNH
22	19	vanNH	seaRM	31				vanNH
22	20	vanNH	seaRM	45				vanNH
22	21	vanNH	seaRM	8				vanNH
22	22	vanNH	seaRM	45				vanNH
22	23	vanNH	seaRM	7	A			vanNH
22	24	vanNH	seaRM	27	G			vanNH
23	1	seaRM	vanNH			8	P	vanNH
23	2	seaRM	vanNH	00				vanNH
23	3	seaRM	vanNH	1				vanNH
23	4	seaRM	vanNH	17				vanNH
23	5	seaRM	vanNH	6				vanNH
23	6	seaRM	vanNH	17				vanNH
23	7	seaRM	vanNH			4	D	vanNH
23	8	seaRM	vanNH			8	PU	vanNH
23	9	seaRM	vanNH				TO	vanNH
23	10	seaRM	vanNH			89	PU	vanNH
23	11	seaRM	vanNH			22		vanNH
23	12	seaRM	vanNH			21		vanNH
23	13	seaRM	vanNH			89		vanNH
23	14	seaRM	vanNH			91		vanNH
23	15	seaRM	vanNH			19		vanNH
23	16	seaRM	vanNH			98		vanNH
23	17	seaRM	vanNH			19		vanNH
23	18	seaRM	vanNH			91	A	vanNH
23	19	seaRM	vanNH			21	G	vanNH
24	1	seaRM	vanNH			8	P	seaRM
24	2	seaRM	vanNH	14				seaRM
24	3	seaRM	vanNH	1				seaRM
24	4	seaRM	vanNH	00				seaRM
24	5	seaRM	vanNH	1				seaRM
24	6	seaRM	vanNH	14				seaRM
24	7	seaRM	vanNH	6				seaRM
24	8	seaRM	vanNH	17	A			seaRM
24	9	seaRM	vanNH	14	G			seaRM
25	1	vanNH	seaRM			29	P	vanNH
25	2	vanNH	seaRM	19				vanNH
25	3	vanNH	seaRM	81				vanNH
25	4	vanNH	seaRM	21	A			vanNH
25	5	vanNH	seaRM	10	LG			vanNH
26	1	seaRM	vanNH			8	P	NA
26	2	seaRM	vanNH	1				NA
26	3	seaRM	vanNH	20				NA
26	4	seaRM	vanNH	1				NA
26	5	seaRM	vanNH			8	D	NA
27	1	vanNH	seaRM			29	P	seaRM
27	2	vanNH	seaRM	19				seaRM
27	3	vanNH	seaRM	89				seaRM
27	4	vanNH	seaRM	10				seaRM
27	5	vanNH	seaRM	22				seaRM
27	6	vanNH	seaRM	21				seaRM
27	7	vanNH	seaRM	98				seaRM
27	8	vanNH	seaRM	19				seaRM
27	9	vanNH	seaRM	89				seaRM
27	10	vanNH	seaRM	19				seaRM
27	11	vanNH	seaRM	91				seaRM
27	12	vanNH	seaRM	21				seaRM
27	13	vanNH	seaRM			15	D	seaRM
27	14	vanNH	seaRM			29	PU	seaRM
27	15	vanNH	seaRM			21		seaRM
27	16	vanNH	seaRM			18		seaRM
27	17	vanNH	seaRM			21		seaRM
27	18	vanNH	seaRM			29		seaRM
27	19	vanNH	seaRM			23	L	seaRM
27	20	vanNH	seaRM			21		seaRM
27	21	vanNH	seaRM			12	A	seaRM
27	22	vanNH	seaRM			21	G	seaRM
28	1	vanNH	seaRM			24	P	vanNH
28	2	vanNH	seaRM	89				vanNH
28	3	vanNH	seaRM	91				vanNH
28	4	vanNH	seaRM	89				vanNH
28	5	vanNH	seaRM	10				vanNH
28	6	vanNH	seaRM	91				vanNH
28	7	vanNH	seaRM	89				vanNH
28	8	vanNH	seaRM	21	A			vanNH
28	9	vanNH	seaRM	72	LG			vanNH
29	1	seaRM	vanNH			8	P	seaRM
29	2	seaRM	vanNH	1				seaRM
29	3	seaRM	vanNH	20				seaRM
29	4	seaRM	vanNH	1				seaRM
29	5	seaRM	vanNH	20				seaRM
29	6	seaRM	vanNH	00				seaRM
29	7	seaRM	vanNH	17				seaRM
29	8	seaRM	vanNH	6	A			seaRM
29	9	seaRM	vanNH	48	LG			seaRM
30	1	vanNH	seaRM			29	P	seaRM
30	2	vanNH	seaRM	89				seaRM
30	3	vanNH	seaRM	19				seaRM
30	4	vanNH	seaRM	21				seaRM
30	5	vanNH	seaRM	22				seaRM
30	6	vanNH	seaRM			18	D	seaRM
30	7	vanNH	seaRM			29	PU	seaRM
30	8	vanNH	seaRM			18		seaRM
30	9	vanNH	seaRM			21		seaRM
30	10	vanNH	seaRM			23	A	seaRM
30	11	vanNH	seaRM			18	G	seaRM
