poss_abs	poss_rel	point	beg_event	end_event	desc	n_inn	beg_code	beg_plyr	innards	end_code	end_plyr	wl	pclass
11	8	2	47	48	ao	0	O-CTH	phlSP-6		O-CTH	phlSP-16	TRUE	compl
11	8	2	48	49	ao	0	O-CTH	phlSP-16		O-CTH	phlSP-31	TRUE	compl
11	8	2	49	50	ao	0	O-CTH	phlSP-31		O-CTH	phlSP-6	TRUE	compl
11	8	2	50	51	ao	0	O-CTH	phlSP-6		O-G	phlSP-64	TRUE	compl
12	1	3	2	3	ao	0	O-PU	nykRM-6		O-CTH	nykRM-2	TRUE	compl
12	1	3	3	4	ao	0	O-CTH	nykRM-2		O-CTH	nykRM-47	TRUE	compl
12	1	3	4	5	ao	0	O-CTH	nykRM-47		O-CTH	nykRM-1	TRUE	compl
12	1	3	5	6	ao	0	O-CTH	nykRM-1		O-CTH	nykRM-38	TRUE	compl
12	1	3	6	7	ao	0	O-CTH	nykRM-38		O-TD	nykRM-33	TRUE	drop
13	2	3	8	9	ao	0	O-PU	phlSP-33		O-CTH	phlSP-4	TRUE	compl
13	2	3	9	10	ao	0	O-CTH	phlSP-4		O-CTH	phlSP-22	TRUE	compl
13	2	3	10	11	ao	0	O-CTH	phlSP-22		O-CTH	phlSP-12	TRUE	compl
13	2	3	11	12	ao	0	O-CTH	phlSP-12		O-CTH	phlSP-28	TRUE	compl
13	2	3	12	13	ao	0	O-CTH	phlSP-28		O-G	phlSP-10	TRUE	compl
14	1	4	2	3	ao	0	O-PU	nykRM-4		O-CTH	nykRM-6	TRUE	compl
14	1	4	3	4	ao	0	O-CTH	nykRM-6		O-CTH	nykRM-22	TRUE	compl
14	1	4	4	5	ao	0	O-CTH	nykRM-22		O-CTH	nykRM-4	TRUE	compl
14	1	4	5	6	ao	0	O-CTH	nykRM-4		O-CTH	nykRM-6	TRUE	compl
14	1	4	6	7	ao	0	O-CTH	nykRM-6		O-CTH	nykRM-44	TRUE	compl
14	1	4	7	8	ao	0	O-CTH	nykRM-44		O-CTH	nykRM-6	TRUE	compl
14	1	4	8	9	ao	0	O-CTH	nykRM-6		O-CTH	nykRM-4	TRUE	compl
14	1	4	9	10	ao	0	O-CTH	nykRM-4		O-CTH	nykRM-41	TRUE	compl
14	1	4	10	11	ao	0	O-CTH	nykRM-41		O-CTH	nykRM-22	TRUE	compl
14	1	4	11	12	ao	0	O-CTH	nykRM-22		O-G	nykRM-14	TRUE	compl
15	1	5	2	3	ao	0	O-PU	phlSP-20		O-CTH	phlSP-25	TRUE	compl
15	1	5	3	4	ao	0	O-CTH	phlSP-25		O-CTH	phlSP-1	TRUE	compl
15	1	5	4	5	ao	0	O-CTH	phlSP-1		O-CTH	phlSP-25	TRUE	compl
15	1	5	5	6	ao	0	O-CTH	phlSP-25		O-CTH	phlSP-9	TRUE	compl
15	1	5	6	8	ao	1	O-CTH	phlSP-9	D-F	O-CTH	phlSP-25	TRUE	compl
15	1	5	8	8	an	-1	O-CTH	phlSP-25		NA	phlSP-25	TRUE	taway
16	2	5	9	10	ao	0	O-PU	nykRM-6		O-CTH	nykRM-38	TRUE	compl
16	2	5	10	11	ao	0	O-CTH	nykRM-38		O-CTH	nykRM-13	TRUE	compl
16	2	5	11	12	ao	0	O-CTH	nykRM-13		O-CTH	nykRM-10	TRUE	compl
16	2	5	12	13	ao	0	O-CTH	nykRM-10		O-CTH	nykRM-21	TRUE	compl
16	2	5	13	15	ao	1	O-CTH	nykRM-21	D-F	O-G	nykRM-3	TRUE	compl
17	1	6	2	3	ao	0	O-PU	phlSP-2		D-D	nykRM-3	TRUE	defd
18	2	6	4	5	ao	0	O-PU	nykRM-6		O-CTH	nykRM-5	TRUE	compl
18	2	6	5	6	ao	0	O-CTH	nykRM-5		O-CTH	nykRM-10	TRUE	compl
18	2	6	6	7	ao	0	O-CTH	nykRM-10		O-CTH	nykRM-5	TRUE	compl
18	2	6	7	8	ao	0	O-CTH	nykRM-5		O-CTH	nykRM-10	TRUE	compl
18	2	6	8	9	ao	0	O-CTH	nykRM-10		O-CTH	nykRM-5	TRUE	compl
18	2	6	9	10	ao	0	O-CTH	nykRM-5		O-CTH	nykRM-47	TRUE	compl
18	2	6	10	11	ao	0	O-CTH	nykRM-47		O-CTH	nykRM-15	TRUE	compl
18	2	6	11	12	ao	0	O-CTH	nykRM-15		O-G	nykRM-6	TRUE	compl
19	1	7	2	3	ao	0	O-PU	phlSP-25		O-CTH	phlSP-20	TRUE	compl
19	1	7	3	4	ao	0	O-CTH	phlSP-20		O-CTH	phlSP-25	TRUE	compl
19	1	7	4	5	ao	0	O-CTH	phlSP-25		O-CTH	phlSP-20	TRUE	compl
19	1	7	5	6	ao	0	O-CTH	phlSP-20		O-CTH	phlSP-25	TRUE	compl
19	1	7	6	7	ao	0	O-CTH	phlSP-25		O-CTH	phlSP-20	TRUE	compl
19	1	7	7	7	an	-1	O-CTH	phlSP-20		NA	phlSP-20	TRUE	taway
20	1	8	2	3	ao	0	O-PU	nykRM-4		O-CTH	nykRM-6	TRUE	compl
20	1	8	3	4	ao	0	O-CTH	nykRM-6		O-CTH	nykRM-10	TRUE	compl
20	1	8	4	5	ao	0	O-CTH	nykRM-10		O-CTH	nykRM-2	TRUE	compl
20	1	8	5	6	ao	0	O-CTH	nykRM-2		O-CTH	nykRM-4	TRUE	compl
20	1	8	6	7	ao	0	O-CTH	nykRM-4		O-CTH	nykRM-10	TRUE	compl
20	1	8	7	8	ao	0	O-CTH	nykRM-10		O-G	nykRM-22	TRUE	compl
21	1	9	2	3	ao	0	O-PU	phlSP-25		O-CTH	phlSP-20	TRUE	compl
21	1	9	3	4	ao	0	O-CTH	phlSP-20		O-CTH	phlSP-25	TRUE	compl
21	1	9	4	5	ao	0	O-CTH	phlSP-25		O-CTH	phlSP-7	TRUE	compl
21	1	9	5	6	ao	0	O-CTH	phlSP-7		O-CTH	phlSP-9	TRUE	compl
21	1	9	6	7	ao	0	O-CTH	phlSP-9		O-CTH	phlSP-7	TRUE	compl
21	1	9	7	7	an	-1	O-CTH	phlSP-7		NA	phlSP-7	TRUE	taway
22	2	9	8	9	ao	0	O-PU	nykRM-38		O-CTH	nykRM-27	TRUE	compl
22	2	9	9	10	ao	0	O-CTH	nykRM-27		O-CTH	nykRM-38	TRUE	compl
22	2	9	10	11	ao	0	O-CTH	nykRM-38		O-G	nykRM-3	TRUE	compl
23	1	10	2	3	ao	0	O-PU	phlSP-2		O-CTH	phlSP-21	TRUE	compl
23	1	10	3	4	ao	0	O-CTH	phlSP-21		O-CTH	phlSP-71	TRUE	compl
23	1	10	4	5	ao	0	O-CTH	phlSP-71		D-D	nykRM-45	TRUE	defd
24	2	10	6	7	ao	0	O-PU	nykRM-6		O-CTH	nykRM-5	TRUE	compl
24	2	10	7	8	ao	0	O-CTH	nykRM-5		O-CTH	nykRM-3	TRUE	compl
24	2	10	8	8	an	-1	O-CTH	nykRM-3		NA	nykRM-3	TRUE	taway
25	3	10	9	10	ao	0	O-PU	phlSP-71		O-CTH	phlSP-64	TRUE	compl
25	3	10	10	11	ao	0	O-CTH	phlSP-64		O-G	phlSP-21	TRUE	compl
26	1	11	2	3	ao	0	O-PU	nykRM-4		O-CTH	nykRM-19	TRUE	compl
26	1	11	3	4	ao	0	O-CTH	nykRM-19		O-CTH	nykRM-14	TRUE	compl
26	1	11	4	5	ao	0	O-CTH	nykRM-14		O-CTH	nykRM-22	TRUE	compl
26	1	11	5	6	ao	0	O-CTH	nykRM-22		O-CTH	nykRM-14	TRUE	compl
26	1	11	6	7	ao	0	O-CTH	nykRM-14		O-CTH	nykRM-10	TRUE	compl
26	1	11	7	8	ao	0	O-CTH	nykRM-10		O-CTH	nykRM-14	TRUE	compl
26	1	11	8	9	ao	0	O-CTH	nykRM-14		O-CTH	nykRM-10	TRUE	compl
26	1	11	9	10	ao	0	O-CTH	nykRM-10		D-D	phlSP-10	TRUE	defd
27	2	11	11	12	ao	0	O-PU	phlSP-2		O-CTH	phlSP-28	TRUE	compl
27	2	11	12	13	ao	0	O-CTH	phlSP-28		O-CTH	phlSP-33	TRUE	compl
27	2	11	13	14	ao	0	O-CTH	phlSP-33		O-CTH	phlSP-12	TRUE	compl
27	2	11	14	15	ao	0	O-CTH	phlSP-12		O-CTH	phlSP-22	TRUE	compl
27	2	11	15	16	ao	0	O-CTH	phlSP-22		O-CTH	phlSP-33	TRUE	compl
27	2	11	16	17	ao	0	O-CTH	phlSP-33		O-CTH	phlSP-31	TRUE	compl
27	2	11	17	18	ao	0	O-CTH	phlSP-31		O-CTH	phlSP-33	TRUE	compl
27	2	11	18	19	ao	0	O-CTH	phlSP-33		O-CTH	phlSP-2	TRUE	compl
27	2	11	19	20	ao	0	O-CTH	phlSP-2		O-CTH	phlSP-22	TRUE	compl
27	2	11	20	21	ao	0	O-CTH	phlSP-22		O-CTH	phlSP-31	TRUE	compl
27	2	11	21	22	ao	0	O-CTH	phlSP-31		O-CTH	phlSP-28	TRUE	compl
27	2	11	22	23	ao	0	O-CTH	phlSP-28		O-CTH	phlSP-12	TRUE	compl
27	2	11	23	24	ao	0	O-CTH	phlSP-12		O-CTH	phlSP-28	TRUE	compl
27	2	11	24	25	ao	0	O-CTH	phlSP-28		D-D	nykRM-14	TRUE	defd
28	3	11	26	27	ao	0	O-CTH	nykRM-14		O-CTH	nykRM-22	TRUE	compl
28	3	11	27	28	ao	0	O-CTH	nykRM-22		O-CTH	nykRM-10	TRUE	compl
28	3	11	28	29	ao	0	O-CTH	nykRM-10		O-CTH	nykRM-2	TRUE	compl
28	3	11	29	29	an	-1	O-CTH	nykRM-2		NA	nykRM-2	TRUE	taway
29	4	11	30	31	ao	0	O-PU	phlSP-33		O-CTH	phlSP-12	TRUE	compl
29	4	11	31	32	ao	0	O-CTH	phlSP-12		O-CTH	phlSP-28	TRUE	compl
29	4	11	32	33	ao	0	O-CTH	phlSP-28		O-CTH	phlSP-2	TRUE	compl
29	4	11	33	34	ao	0	O-CTH	phlSP-2		O-TD	phlSP-10	TRUE	drop
30	5	11	36	37	ao	0	O-PU	nykRM-6		O-CTH	nykRM-4	TRUE	compl
30	5	11	37	38	ao	0	O-CTH	nykRM-4		O-CTH	nykRM-22	TRUE	compl
30	5	11	38	39	ao	0	O-CTH	nykRM-22		O-CTH	nykRM-4	TRUE	compl
30	5	11	39	40	ao	0	O-CTH	nykRM-4		O-CTH	nykRM-14	TRUE	compl
30	5	11	40	41	ao	0	O-CTH	nykRM-14		O-CTH	nykRM-41	TRUE	compl
30	5	11	41	42	ao	0	O-CTH	nykRM-41		O-CTH	nykRM-1	TRUE	compl
30	5	11	42	43	ao	0	O-CTH	nykRM-1		O-OV	nykRM-6	TRUE	compl
31	6	11	44	45	ao	0	O-PU	phlSP-21		O-TD	phlSP-16	TRUE	drop
32	7	11	46	48	ao	1	O-PU	nykRM-4	D-F	O-CTH	nykRM-41	TRUE	compl
32	7	11	48	49	ao	0	O-CTH	nykRM-41		O-CTH	nykRM-6	TRUE	compl
32	7	11	49	50	ao	0	O-CTH	nykRM-6		O-CTH	nykRM-14	TRUE	compl
32	7	11	50	51	ao	0	O-CTH	nykRM-14		O-CTH	nykRM-41	TRUE	compl
32	7	11	51	52	ao	0	O-CTH	nykRM-41		O-CTH	nykRM-2	TRUE	compl
32	7	11	52	53	ao	0	O-CTH	nykRM-2		O-CTH	nykRM-4	TRUE	compl
32	7	11	53	54	ao	0	O-CTH	nykRM-4		O-G	nykRM-2	TRUE	compl
33	1	12	2	3	ao	0	O-PU	phlSP-7		O-CTH	phlSP-20	TRUE	compl
33	1	12	3	4	ao	0	O-CTH	phlSP-20		O-CTH	phlSP-7	TRUE	compl
33	1	12	4	5	ao	0	O-CTH	phlSP-7		O-CTH	phlSP-27	TRUE	compl
33	1	12	5	6	ao	0	O-CTH	phlSP-27		O-CTH	phlSP-7	TRUE	compl
33	1	12	6	7	ao	0	O-CTH	phlSP-7		O-CTH	phlSP-20	TRUE	compl
33	1	12	7	8	ao	0	O-CTH	phlSP-20		D-D	nykRM-27	TRUE	defd
34	2	12	9	10	ao	0	O-PU	nykRM-47		O-CTH	nykRM-38	TRUE	compl
34	2	12	10	11	ao	0	O-CTH	nykRM-38		O-CTH	nykRM-21	TRUE	compl
34	2	12	11	12	ao	0	O-CTH	nykRM-21		O-CTH	nykRM-47	TRUE	compl
34	2	12	12	13	ao	0	O-CTH	nykRM-47		O-CTH	nykRM-27	TRUE	compl
34	2	12	13	13	an	-1	O-CTH	nykRM-27		NA	nykRM-27	TRUE	taway
35	3	12	14	15	ao	0	O-PU	phlSP-7		O-CTH	phlSP-27	TRUE	compl
35	3	12	15	16	ao	0	O-CTH	phlSP-27		O-CTH	phlSP-1	TRUE	compl
35	3	12	16	17	ao	0	O-CTH	phlSP-1		O-CTH	phlSP-12	TRUE	compl
35	3	12	17	18	ao	0	O-CTH	phlSP-12		O-CTH	phlSP-20	TRUE	compl
35	3	12	18	19	ao	0	O-CTH	phlSP-20		O-CTH	phlSP-7	TRUE	compl
35	3	12	19	20	ao	0	O-CTH	phlSP-7		O-CTH	phlSP-20	TRUE	compl
35	3	12	20	21	ao	0	O-CTH	phlSP-20		O-CTH	phlSP-7	TRUE	compl
