desc	n_inn	Freq
ao	-1	0
an	-1	17
aa	-1	0
ao	0	479
an	0	0
aa	0	0
ao	1	9
an	1	0
aa	1	1
ao	2	0
an	2	0
aa	2	1
ao	5	0
an	5	0
aa	5	1
