point	Pulling.team	Period	Clock.before.point	Clock.after.point
1	Boston Whitecaps	1	10:00:00	6:19:00
2	Washington DC Current	1	6:19:00	5:28:00
3	Washington DC Current	1	5:28:00	4:42:00
4	Boston Whitecaps	1	4:42:00	4:02:00
5	Washington DC Current	1	4:02:00	3:32:00
6	Boston Whitecaps	1	3:32:00	2:33:00
7	Washington DC Current	1	2:33:00	1:33:00
8	Boston Whitecaps	1	1:33:00	0:03:00
9	Boston Whitecaps	1	0:03:00	0:00:00
10	Washington DC Current	2	10:00:00	9:09:00
11	Boston Whitecaps	2	9:09:00	8:43:00
12	Boston Whitecaps	2	8:43:00	8:01:00
13	Washington DC Current	2	8:01:00	6:28:00
14	Washington DC Current	2	6:28:00	4:01:00
15	Boston Whitecaps	2	4:01:00	3:02:00
16	Boston Whitecaps	2	3:02:00	2:36:00
17	Washington DC Current	2	2:36:00	0:41:00
18	Boston Whitecaps	2	0:41:00	0:07:00
19	Boston Whitecaps	2	0:07:00	0:00:00
20	Boston Whitecaps	3	10:00:00	9:39:00
21	Washington DC Current	3	9:39:00	8:09:00
22	Boston Whitecaps	3	8:09:00	7:27:00
23	Washington DC Current	3	7:27:00	6:25:00
24	Washington DC Current	3	6:25:00	4:07:00
25	Boston Whitecaps	3	4:07:00	3:52:00
26	Washington DC Current	3	3:52:00	2:34:00
27	Washington DC Current	3	2:34:00	1:57:00
28	Boston Whitecaps	3	1:57:00	1:06:00
29	Washington DC Current	3	1:06:00	0:21:00
30	Boston Whitecaps	3	0:21:00	0:00:00
31	Washington DC Current	4	10:00:00	8:28:00
32	Washington DC Current	4	8:28:00	7:56:00
33	Washington DC Current	4	7:56:00	5:36:00
34	Washington DC Current	4	5:36:00	4:52:00
35	Boston Whitecaps	4	4:52:00	3:41:00
36	Washington DC Current	4	3:41:00	3:19:00
37	Boston Whitecaps	4	3:19:00	0:57:00
38	Boston Whitecaps	4	0:57:00	0:31:00
39	Washington DC Current	4	0:31:00	0:00:00
