Pulling team: Vancouver Nighthawks
Period: 1
Clock before point: 7:36:00
Clock after point: 1:43:00
Offense	Defense
	33P
11pu	
7	
73	
7	
6	
7	
16	
7	
8	
11	
8	
7	
8	
16	
8	
11	
88	
	13d
	45PU
	13
	37
7PU	
11	
6	
11	
7	
	33PU
	31
	45
	TO
	89PU
	22
	21
	98
	89
	19
	89
	5
17D	
21pu	
16	
	19pu
	98
	89
	12
	5
88d	
88	
8	
88	
5l	
	89d
	89
	98
	19
	21f
88pu	
21	
88	
8	
22	
8	
	19d
	19PU
	89
	22
	72
	22
	98
	22
	5
	72
	22G
