Pulling team: Portland Stags
Period: 1
Clock before point: 10:00:00
Clock after point: 4:39:00
Offense	Defense
	6P
11PU	
5	
3	
5	
88	
8	
3	
6	
88	
8	
88	
11	
6	
88	
6	
88	
3	
88	
6	
88	
8	
3	
6	
11	
5	
57	
	22PU
	9
8HB	
5PU	
8	
6	
88	
8	
	6D
	22PU
	8
	6
	15
	9
	22
	15
	6
	15
	8
	17
	15
	4
	15
88to	
16pu	
46	
85	
12	
	12d
	21PU
	7
	21
	22
	88
	7
	20
	22
	7
	22
	21
	22
	7
	3
	12G
