point	period	clk_before	clk_after	pull_team	n_poss	scor_team	h_or_b	seaRM	vanNH	pt_dur	pt_dur_txt
1	1	10:00:00	9:26:00	seaRM	1	vanNH	hold	0	1	34	00:34
2	1	9:26:00	8:48:00	vanNH	1	seaRM	hold	1	1	38	00:38
3	1	8:48:00	7:47:00	seaRM	1	vanNH	hold	1	2	61	01:01
4	1	7:47:00	6:54:00	vanNH	2	vanNH	break	1	3	53	00:53
5	1	6:54:00	6:38:00	vanNH	1	seaRM	hold	2	3	16	00:16
6	1	6:38:00	5:53:00	seaRM	1	vanNH	hold	2	4	45	00:45
7	1	5:53:00	5:32:00	vanNH	2	vanNH	break	2	5	21	00:21
8	1	5:32:00	2:07:00	vanNH	7	seaRM	hold	3	5	205	03:25
9	1	2:07:00	1:51:00	seaRM	2	seaRM	break	4	5	16	00:16
10	1	1:51:00	1:04:00	seaRM	2	seaRM	break	5	5	47	00:47
11	1	1:04:00	0:27:00	seaRM	1	vanNH	hold	5	6	37	00:37
12	1	0:27:00	0:00:00	vanNH	NA	NA	NA	5	6	27	00:27
13	2	10:00:00	9:08:00	vanNH	1	seaRM	hold	6	6	52	00:52
14	2	9:08:00	8:48:00	seaRM	1	vanNH	hold	6	7	20	00:20
15	2	8:48:00	8:21:00	vanNH	1	seaRM	hold	7	7	27	00:27
16	2	8:21:00	7:07:00	vanNH	4	vanNH	break	7	8	74	01:14
17	2	7:07:00	6:36:00	vanNH	1	seaRM	hold	8	8	31	00:31
18	2	6:36:00	6:19:00	seaRM	1	vanNH	hold	8	9	17	00:17
19	2	6:19:00	5:40:00	vanNH	1	seaRM	hold	9	9	39	00:39
20	2	5:40:00	5:11:00	seaRM	1	vanNH	hold	9	10	29	00:29
21	2	5:11:00	4:28:00	vanNH	1	seaRM	hold	10	10	43	00:43
22	2	4:28:00	2:53:00	seaRM	3	vanNH	hold	10	11	95	01:35
23	2	2:53:00	2:19:00	vanNH	2	vanNH	break	10	12	34	00:34
24	2	2:19:00	1:39:00	vanNH	1	seaRM	hold	11	12	40	00:40
25	2	1:39:00	0:50:00	seaRM	2	seaRM	break	12	12	49	00:49
26	2	0:50:00	0:25:00	seaRM	1	vanNH	hold	12	13	25	00:25
27	2	0:25:00	0:00:00	vanNH	NA	NA	NA	12	13	25	00:25
28	3	10:00:00	9:25:00	seaRM	1	vanNH	hold	12	14	35	00:35
29	3	9:25:00	8:35:00	vanNH	2	vanNH	break	12	15	50	00:50
30	3	8:35:00	8:19:00	vanNH	1	seaRM	hold	13	15	16	00:16
31	3	8:19:00	7:50:00	seaRM	1	vanNH	hold	13	16	29	00:29
32	3	7:50:00	7:16:00	vanNH	1	seaRM	hold	14	16	34	00:34
33	3	7:16:00	7:02:00	seaRM	1	vanNH	hold	14	17	14	00:14
34	3	7:02:00	6:48:00	vanNH	1	seaRM	hold	15	17	14	00:14
35	3	6:48:00	5:49:00	seaRM	2	seaRM	break	16	17	59	00:59
36	3	5:49:00	5:18:00	seaRM	1	vanNH	hold	16	18	31	00:31
37	3	5:18:00	4:50:00	vanNH	1	seaRM	hold	17	18	28	00:28
38	3	4:50:00	4:28:00	seaRM	2	seaRM	break	18	18	22	00:22
39	3	4:28:00	3:03:00	seaRM	4	seaRM	break	19	18	85	01:25
40	3	3:03:00	1:13:00	seaRM	3	vanNH	hold	19	19	110	01:50
41	3	1:13:00	1:03:00	vanNH	1	seaRM	hold	20	19	10	00:10
42	3	1:03:00	0:21:00	seaRM	1	vanNH	hold	20	20	42	00:42
43	3	0:21:00	0:00:00	vanNH	NA	NA	NA	20	20	21	00:21
44	4	10:00:00	9:35:00	vanNH	2	vanNH	break	20	21	25	00:25
45	4	9:35:00	8:37:00	vanNH	1	seaRM	hold	21	21	58	00:58
46	4	8:37:00	7:23:00	seaRM	4	seaRM	break	22	21	74	01:14
47	4	7:23:00	7:04:00	seaRM	1	vanNH	hold	22	22	19	00:19
48	4	7:04:00	6:06:00	vanNH	1	seaRM	hold	23	22	58	00:58
49	4	6:06:00	5:43:00	seaRM	1	vanNH	hold	23	23	23	00:23
50	4	5:43:00	4:38:00	vanNH	3	seaRM	hold	24	23	65	01:05
51	4	4:38:00	3:56:00	seaRM	1	vanNH	hold	24	24	42	00:42
52	4	3:56:00	2:51:00	vanNH	3	seaRM	hold	25	24	65	01:05
53	4	2:51:00	2:29:00	seaRM	2	seaRM	break	26	24	22	00:22
54	4	2:29:00	1:48:00	seaRM	1	vanNH	hold	26	25	41	00:41
55	4	1:48:00	1:36:00	vanNH	2	vanNH	break	26	26	12	00:12
56	4	1:36:00	1:10:00	vanNH	1	seaRM	hold	27	26	26	00:26
57	4	1:10:00	0:52:00	seaRM	1	vanNH	hold	27	27	18	00:18
58	4	0:52:00	0:18:00	vanNH	1	seaRM	hold	28	27	34	00:34
59	4	0:18:00	0:00:00	seaRM	NA	NA	NA	28	27	18	00:18
