point	period	clk_before	clk_after	pull_team	n_poss	scor_team	h_or_b	seaRM	sfoDF	pt_dur	pt_dur_txt
1	1	10:00:00	NA	sfoDF	1	seaRM	hold	1	0	NA	???
2	1	NA	NA	seaRM	2	seaRM	break	2	0	NA	???
3	1	NA	NA	seaRM	1	sfoDF	hold	2	1	NA	???
4	1	NA	NA	sfoDF	3	seaRM	hold	3	1	NA	???
5	1	NA	NA	seaRM	3	sfoDF	hold	3	2	NA	???
6	1	NA	NA	sfoDF	4	sfoDF	break	3	3	NA	???
7	1	NA	NA	sfoDF	1	seaRM	hold	4	3	NA	???
8	1	NA	NA	seaRM	1	sfoDF	hold	4	4	NA	???
9	1	NA	NA	sfoDF	5	seaRM	hold	5	4	NA	???
10	1	NA	NA	seaRM	2	seaRM	break	6	4	NA	???
11	1	NA	NA	seaRM	NA	NA	NA	6	4	NA	???
12	2	10:00:00	NA	sfoDF	2	sfoDF	break	6	5	NA	???
13	2	NA	NA	sfoDF	3	seaRM	hold	7	5	NA	???
14	2	NA	NA	seaRM	1	sfoDF	hold	7	6	NA	???
15	2	NA	NA	sfoDF	4	sfoDF	break	7	7	NA	???
16	2	NA	NA	sfoDF	4	sfoDF	break	7	8	NA	???
17	2	NA	NA	sfoDF	3	seaRM	hold	8	8	NA	???
18	2	NA	NA	seaRM	5	sfoDF	hold	8	9	NA	???
19	2	NA	NA	sfoDF	1	seaRM	hold	9	9	NA	???
20	2	NA	NA	seaRM	3	sfoDF	hold	9	10	NA	???
21	2	NA	NA	sfoDF	3	seaRM	hold	10	10	NA	???
22	2	NA	NA	seaRM	NA	NA	NA	10	10	NA	???
23	3	10:00:00	NA	sfoDF	4	sfoDF	break	10	11	NA	???
24	3	NA	NA	sfoDF	1	seaRM	hold	11	11	NA	???
25	3	NA	NA	seaRM	2	seaRM	break	12	11	NA	???
26	3	NA	NA	seaRM	2	seaRM	break	13	11	NA	???
27	3	NA	NA	seaRM	2	seaRM	break	14	11	NA	???
28	3	NA	NA	seaRM	1	sfoDF	hold	14	12	NA	???
29	3	NA	NA	sfoDF	6	sfoDF	break	14	13	NA	???
30	3	NA	NA	sfoDF	1	seaRM	hold	15	13	NA	???
31	3	NA	NA	seaRM	3	sfoDF	hold	15	14	NA	???
32	3	NA	NA	sfoDF	2	sfoDF	break	15	15	NA	???
33	3	NA	NA	sfoDF	2	sfoDF	break	15	16	NA	???
34	3	NA	NA	sfoDF	NA	NA	NA	15	16	NA	???
35	4	NA	NA	sfoDF	7	seaRM	hold	16	16	NA	???
36	4	NA	NA	seaRM	7	sfoDF	hold	16	17	NA	???
37	4	NA	NA	sfoDF	4	sfoDF	break	16	18	NA	???
38	4	NA	NA	sfoDF	NA	NA	NA	16	18	NA	???
