desc	n_inn	Freq
ao	-1	0
aa	-1	0
an	-1	14
ao	0	490
aa	0	0
an	0	2
ao	1	11
aa	1	0
an	1	0
ao	2	0
aa	2	1
an	2	0
ao	3	1
aa	3	0
an	3	0
