point	period	clk_before	clk_after	pull_team	n_poss	scor_team	h_or_b	seaRM	vanNH	pt_dur	pt_dur_txt
1	1	10:00:00	8:44:00	vanNH	1	seaRM	hold	1	0	76	01:16
2	1	8:44:00	7:51:00	seaRM	2	seaRM	break	2	0	53	00:53
3	1	7:51:00	7:12:00	seaRM	1	vanNH	hold	2	1	39	00:39
4	1	7:12:00	6:53:00	vanNH	1	seaRM	hold	3	1	19	00:19
5	1	6:53:00	5:43:00	seaRM	3	vanNH	hold	3	2	70	01:10
6	1	5:43:00	5:37:00	vanNH	1	seaRM	hold	4	2	6	00:06
7	1	5:37:00	5:04:00	seaRM	2	seaRM	break	5	2	33	00:33
8	1	5:04:00	3:31:00	seaRM	3	vanNH	hold	5	3	93	01:33
9	1	3:31:00	3:12:00	vanNH	1	seaRM	hold	6	3	19	00:19
10	1	3:12:00	1:49:00	seaRM	4	seaRM	break	7	3	83	01:23
11	1	1:49:00	0:00:00	seaRM	NA	NA	NA	7	3	109	01:49
12	2	10:00:00	8:56:00	seaRM	3	vanNH	hold	7	4	64	01:04
13	2	8:56:00	8:32:00	vanNH	1	seaRM	hold	8	4	24	00:24
14	2	8:32:00	7:57:00	seaRM	1	vanNH	hold	8	5	35	00:35
15	2	7:57:00	7:35:00	vanNH	1	seaRM	hold	9	5	22	00:22
16	2	7:35:00	6:27:00	seaRM	1	vanNH	hold	9	6	68	01:08
17	2	6:27:00	5:59:00	vanNH	3	seaRM	hold	10	6	28	00:28
18	2	5:59:00	5:31:00	seaRM	2	seaRM	break	11	6	28	00:28
19	2	5:31:00	4:29:00	seaRM	2	seaRM	break	12	6	62	01:02
20	2	4:29:00	4:12:00	seaRM	1	vanNH	hold	12	7	17	00:17
21	2	4:12:00	3:53:00	vanNH	1	seaRM	hold	13	7	19	00:19
22	2	3:53:00	3:28:00	seaRM	1	vanNH	hold	13	8	25	00:25
23	2	3:28:00	2:38:00	vanNH	1	seaRM	hold	14	8	50	00:50
24	2	2:38:00	2:14:00	seaRM	2	seaRM	break	15	8	24	00:24
25	2	2:14:00	1:27:00	seaRM	2	seaRM	break	16	8	47	00:47
26	2	1:27:00	0:00:00	seaRM	NA	NA	NA	16	8	87	01:27
27	3	10:00:00	9:16:00	vanNH	1	seaRM	hold	17	8	44	00:44
28	3	9:16:00	8:43:00	seaRM	1	vanNH	hold	17	9	33	00:33
29	3	8:43:00	7:53:00	vanNH	4	vanNH	break	17	10	50	00:50
30	3	7:53:00	7:29:00	vanNH	1	seaRM	hold	18	10	24	00:24
31	3	7:29:00	5:29:00	seaRM	4	seaRM	break	19	10	120	02:00
32	3	5:29:00	3:04:00	seaRM	4	seaRM	break	20	10	145	02:25
33	3	3:04:00	2:39:00	seaRM	1	vanNH	hold	20	11	25	00:25
34	3	2:39:00	2:27:00	vanNH	2	vanNH	break	20	12	12	00:12
35	3	2:27:00	1:19:00	vanNH	1	seaRM	hold	21	12	68	01:08
36	3	1:19:00	0:57:00	seaRM	1	vanNH	hold	21	13	22	00:22
37	3	0:57:00	0:23:00	vanNH	2	vanNH	break	21	14	34	00:34
38	3	0:23:00	0:00:00	vanNH	NA	NA	NA	21	14	23	00:23
39	4	10:00:00	9:01:00	seaRM	1	vanNH	hold	21	15	59	00:59
40	4	9:01:00	8:37:00	vanNH	1	seaRM	hold	22	15	24	00:24
41	4	8:37:00	8:37:00	seaRM	2	seaRM	break	23	15	0	00:00
42	4	8:37:00	5:37:00	seaRM	4	seaRM	break	24	15	180	03:00
43	4	5:37:00	4:57:00	seaRM	1	vanNH	hold	24	16	40	00:40
44	4	4:57:00	4:39:00	vanNH	1	seaRM	hold	25	16	18	00:18
45	4	4:39:00	4:08:00	seaRM	1	vanNH	hold	25	17	31	00:31
46	4	4:08:00	3:25:00	vanNH	2	vanNH	break	25	18	43	00:43
47	4	3:25:00	1:53:00	vanNH	3	seaRM	hold	26	18	92	01:32
48	4	1:53:00	0:00:00	seaRM	NA	NA	NA	26	18	113	01:53
