period	point	event	pl_team	pl_pnum	pl_code
1	1	1	seaRM	18	P
1	1	2	vanNH	19	PU
1	1	3	vanNH	89	
1	1	4	vanNH	21	
1	1	5	vanNH	89	
1	1	6	vanNH	91	
1	1	7	vanNH	89	
1	1	8	vanNH	21	
1	1	9	vanNH	98	
1	1	10	vanNH	91	A
1	1	11	vanNH	10	LG
1	2	1	vanNH	8	OBP
1	2	2	seaRM	1	PU
1	2	3	seaRM	6	A
1	2	4	seaRM	8	LG
1	3	1	seaRM	18	P
1	3	2	vanNH	19	PU
1	3	3	vanNH	91	
1	3	4	vanNH	19	
1	3	5	vanNH	22	
1	3	6	seaRM	18	D
1	3	7	seaRM	29	
1	3	8	seaRM	21	
1	3	9	seaRM	29	
1	3	10	seaRM	21	
1	3	11	seaRM	2	A
1	3	12	vanNH	89	F
1	3	13	seaRM	12	G
1	4	1	seaRM	24	P
1	4	2	vanNH	19	PU
1	4	3	vanNH	89	
1	4	4	vanNH	21	
1	4	5	vanNH	91	A
1	4	6	vanNH	72	LG
1	5	1	vanNH	8	P
1	5	2	seaRM	0	PU
1	5	3	seaRM	1	
1	5	4	seaRM	6	
1	5	5	seaRM	0	
1	5	6	seaRM	17	
1	5	7	seaRM	14	
1	5	8	seaRM	0	
1	5	9	seaRM	17	
1	5	10	seaRM	6	L
1	5	11	seaRM	8	
1	5	12	seaRM	6	A
1	5	13	seaRM	1	G
1	6	1	seaRM	18	P
1	6	2	vanNH	89	PU
1	6	3	vanNH	91	
1	6	4	vanNH	98	
1	6	5	vanNH	22	A
1	6	6	vanNH	10	LG
1	7	1	vanNH	8	P
1	7	2	seaRM	0	PU
1	7	3	seaRM	20	
1	7	4	seaRM	48	
1	7	5	seaRM	20	
1	7	6	seaRM	0	
1	7	7	seaRM	1	
1	7	8	seaRM	20	
1	7	9	seaRM	1	
1	7	10	seaRM	0	
1	7	11	seaRM	17	
1	7	12	seaRM	0	
1	7	13	seaRM	6	
1	7	14	seaRM	48	TD
1	7	15	vanNH	24	PU
1	7	16	vanNH	8	
1	7	17	vanNH	27	
1	7	18	vanNH	11	
1	7	19	vanNH	8	
1	7	20	vanNH	4	
1	7	21	vanNH	45	
1	7	22	vanNH	27	
1	7	23	vanNH	45	
1	7	24	vanNH	8	A
1	7	25	vanNH	11	G
1	8	1	vanNH	37	P
1	8	2	seaRM	0	PU
1	8	3	seaRM	1	
1	8	4	seaRM	14	
1	8	5	seaRM	0	
1	8	6	seaRM	17	
1	8	7	seaRM	8	
1	8	8	vanNH	75	PU
1	8	9	vanNH	37	
1	8	10	vanNH	24	
1	8	11	seaRM	17	PU
1	8	12	seaRM	14	
1	8	13	vanNH	24	PUA
1	8	14	vanNH	37	G
1	9	1	vanNH	8	P
1	9	2	seaRM	0	PU
1	9	3	seaRM	17	
1	9	4	seaRM	0	
1	9	5	seaRM	6	
1	9	6	seaRM	0	
1	9	7	seaRM	6	
1	9	8	seaRM	20	
1	9	9	seaRM	17	
1	9	10	seaRM	0	
1	9	11	seaRM	48	A
1	9	12	seaRM	20	G
1	10	1	seaRM	18	OBP
1	10	2	vanNH	91	PU
1	10	3	vanNH	19	
1	10	4	vanNH	19	F
1	10	5	vanNH	89	
1	10	6	vanNH	19	
1	10	7	vanNH	91	
1	10	8	vanNH	19	
1	10	9	vanNH	21	
1	10	10	vanNH	22	
1	10	11	vanNH	89	
1	10	12	vanNH	91	
1	10	13	seaRM	18	D
1	10	14	seaRM	23	PU
1	10	15	seaRM	15	
1	10	16	seaRM	29	
1	10	17	seaRM	18	
1	10	18	seaRM	2	L
1	10	19	seaRM	29	A
1	10	20	seaRM	18	G
1	11	1	seaRM	24	P
1	11	2	vanNH	19	PU
1	11	3	vanNH	91	
1	11	4	vanNH	22	
1	11	5	vanNH	89	
1	11	6	vanNH	21	
1	11	7	vanNH	10	
1	11	8	vanNH	89	LA
1	11	9	vanNH	98	G
1	12	1	vanNH	8	OBP
1	12	2	seaRM	20	PU
1	12	3	seaRM	0	
1	12	4	seaRM	8	
1	12	5	seaRM	20	
1	12	6	seaRM	0	
1	12	7	seaRM	20	A
1	12	8	seaRM	9	LG
1	13	1	seaRM	18	P
1	13	2	vanNH	89	PU
1	13	3	vanNH	19	
1	13	4	vanNH	21	TD
1	13	5	seaRM	29	PU
1	13	6	vanNH	91	PU
1	13	7	vanNH	89	
1	13	8	vanNH	19	
1	13	9	vanNH	21	
1	13	10	vanNH	98	
1	13	11	vanNH	22	
1	13	12	vanNH	89	
1	13	13	vanNH	19	
1	13	14	vanNH	89	
1	13	15	vanNH	91	A
1	13	16	vanNH	19	G
1	14	1	vanNH	8	P
1	14	2	seaRM	14	PU
1	14	3	seaRM	1	
1	14	4	seaRM	6	
1	14	5	vanNH	8	D
2	15	1	vanNH	8	P
2	15	2	seaRM	0	PU
2	15	3	seaRM	1	
2	15	4	seaRM	9	
2	15	5	seaRM	1	
2	15	6	seaRM	20	
2	15	7	seaRM	0	
2	15	8	seaRM	9	
2	15	9	seaRM	6	
2	15	10	seaRM	1	LA
2	15	11	seaRM	0	G
2	16	1	seaRM	29	P
2	16	2	vanNH	89	PU
2	16	3	vanNH	91	
2	16	4	vanNH	10	
2	16	5	seaRM	29	PU
2	16	6	seaRM	21	
2	16	7	seaRM	29	
2	16	8	seaRM	21	
2	16	9	seaRM	24	
2	16	10	vanNH	21	F
2	16	11	seaRM	29	A
2	16	12	seaRM	23	G
2	17	1	seaRM	29	P
2	17	2	vanNH	91	PU
2	17	3	vanNH	98	
2	17	4	vanNH	91	
2	17	5	vanNH	19	
2	17	6	vanNH	89	
2	17	7	seaRM	29	PU
2	17	8	seaRM	12	
2	17	9	seaRM	15	
2	17	10	seaRM	23	
2	17	11	seaRM	77	
2	17	12	seaRM	29	
2	17	13	seaRM	2	L
2	17	14	seaRM	18	A
2	17	15	seaRM	29	G
2	18	1	seaRM	24	P
2	18	2	vanNH	89	PU
2	18	3	vanNH	91	
