game	player	points	goals	assists	Ds
2014-05-17_seaRM-at-pdxST	pdxST-6-Bjorklund	9	4	5	1
2014-05-17_seaRM-at-pdxST	pdxST-7-Friedman	6	4	2	1
2014-05-17_seaRM-at-pdxST	pdxST-16-Burton	5	2	3	0
2014-05-17_seaRM-at-pdxST	pdxST-2-Allison-Hall	4	4	0	0
2014-05-17_seaRM-at-pdxST	pdxST-88-Suppnick	4	0	4	1
2014-05-17_seaRM-at-pdxST	pdxST-24-Norden	4	0	4	0
2014-05-17_seaRM-at-pdxST	pdxST-10-Strout	3	2	1	1
2014-05-17_seaRM-at-pdxST	pdxST-17-Hayes	3	2	1	0
2014-05-17_seaRM-at-pdxST	pdxST-8-Davis	2	1	1	1
2014-05-17_seaRM-at-pdxST	pdxST-11-Kenton	2	0	2	0
2014-05-17_seaRM-at-pdxST	pdxST-5-Woodside	1	1	0	1
2014-05-17_seaRM-at-pdxST	pdxST-21-McGinn	1	1	0	0
2014-05-17_seaRM-at-pdxST	pdxST-73-King	1	1	0	0
2014-05-17_seaRM-at-pdxST	pdxST-9-Hancock	1	1	0	0
2014-05-17_seaRM-at-pdxST	pdxST-3-Ferrea	0	0	0	1
2014-05-17_seaRM-at-pdxST	pdxST-4-Blackman	0	0	0	1
2014-05-17_seaRM-at-pdxST	seaRM-48-clark	7	5	2	1
2014-05-17_seaRM-at-pdxST	seaRM-6-trytiak	6	1	5	0
2014-05-17_seaRM-at-pdxST	seaRM-20-simon	5	2	3	0
2014-05-17_seaRM-at-pdxST	seaRM-18-uhrig-fox	4	4	0	0
2014-05-17_seaRM-at-pdxST	seaRM-8-fong	3	2	1	0
2014-05-17_seaRM-at-pdxST	seaRM-99-el-salaam	3	1	2	1
2014-05-17_seaRM-at-pdxST	seaRM-17-zemel	3	1	2	0
2014-05-17_seaRM-at-pdxST	seaRM-21-phan	3	0	3	0
2014-05-17_seaRM-at-pdxST	seaRM-35-koss	3	0	3	0
2014-05-17_seaRM-at-pdxST	seaRM-23-sliva	2	2	0	1
2014-05-17_seaRM-at-pdxST	seaRM-12-gallagher	2	2	0	0
2014-05-17_seaRM-at-pdxST	seaRM-25-rosatto	2	2	0	0
2014-05-17_seaRM-at-pdxST	seaRM-1-mckibben	2	1	1	0
2014-05-17_seaRM-at-pdxST	seaRM-5-chu	2	1	1	0
2014-05-17_seaRM-at-pdxST	seaRM-29-feeley	2	0	2	0
2014-05-17_seaRM-at-pdxST	seaRM-9-harkness	1	1	0	0
2014-05-17_seaRM-at-pdxST	seaRM-28-linn	0	0	0	2
2014-05-17_seaRM-at-pdxST	seaRM-15-beehner	0	0	0	1
