point	Pulling.team	Period	Clock.before.point	Clock.after.point
1	Washington DC Current	1	10:00:00	8:50:00
2	Washington DC Current	1	8:50:00	7:02:00
3	Washington DC Current	1	7:02:00	5:18:00
4	Philadelphia Spinners	1	5:18:00	3:12:00
5	Philadelphia Spinners	1	3:12:00	2:45:00
6	Washington DC Current	1	2:45:00	1:08:00
7	Washington DC Current	1	1:08:00	0:42:00
8	Philadelphia Spinners	1	0:42:00	0:00:00
9	Philadelphia Spinners	2	10:00:00	9:45:00
10	Washington DC Current	2	9:45:00	8:52:00
11	Philadelphia Spinners	2	8:53:00	8:30:00
12	Washington DC Current	2	8:30:00	8:17:00
13	Philadelphia Spinners	2	8:17:00	7:35:00
14	Washington DC Current	2	7:35:00	6:43:00
15	Philadelphia Spinners	2	6:43:00	6:07:00
16	Philadelphia Spinners	2	6:07:00	5:52:00
17	Washington DC Current	2	5:52:00	4:21:00
18	Philadelphia Spinners	2	4:21:00	3:52:00
19	Washington DC Current	2	3:52:00	0:00:00
20	Washington DC Current	3	10:00:00	9:09:00
21	Washington DC Current	3	9:09:00	8:20:00
22	Washington DC Current	3	8:20:00	7:56:00
23	Philadelphia Spinners	3	7:56:00	6:36:00
24	Washington DC Current	3	6:36:00	2:02:00
25	Washington DC Current	3	2:02:00	1:06:00
26	Philadelphia Spinners	3	1:06:00	0:40:00
27	Washington DC Current	3	0:40:00	0:00:00
28	Philadelphia Spinners	4	10:00:00	9:24:00
29	Washington DC Current	4	9:24:00	8:49:00
30	Philadelphia Spinners	4	8:49:00	8:18:00
31	Washington DC Current	4	8:18:00	7:37:00
32	Philadelphia Spinners	4	7:37:00	6:57:00
33	Philadelphia Spinners	4	6:57:00	6:20:00
34	Washington DC Current	4	6:20:00	5:58:00
35	Philadelphia Spinners	4	5:58:00	5:32:00
36	Philadelphia Spinners	4	5:32:00	4:42:00
37	Washington DC Current	4	4:42:00	4:23:00
38	Philadelphia Spinners	4	4:23:00	3:07:00
39	Philadelphia Spinners	4	3:07:00	2:28:00
40	Washington DC Current	4	2:28:00	1:35:00
41	Philadelphia Spinners	4	1:35:00	0:13:00
42	Washington DC Current	4	0:13:00	0:00:00
