Pulling team: San Francisco Dogfish
Period: 2
Clock before point: 9:02:00
Clock after point: 5:26:00
Offense	Defense
	13p
5pu	
	21d
	13pu
	8td
19pu	
98	
22	
5	
10	
98	
5	
72td	
	23pu
5pu	
89	88f
5	
	13pu
	8
	13
	40
72hb	
10pu	
89vtt	
	23pu
98D	
98	
	8pu
	13
	40
	23
5pu	
89	
22td	
	8pu
	?to
	8pu
	13
	88
	40g
