Pulling team: Portland Stags
Period: 4
Clock before point: 5:28:00
Clock after point: 0:08:07
Offense	Defense
	8p
5PU	
34	
24	
23	
40	
23	
	6d
	6
	7
	8
	42
	6
	8
	7
	42
	17
	42
	7td
40pu	
34	
13	
40	
88	
5	
40	
13vst	
	8to
	24pu
1f	21
	8
	11
	8
	21
	8
	21
	8
	11
12f	7
	11
	7
16pu	
	21d
	21
	16
	7
	21
21d	
16to	
23pu	14f
34	
24	
88vst	
	11pu
	21
	8
	16
	21
	11
	21
	11
	7
	8
	7
	8
	7
40f	8
	7g
