point	period	clk_before	clk_after	pull_team	n_poss	scor_team	h_or_b	seaRM	sfoDF	pt_dur	pt_dur_txt
1	1	10:00:00	9:06:00	sfoDF	1	seaRM	hold	1	0	54	00:54
2	1	9:06:00	8:37:00	seaRM	1	sfoDF	hold	1	1	29	00:29
3	1	8:37:00	7:42:00	sfoDF	1	seaRM	hold	2	1	55	00:55
4	1	7:42:00	5:15:00	seaRM	4	seaRM	break	3	1	147	02:27
5	1	5:15:00	3:15:00	seaRM	5	sfoDF	hold	3	2	120	02:00
6	1	3:15:00	2:57:00	sfoDF	1	seaRM	hold	4	2	18	00:18
7	1	2:57:00	2:14:00	seaRM	3	sfoDF	hold	4	3	43	00:43
8	1	2:14:00	0:00:00	sfoDF	NA	NA	NA	4	3	134	02:14
9	2	10:00:00	9:37:00	sfoDF	1	seaRM	hold	5	3	23	00:23
10	2	9:37:00	8:23:00	seaRM	5	sfoDF	hold	5	4	74	01:14
11	2	8:23:00	7:31:00	sfoDF	1	seaRM	hold	6	4	52	00:52
12	2	7:31:00	7:00:00	seaRM	1	sfoDF	hold	6	5	31	00:31
13	2	7:00:00	6:37:00	sfoDF	1	seaRM	hold	7	5	23	00:23
14	2	6:37:00	6:03:00	seaRM	2	seaRM	break	8	5	34	00:34
15	2	6:03:00	4:25:00	seaRM	3	sfoDF	hold	8	6	98	01:38
16	2	4:25:00	3:59:00	sfoDF	1	seaRM	hold	9	6	26	00:26
17	2	3:59:00	3:27:00	seaRM	1	sfoDF	hold	9	7	32	00:32
18	2	3:27:00	3:01:00	sfoDF	2	sfoDF	break	9	8	26	00:26
19	2	3:01:00	2:40:00	sfoDF	1	seaRM	hold	10	8	21	00:21
20	2	2:40:00	0:41:00	seaRM	4	seaRM	break	11	8	119	01:59
21	2	0:41:00	0:17:00	seaRM	1	sfoDF	hold	11	9	24	00:24
22	2	0:17:00	0:00:00	sfoDF	NA	NA	NA	11	9	17	00:17
23	3	10:00:00	9:01:00	seaRM	2	seaRM	break	12	9	59	00:59
24	3	9:01:00	8:38:00	seaRM	1	sfoDF	hold	12	10	23	00:23
25	3	8:38:00	8:20:00	sfoDF	1	seaRM	hold	13	10	18	00:18
26	3	8:20:00	7:09:00	seaRM	3	sfoDF	hold	13	11	71	01:11
27	3	7:09:00	6:36:00	sfoDF	1	seaRM	hold	14	11	33	00:33
28	3	6:36:00	4:47:00	seaRM	4	seaRM	break	15	11	109	01:49
29	3	4:47:00	4:09:00	seaRM	1	sfoDF	hold	15	12	38	00:38
30	3	4:09:00	3:46:00	sfoDF	1	seaRM	hold	16	12	23	00:23
31	3	3:46:00	0:00:00	seaRM	NA	NA	NA	16	12	226	03:46
32	4	10:00:00	9:05:00	seaRM	1	sfoDF	hold	16	13	55	00:55
33	4	9:05:00	7:14:00	sfoDF	3	seaRM	hold	17	13	111	01:51
34	4	7:14:00	6:22:00	seaRM	1	sfoDF	hold	17	14	52	00:52
35	4	6:22:00	5:55:00	sfoDF	2	sfoDF	break	17	15	27	00:27
36	4	5:55:00	4:24:00	sfoDF	4	sfoDF	break	17	16	91	01:31
37	4	4:24:00	3:37:00	sfoDF	1	seaRM	hold	18	16	47	00:47
38	4	3:37:00	3:00:00	seaRM	2	seaRM	break	19	16	37	00:37
39	4	3:00:00	2:28:00	seaRM	1	sfoDF	hold	19	17	32	00:32
40	4	2:28:00	0:49:00	sfoDF	4	sfoDF	break	19	18	99	01:39
41	4	0:49:00	0:06:00	sfoDF	2	sfoDF	break	19	19	43	00:43
42	4	0:06:00	0:00:00	sfoDF	NA	NA	NA	19	19	6	00:06
43	5	5:00:00	2:30:00	sfoDF	5	seaRM	hold	20	19	150	02:30
44	5	2:30:00	2:13:00	seaRM	2	seaRM	break	21	19	17	00:17
45	5	2:13:00	0:08:00	seaRM	5	sfoDF	hold	21	20	125	02:05
46	5	0:08:00	0:00:00	sfoDF	NA	NA	NA	21	20	8	00:08
