point	Pulling.team	Period	Clock.before.point	Clock.after.point
1	San Francisco Dogfish	1	10:00:00	7:56:00
2	San Francisco Dogfish	1	7:56:00	6:55:00
3	San Francisco Dogfish	1	6:55:00	6:03:00
4	Vancouver Nighthawks	1	6:03:00	5:06:00
5	Vancouver Nighthawks	1	5:06:00	3:49:00
6	San Francisco Dogfish	1	3:49:00	2:06:00
7	Vancouver Nighthawks	1	2:06:00	1:36:00
8	San Francisco Dogfish	1	1:36:00	0:38:00
9	Vancouver Nighthawks	1	0:38:00	0:00:00
10	Vancouver Nighthawks	2	10:00:00	9:43:00
11	San Francisco Dogfish	2	9:43:00	8:58:00
12	San Francisco Dogfish	2	8:58:00	7:55:00
13	Vancouver Nighthawks	2	7:55:00	6:17:00
14	San Francisco Dogfish	2	6:17:00	3:42:00
15	Vancouver Nighthawks	2	3:42:00	2:27:00
16	San Francisco Dogfish	2	2:27:00	2:13:00
17	Vancouver Nighthawks	2	2:13:00	0:18:00
18	Vancouver Nighthawks	2	0:18:00	0:00:00
19	San Francisco Dogfish	3	10:00:00	8:52:00
20	San Francisco Dogfish	3	8:52:00	7:53:00
21	Vancouver Nighthawks	3	7:53:00	7:41:00
22	San Francisco Dogfish	3	7:41:00	3:37:00
23	Vancouver Nighthawks	3	3:37:00	0:22:00
24	Vancouver Nighthawks	3	0:22:00	0:08:00
25	Vancouver Nighthawks	3	0:08:00	0:00:00
26	Vancouver Nighthawks	4	10:00:00	3:16:00
27	San Francisco Dogfish	4	3:16:00	1:47:00
28	San Francisco Dogfish	4	1:46:00	0:00:00
29	San Francisco Dogfish	5	5:00:00	3:23:00
30	San Francisco Dogfish	5	3:23:00	0:00:00
