desc	n_inn	Freq
ao	-1	0
an	-1	14
aa	-1	0
ao	0	464
an	0	0
aa	0	0
ao	1	14
an	1	0
aa	1	0
ao	2	0
an	2	0
aa	2	1
ao	3	0
an	3	0
aa	3	1
