point	Pulling.team	Period	Clock.before.point	Clock.after.point
1	New York Rumble	1	10:00:00	NA
2	Philadelphia Spinners	1	NA	NA
3	New York Rumble	1	NA	NA
4	New York Rumble	1	NA	NA
5	Philadelphia Spinners	1	NA	NA
6	Philadelphia Spinners	1	NA	NA
7	New York Rumble	1	NA	NA
8	Philadelphia Spinners	1	NA	NA
9	Philadelphia Spinners	2	NA	NA
10	New York Rumble	2	NA	NA
11	New York Rumble	2	NA	NA
12	Philadelphia Spinners	2	NA	NA
13	New York Rumble	2	NA	NA
14	Philadelphia Spinners	2	NA	NA
15	Philadelphia Spinners	2	NA	NA
16	Philadelphia Spinners	2	NA	NA
17	New York Rumble	2	NA	NA
18	Philadelphia Spinners	2	NA	NA
19	New York Rumble	2	NA	NA
20	New York Rumble	3	NA	NA
21	New York Rumble	3	NA	NA
22	Philadelphia Spinners	3	NA	NA
23	New York Rumble	3	NA	NA
24	Philadelphia Spinners	3	NA	NA
25	New York Rumble	3	NA	NA
26	Philadelphia Spinners	3	NA	NA
27	New York Rumble	3	NA	NA
28	Philadelphia Spinners	3	NA	NA
29	New York Rumble	3	NA	NA
30	Philadelphia Spinners	3	NA	NA
31	New York Rumble	3	NA	NA
32	New York Rumble	3	NA	NA
33	Philadelphia Spinners	3	3:38:00	NA
34	New York Rumble	3	NA	NA
35	Philadelphia Spinners	3	NA	NA
36	New York Rumble	3	NA	NA
37	Philadelphia Spinners	3	NA	NA
38	Philadelphia Spinners	4	NA	NA
39	Philadelphia Spinners	4	NA	NA
40	New York Rumble	4	NA	NA
41	Philadelphia Spinners	4	6:57:00	NA
42	New York Rumble	4	NA	NA
43	Philadelphia Spinners	4	NA	NA
44	New York Rumble	4	NA	NA
45	Philadelphia Spinners	4	NA	NA
46	New York Rumble	4	NA	NA
47	Philadelphia Spinners	4	NA	NA
48	New York Rumble	4	NA	NA
49	Philadelphia Spinners	4	NA	NA
