point	period	clk_before	clk_after	pull_team	n_poss	scor_team	h_or_b	pdxST	seaRM	pt_dur	pt_dur_txt
1	1	10:00:00	8:41:00	seaRM	1	pdxST	hold	1	0	79	01:19
2	1	8:41:00	8:02:00	pdxST	2	pdxST	break	2	0	39	00:39
3	1	8:02:00	6:45:00	pdxST	3	seaRM	hold	2	1	77	01:17
4	1	6:45:00	3:12:00	seaRM	5	pdxST	hold	3	1	213	03:33
5	1	3:12:00	1:43:00	pdxST	3	seaRM	hold	3	2	89	01:29
6	1	1:43:00	0:43:00	seaRM	3	pdxST	hold	4	2	60	01:00
7	1	0:43:00	0:17:00	pdxST	1	seaRM	hold	4	3	26	00:26
8	1	0:17:00	0:00:05	seaRM	2	seaRM	break	4	4	17	00:17
9	1	0:00:05	0:00:00	seaRM	NA	NA	NA	4	4	0	00:00
10	2	10:00:00	6:10:00	pdxST	3	seaRM	hold	4	5	230	03:50
11	2	6:10:00	3:03:00	seaRM	7	pdxST	hold	5	5	187	03:07
12	2	3:03:00	2:31:00	pdxST	1	seaRM	hold	5	6	32	00:32
13	2	2:31:00	1:21:00	seaRM	3	pdxST	hold	6	6	70	01:10
14	2	1:21:00	0:12:03	pdxST	3	seaRM	hold	6	7	69	01:09
15	2	0:12:03	0:00:00	seaRM	NA	NA	NA	6	7	12	00:12
16	3	10:00:00	8:53:00	seaRM	1	pdxST	hold	7	7	67	01:07
17	3	8:53:00	8:27:00	pdxST	1	seaRM	hold	7	8	26	00:26
18	3	8:27:00	7:45:00	seaRM	1	pdxST	hold	8	8	42	00:42
19	3	7:45:00	4:30:00	pdxST	6	pdxST	break	9	8	195	03:15
20	3	4:30:00	3:47:00	pdxST	1	seaRM	hold	9	9	43	00:43
21	3	3:47:00	3:30:00	seaRM	1	pdxST	hold	10	9	17	00:17
22	3	3:30:00	3:06:00	pdxST	1	seaRM	hold	10	10	24	00:24
23	3	3:06:00	2:25:00	seaRM	1	pdxST	hold	11	10	41	00:41
24	3	2:25:00	2:13:00	pdxST	1	seaRM	hold	11	11	12	00:12
25	3	2:13:00	1:45:00	seaRM	1	pdxST	hold	12	11	28	00:28
26	3	1:45:00	1:22:00	pdxST	1	seaRM	hold	12	12	23	00:23
27	3	1:22:00	0:46:00	seaRM	1	pdxST	hold	13	12	36	00:36
28	3	0:46:00	0:00:00	pdxST	NA	NA	NA	13	12	46	00:46
29	4	10:00:00	9:22:00	pdxST	1	seaRM	hold	13	13	38	00:38
30	4	9:22:00	8:10:00	seaRM	1	pdxST	hold	14	13	72	01:12
31	4	8:10:00	7:21:00	pdxST	1	seaRM	hold	14	14	49	00:49
32	4	7:21:00	6:09:00	seaRM	1	pdxST	hold	15	14	72	01:12
33	4	6:09:00	5:43:00	pdxST	1	seaRM	hold	15	15	26	00:26
34	4	5:43:00	2:42:00	seaRM	5	pdxST	hold	16	15	181	03:01
35	4	2:42:00	0:28:04	pdxST	4	pdxST	break	17	15	134	02:14
36	4	0:28:04	0:18:02	pdxST	1	seaRM	hold	17	16	10	00:10
37	4	0:18:02	0:00:00	seaRM	NA	NA	NA	17	16	18	00:18
