point	Pulling.team	Period	Clock.before.point	Clock.after.point
1	New York Rumble	1	10:00:00	8:55:00
2	Washington DC Current	1	8:55:00	7:30:00
3	New York Rumble	1	7:30:00	6:16:00
4	New York Rumble	1	6:16:00	5:48:00
5	Washington DC Current	1	5:48:00	5:22:00
6	New York Rumble	1	5:22:00	5:00:00
7	Washington DC Current	1	5:00:00	3:08:00
8	New York Rumble	1	3:08:00	2:16:00
9	Washington DC Current	1	2:16:00	1:46:00
10	New York Rumble	1	1:46:00	0:47:40
11	Washington DC Current	1	0:47:40	0:05:30
12	Washington DC Current	1	0:05:30	0:00:00
13	Washington DC Current	2	10:00:00	9:46:00
14	Washington DC Current	2	9:46:00	8:34:00
15	New York Rumble	2	8:34:00	7:44:00
16	Washington DC Current	2	7:44:00	6:55:00
17	New York Rumble	2	6:55:00	6:27:00
18	Washington DC Current	2	6:27:00	5:34:00
19	New York Rumble	2	5:34:00	5:05:00
20	Washington DC Current	2	5:05:00	4:51:00
21	Washington DC Current	2	4:51:00	4:07:00
22	Washington DC Current	2	4:07:00	3:08:00
23	New York Rumble	2	3:08:00	1:14:00
24	New York Rumble	2	1:14:00	0:00:00
25	New York Rumble	3	10:00:00	8:03:00
26	Washington DC Current	3	8:03:00	7:22:00
27	New York Rumble	3	7:22:00	6:17:00
28	New York Rumble	3	6:17:00	5:04:00
29	Washington DC Current	3	5:04:00	4:32:00
30	Washington DC Current	3	4:32:00	1:23:00
31	New York Rumble	3	1:23:00	0:00:00
32	Washington DC Current	4	10:00:00	9:43:00
33	New York Rumble	4	9:43:00	9:00:00
34	Washington DC Current	4	9:00:00	8:24:00
35	New York Rumble	4	8:24:00	6:18:00
36	Washington DC Current	4	6:18:00	5:40:00
37	Washington DC Current	4	5:40:00	4:25:00
38	Washington DC Current	4	4:25:00	2:59:00
39	Washington DC Current	4	2:59:00	0:29:09
40	Washington DC Current	4	0:29:09	0:00:00
