point	Pulling.team	Period	Clock.before.point	Clock.after.point
1	Washington DC Current	1	10:00:00	NA
2	Washington DC Current	1	NA	NA
3	Washington DC Current	1	NA	NA
4	New York Rumble	1	NA	NA
5	Washington DC Current	1	NA	NA
6	New York Rumble	1	NA	NA
7	New York Rumble	1	NA	NA
8	Washington DC Current	1	NA	NA
9	New York Rumble	2	10:00:00	NA
10	Washington DC Current	2	NA	NA
11	Washington DC Current	2	NA	NA
12	Washington DC Current	2	NA	NA
13	Washington DC Current	2	NA	NA
14	Washington DC Current	2	NA	7:00:00
15	Washington DC Current	2	7:00:00	NA
16	New York Rumble	2	NA	NA
17	Washington DC Current	2	NA	NA
18	New York Rumble	2	NA	NA
19	Washington DC Current	2	NA	NA
20	New York Rumble	2	NA	NA
21	Washington DC Current	2	NA	NA
22	New York Rumble	2	NA	7:00:00
23	Washington DC Current	2	7:00:00	0:00:00
24	Washington DC Current	3	10:00:00	NA
25	New York Rumble	3	NA	NA
26	Washington DC Current	3	NA	NA
27	New York Rumble	3	NA	NA
28	Washington DC Current	3	NA	NA
29	Washington DC Current	3	NA	NA
30	New York Rumble	3	NA	NA
31	Washington DC Current	3	5:28:00	NA
32	New York Rumble	3	NA	NA
33	Washington DC Current	3	NA	NA
34	New York Rumble	3	NA	NA
35	Washington DC Current	3	NA	NA
36	New York Rumble	3	NA	NA
37	Washington DC Current	3	NA	NA
38	New York Rumble	3	1:10:00	NA
39	Washington DC Current	3	NA	NA
40	New York Rumble	4	NA	NA
41	New York Rumble	4	NA	NA
42	Washington DC Current	4	NA	NA
43	Washington DC Current	4	NA	NA
44	New York Rumble	4	NA	NA
45	Washington DC Current	4	NA	NA
46	New York Rumble	4	NA	NA
47	Washington DC Current	4	NA	NA
48	New York Rumble	4	NA	NA
49	Washington DC Current	4	NA	0:00:00
