Pulling team: New York
Period: 1
Clock before point: 4:45:00
Clock after point: 0:56:01
Offense	Defense
	81P
64PU	
21	
11	
16	
41	8F
64	
	82d
	82
	27td
71PU	27F
	82D
	10PU
	3
	27
	10
14F	81
14so	82so
6si	6si
	7
	6
21PU	
	8D
	6PU
	10
	3
	7
	27
	81TD
64PU	
64to	
20PU	
7	
12	
7	
20	
27	
1	
20	
32L	47f
7	
9G	
