point	period	clk_before	clk_after	pull_team	scor_team	pdxST	vanNH
1	1	10:00:00	9:36:00	pdxST	vanNH	0	1
2	1	9:36:00	8:44:00	vanNH	vanNH	0	2
3	1	8:44:00	6:58:00	vanNH	pdxST	1	2
4	1	6:58:00	6:20:00	pdxST	vanNH	1	3
5	1	6:20:00	5:54:00	vanNH	pdxST	2	3
6	1	5:54:00	3:23:00	pdxST	vanNH	2	4
7	1	3:23:00	1:38:00	vanNH	vanNH	2	5
8	1	1:38:00	1:18:00	vanNH	vanNH	2	6
9	1	1:18:00	0:52:00	vanNH	pdxST	3	6
10	1	0:52:00	0:17:04	pdxST	vanNH	3	7
11	1	0:17:04	0:00:00	vanNH	NA	3	7
12	2	10:00:00	7:53:00	vanNH	pdxST	4	7
13	2	7:53:00	6:56:00	pdxST	pdxST	5	7
14	2	6:56:00	6:07:00	pdxST	vanNH	5	8
15	2	6:07:00	5:14:00	vanNH	pdxST	6	8
16	2	5:14:00	2:26:00	pdxST	pdxST	7	8
17	2	2:26:00	1:10:00	pdxST	vanNH	7	9
18	2	1:10:00	0:45:00	vanNH	pdxST	8	9
19	2	0:45:00	0:10:04	pdxST	vanNH	8	10
20	2	0:10:04	0:00:00	vanNH	vanNH	8	11
21	3	10:00:00	9:12:00	pdxST	vanNH	8	12
22	3	9:12:00	7:54:00	vanNH	pdxST	9	12
23	3	7:54:00	6:59:00	pdxST	pdxST	10	12
24	3	6:59:00	6:05:00	pdxST	pdxST	11	12
25	3	6:05:00	5:09:00	pdxST	vanNH	11	13
26	3	5:09:00	4:43:00	vanNH	pdxST	12	13
27	3	4:43:00	4:27:00	pdxST	vanNH	12	14
28	3	4:27:00	2:44:00	vanNH	vanNH	12	15
29	3	2:44:00	2:25:00	vanNH	pdxST	13	15
30	3	2:25:00	0:00:00	pdxST	NA	13	15
31	4	10:00:00	7:09:00	vanNH	pdxST	14	15
32	4	7:09:00	6:09:00	pdxST	pdxST	15	15
33	4	6:09:00	5:37:00	pdxST	vanNH	15	16
34	4	5:37:00	3:49:00	vanNH	vanNH	15	17
35	4	3:49:00	3:20:00	vanNH	pdxST	16	17
36	4	3:20:00	2:17:00	pdxST	pdxST	17	17
37	4	2:17:00	1:54:00	pdxST	vanNH	17	18
38	4	1:54:00	1:30:00	vanNH	pdxST	18	18
39	4	1:30:00	1:10:00	pdxST	vanNH	18	19
40	4	1:10:00	0:10:03	vanNH	vanNH	18	20
41	4	0:10:03	0:00:00	vanNH	NA	18	20
